at_ismi,kosu,cikti,son_mesafe,son_pist,son_kilo,kilo,son_hipodrom,kaynak_durum,kaynak_url,stil,stil_1_yuzde,stil_2_yuzde,stil_3_yuzde,stil_4_yuzde,stil_veri_sayisi,baskin_stil,not
CELEBRIMBOR,1. Koşu,6.19,1500,Sentetik,52.0,53.0,İstanbul,ok,https://yenibeygir.com/22-04-2026/istanbul/1/stiller,stil_1:17% / stil_2:50% / stil_3:22% / stil_4:11%,17,50,22,11,18,stil_2,
FLY FOREVER,1. Koşu,6.22,1500,Sentetik,60.0,52.8,Antalya,ok,https://yenibeygir.com/22-04-2026/istanbul/1/stiller,stil_1:13% / stil_2:33% / stil_3:47% / stil_4:7%,13,33,47,7,15,stil_3,
PILOTS BOY,1. Koşu,6.23,1400,Kum,60.0,56.5,İstanbul,ok,https://yenibeygir.com/22-04-2026/istanbul/1/stiller,stil_1:44% / stil_2:51% / stil_3:5% / stil_4:0%,44,51,5,0,43,stil_2,
STAR BLOOD,1. Koşu,6.24,2100,Sentetik,55.5,52.0,İstanbul,ok,https://yenibeygir.com/22-04-2026/istanbul/1/stiller,stil_1:0% / stil_2:10% / stil_3:50% / stil_4:40%,0,10,50,40,10,stil_3,
ARAMİTH,1. Koşu,6.31,1300,Kum,56.5,61.0,Adana,ok,https://yenibeygir.com/22-04-2026/istanbul/1/stiller,stil_1:12% / stil_2:35% / stil_3:53% / stil_4:0%,12,35,53,0,17,stil_3,
POLPOO,1. Koşu,6.32,1400,Kum,62.0,55.5,İstanbul,ok,https://yenibeygir.com/22-04-2026/istanbul/1/stiller,stil_1:37% / stil_2:38% / stil_3:20% / stil_4:5%,37,38,20,5,76,stil_2,
COMING RAIN,1. Koşu,6.45,2000,Sentetik,53.5,60.0,İstanbul,ok,https://yenibeygir.com/22-04-2026/istanbul/1/stiller,stil_1:19% / stil_2:58% / stil_3:22% / stil_4:0%,19,58,22,0,36,stil_2,
SİAN,1. Koşu,6.56,2000,Kum,55.8,58.0,Adana,ok,https://yenibeygir.com/22-04-2026/istanbul/1/stiller,stil_1:22% / stil_2:47% / stil_3:27% / stil_4:4%,22,47,27,4,55,stil_2,
KOCA SEYİD,2. Koşu,6.40,2000,Sentetik,61.0,60.0,İstanbul,ok,https://yenibeygir.com/22-04-2026/istanbul/2/stiller,stil_1:25% / stil_2:38% / stil_3:36% / stil_4:2%,25,38,36,2,61,stil_2,
ZELUCCİ,2. Koşu,6.45,2100,Sentetik,58.0,61.0,Antalya,ok,https://yenibeygir.com/22-04-2026/istanbul/2/stiller,stil_1:5% / stil_2:34% / stil_3:45% / stil_4:16%,5,34,45,16,38,stil_3,
