at_ismi,kosu,cikti,son_mesafe,son_pist,son_kilo,kilo,son_hipodrom,kaynak_durum,kaynak_url,stil,not
FREED,5. Koşu,6.91,1900,Kum,57.0,57.0,Şanlıurfa,error,https://www.yenibeygir.com/arama?q=FREED,,HTTP Error 404: Not Found
ÜNLÜNÜNOĞLU,5. Koşu,7.00,1400,Kum,57.0,56.0,Şanlıurfa,error,https://www.yenibeygir.com/arama?q=%C3%9CNL%C3%9CN%C3%9CNO%C4%9ELU,,HTTP Error 404: Not Found
GRACİAS SİNYOR,5. Koşu,7.09,1400,Kum,54.5,55.0,Şanlıurfa,error,https://www.yenibeygir.com/arama?q=GRAC%C4%B0AS+S%C4%B0NYOR,,HTTP Error 404: Not Found
BRO BORA,5. Koşu,7.14,1900,Kum,57.0,61.0,Adana,error,https://www.yenibeygir.com/arama?q=BRO+BORA,,HTTP Error 404: Not Found
QUIET RIVER,5. Koşu,7.28,1300,Kum,56.5,59.0,Şanlıurfa,error,https://www.yenibeygir.com/arama?q=QUIET+RIVER,,HTTP Error 404: Not Found
CHAIN BREAKER,5. Koşu,7.50,1800,Kum,58.5,61.5,Elazığ,error,https://www.yenibeygir.com/arama?q=CHAIN+BREAKER,,HTTP Error 404: Not Found
LAST SYMPHONY,5. Koşu,7.62,2000,Kum,57.0,57.3,Adana,error,https://www.yenibeygir.com/arama?q=LAST+SYMPHONY,,HTTP Error 404: Not Found
SPEEDING BULLET,5. Koşu,7.90,1900,Kum,57.0,61.0,Şanlıurfa,error,https://www.yenibeygir.com/arama?q=SPEEDING+BULLET,,HTTP Error 404: Not Found
İLATUN,6. Koşu,7.79,1700,Kum,52.0,55.0,Şanlıurfa,error,https://www.yenibeygir.com/arama?q=%C4%B0LATUN,,HTTP Error 404: Not Found
CANROBİN,6. Koşu,7.85,1400,Kum,57.0,59.5,Adana,error,https://www.yenibeygir.com/arama?q=CANROB%C4%B0N,,HTTP Error 404: Not Found
SUSUZKURT,6. Koşu,7.86,1300,Çim,56.5,55.3,Adana,error,https://www.yenibeygir.com/arama?q=SUSUZKURT,,HTTP Error 404: Not Found
UMUDUM DENİZ,6. Koşu,7.91,2000,Kum,53.0,55.0,Şanlıurfa,error,https://www.yenibeygir.com/arama?q=UMUDUM+DEN%C4%B0Z,,HTTP Error 404: Not Found
AKSU BABA,6. Koşu,7.97,1900,Kum,55.0,52.5,Şanlıurfa,error,https://www.yenibeygir.com/arama?q=AKSU+BABA,,HTTP Error 404: Not Found
AKSU KAAN,6. Koşu,7.98,2000,Kum,54.5,56.5,Şanlıurfa,error,https://www.yenibeygir.com/arama?q=AKSU+KAAN,,HTTP Error 404: Not Found
KÜÇÜK YUNUS,6. Koşu,8.04,1200,Kum,54.0,54.3,Elazığ,error,https://www.yenibeygir.com/arama?q=K%C3%9C%C3%87%C3%9CK+YUNUS,,HTTP Error 404: Not Found
MİRZABABA,6. Koşu,8.57,1800,Kum,54.0,58.0,Şanlıurfa,error,https://www.yenibeygir.com/arama?q=M%C4%B0RZABABA,,HTTP Error 404: Not Found
SENUBEN,6. Koşu,8.77,1200,Kum,53.0,58.0,Elazığ,error,https://www.yenibeygir.com/arama?q=SENUBEN,,HTTP Error 404: Not Found
AĞACAN KIZI,6. Koşu,8.92,1800,Kum,53.5,57.0,Şanlıurfa,error,https://www.yenibeygir.com/arama?q=A%C4%9EACAN+KIZI,,HTTP Error 404: Not Found
ÇERMİKŞAH,6. Koşu,8.98,1200,Kum,60.5,57.0,Elazığ,error,https://www.yenibeygir.com/arama?q=%C3%87ERM%C4%B0K%C5%9EAH,,HTTP Error 404: Not Found
KAYNARHANIM,6. Koşu,9.11,1300,Kum,59.0,56.0,Şanlıurfa,error,https://www.yenibeygir.com/arama?q=KAYNARHANIM,,HTTP Error 404: Not Found
