at_ismi,kosu,cikti,son_mesafe,son_pist,son_kilo,kilo,son_hipodrom,kaynak_durum,kaynak_url,stil,stil_1_yuzde,stil_2_yuzde,stil_3_yuzde,stil_4_yuzde,stil_veri_sayisi,baskin_stil,not
PRENSES MEHLİKA,1. Koşu,6.89,1400,Kum,58.0,59.0,Bursa,ok,https://yenibeygir.com/24-04-2026/bursa/1/stiller,stil_1:5% / stil_2:30% / stil_3:65% / stil_4:0%,5,30,65,0,20,stil_3,
DEMRENİN KIZI,1. Koşu,6.99,1800,Kum,56.5,55.5,Bursa,ok,https://yenibeygir.com/24-04-2026/bursa/1/stiller,stil_1:59% / stil_2:24% / stil_3:18% / stil_4:0%,59,24,18,0,17,stil_1,
BOLKADER,1. Koşu,7.01,1800,Kum,60.0,55.2,Bursa,ok,https://yenibeygir.com/24-04-2026/bursa/1/stiller,stil_1:10% / stil_2:24% / stil_3:66% / stil_4:0%,10,24,66,0,29,stil_3,
MADRABAZ YELİ,1. Koşu,7.09,1400,Kum,56.0,51.9,Kocaeli,ok,https://yenibeygir.com/24-04-2026/bursa/1/stiller,stil_1:0% / stil_2:46% / stil_3:54% / stil_4:0%,0,46,54,0,13,stil_3,
MAHÇİÇEK,1. Koşu,7.11,1400,Kum,58.0,58.0,Bursa,ok,https://yenibeygir.com/24-04-2026/bursa/1/stiller,stil_1:42% / stil_2:33% / stil_3:25% / stil_4:0%,42,33,25,0,12,stil_1,
KOPUK UÇURTMA,1. Koşu,7.21,1400,Kum,54.0,59.5,Bursa,ok,https://yenibeygir.com/24-04-2026/bursa/1/stiller,stil_1:7% / stil_2:21% / stil_3:57% / stil_4:14%,7,21,57,14,14,stil_3,
GÖNÜLPINARI,1. Koşu,7.44,1800,Kum,58.0,55.0,Bursa,ok,https://yenibeygir.com/24-04-2026/bursa/1/stiller,stil_1:25% / stil_2:6% / stil_3:62% / stil_4:6%,25,6,62,6,16,stil_3,
KİRAZLI,1. Koşu,7.45,1400,Kum,55.9,52.8,Adana,ok,https://yenibeygir.com/24-04-2026/bursa/1/stiller,stil_1:18% / stil_2:45% / stil_3:36% / stil_4:0%,18,45,36,0,22,stil_2,
GÜMÜŞBİKE,1. Koşu,7.54,1700,Çim,53.6,53.4,Bursa,ok,https://yenibeygir.com/24-04-2026/bursa/1/stiller,stil_1:25% / stil_2:5% / stil_3:60% / stil_4:10%,25,5,60,10,20,stil_3,
ÇİLEK HÜMA,1. Koşu,7.64,1400,Kum,54.2,56.5,Bursa,ok,https://yenibeygir.com/24-04-2026/bursa/1/stiller,stil_1:12% / stil_2:0% / stil_3:62% / stil_4:25%,12,0,62,25,8,stil_3,
