at_ismi,kosu,cikti,son_mesafe,son_pist,son_kilo,kilo,son_hipodrom,kaynak_durum,kaynak_url,stil,stil_1_yuzde,stil_2_yuzde,stil_3_yuzde,stil_4_yuzde,stil_veri_sayisi,baskin_stil,not
ŞANSIBOLBEY,7. Koşu,7.27,1400,Kum,57.0,60.0,Kocaeli,ok,https://yenibeygir.com/27-04-2026/bursa/7/stiller,stil_1:30% / stil_2:37% / stil_3:33% / stil_4:0%,30,37,33,0,27,stil_2,
GÖREME BEYİ,7. Koşu,7.48,1400,Kum,60.0,58.2,İzmir,ok,https://yenibeygir.com/27-04-2026/bursa/7/stiller,stil_1:0% / stil_2:0% / stil_3:30% / stil_4:70%,0,0,30,70,20,stil_4,
SULTAN FERMANI,7. Koşu,7.51,1200,Kum,54.0,51.9,Bursa,ok,https://yenibeygir.com/27-04-2026/bursa/7/stiller,stil_1:38% / stil_2:15% / stil_3:31% / stil_4:15%,38,15,31,15,13,stil_1,
BANGU,8. Koşu,7.03,1000,Kum,57.0,56.0,Bursa,ok,https://yenibeygir.com/27-04-2026/bursa/8/stiller,stil_1:0% / stil_2:0% / stil_3:100% / stil_4:0%,0,0,100,0,1,stil_3,
GÜZEL ZEHRA,8. Koşu,7.13,1000,Kum,57.0,55.7,Kocaeli,ok,https://yenibeygir.com/27-04-2026/bursa/8/stiller,stil_1:0% / stil_2:0% / stil_3:100% / stil_4:0%,0,0,100,0,1,stil_3,
KETRA,8. Koşu,7.21,1000,Kum,57.3,55.0,Bursa,ok,https://yenibeygir.com/27-04-2026/bursa/8/stiller,stil_1:100% / stil_2:0% / stil_3:0% / stil_4:0%,100,0,0,0,1,stil_1,
HİFA GÜZELİ,8. Koşu,7.60,1000,Kum,53.8,56.3,Bursa,ok,https://yenibeygir.com/27-04-2026/bursa/8/stiller,stil_1:0% / stil_2:0% / stil_3:100% / stil_4:0%,0,0,100,0,1,stil_3,
SOĞUK DAMLA,8. Koşu,7.86,1000,Kum,55.8,55.0,Bursa,ok,https://yenibeygir.com/27-04-2026/bursa/8/stiller,stil_1:0% / stil_2:0% / stil_3:100% / stil_4:0%,0,0,100,0,1,stil_3,
GENÇYÜREK,9. Koşu,7.29,1500,Sentetik,55.0,55.0,İstanbul,ok,https://yenibeygir.com/27-04-2026/bursa/9/stiller,stil_1:12% / stil_2:29% / stil_3:59% / stil_4:0%,12,29,59,0,17,stil_3,
HAYLAZKIZ,9. Koşu,7.33,1400,Kum,53.5,53.9,Bursa,ok,https://yenibeygir.com/27-04-2026/bursa/9/stiller,stil_1:24% / stil_2:29% / stil_3:47% / stil_4:0%,24,29,47,0,17,stil_3,
ACEM KIZIM,9. Koşu,7.34,1400,Kum,55.0,58.0,İstanbul,ok,https://yenibeygir.com/27-04-2026/bursa/9/stiller,stil_1:64% / stil_2:36% / stil_3:0% / stil_4:0%,64,36,0,0,14,stil_1,
SABA SULTAN,9. Koşu,7.35,1400,Kum,54.0,56.0,Kocaeli,ok,https://yenibeygir.com/27-04-2026/bursa/9/stiller,stil_1:17% / stil_2:25% / stil_3:58% / stil_4:0%,17,25,58,0,12,stil_3,
ADEN PRENSİ,9. Koşu,7.37,1400,Kum,57.0,56.1,Kocaeli,ok,https://yenibeygir.com/27-04-2026/bursa/9/stiller,stil_1:30% / stil_2:50% / stil_3:20% / stil_4:0%,30,50,20,0,20,stil_2,
