horse_age,horse_weight,handicap_weight,total_weight,start_position,race_distance,career_total_races,career_avg_finish,career_avg_time,last_race_days_ago,last_1_avg_finish,last_1_best_finish,last_1_worst_finish,last_1_std_finish,last_1_avg_time,last_1_std_time,last_1_win_rate,last_1_top3_rate,last_3_avg_finish,last_3_best_finish,last_3_worst_finish,last_3_std_finish,last_3_avg_time,last_3_std_time,last_3_win_rate,last_3_top3_rate,last_5_avg_finish,last_5_best_finish,last_5_worst_finish,last_5_std_finish,last_5_avg_time,last_5_std_time,last_5_win_rate,last_5_top3_rate,last_10_avg_finish,last_10_best_finish,last_10_worst_finish,last_10_std_finish,last_10_avg_time,last_10_std_time,last_10_win_rate,last_10_top3_rate,performance_trend,track_type_races,track_type_avg_time,distance_races,distance_avg_finish,distance_avg_time,city_races,city_avg_finish,total_track_experience,distance_variety,form_length,form_avg,form_best,form_worst,form_consistency,recent_form_trend,ganyan,agf,kgs,ganyan_log,is_favorite,jockey_id,trainer_id,owner_id,father_id,mother_id,races_last_30_days,races_last_60_days,races_last_90_days,race_id,race_date,race_city,race_track_type,horse_id,horse_name
3,56,8,64,10,1400,1,7.0,102.86,1856,7.0,7,7,0,102.86,0,0.0,0.0,7.0,7,7,0.0,102.86,0.0,0.0,0.0,7.0,7,7,0.0,102.86,0.0,0.0,0.0,7.0,7,7,0.0,102.86,0.0,0.0,0.0,0.0,1,102.86,1,7.0,102.86,1,7.0,1,1,6,5.166666666666667,0,9,3.8042374035044424,0,23.25,4.0,20,3.188416617383492,0,1339,2716,12110,30121,22794,0,0,0,182204,2021-01-04,Urfa,Kum,81993,PETRICHOR
3,55,6,61,12,1400,2,12.0,105.96,1726,15.0,15,15,0,0.0,0,0.0,0.0,12.0,9,15,3.0,105.96,0.0,0.0,0.0,12.0,9,15,3.0,105.96,0.0,0.0,0.0,12.0,9,15,3.0,105.96,0.0,0.0,0.0,0.0,1,105.96,2,12.0,105.96,1,9.0,2,1,4,7.75,7,9,0.82915619758885,1,16.55,4.0,33,2.865053949911875,0,2263,1600,13655,11727,20145,0,0,0,182204,2021-01-04,Urfa,Kum,80335,TEKAT
3,58,14,72,6,1400,6,10.0,106.55,1750,11.0,11,11,0,82.21,0,0.0,0.0,12.333333333333334,11,15,1.8856180831641267,105.37333333333333,23.768382827239687,0.0,0.0,10.4,7,15,2.8000000000000003,106.69000000000001,22.15377439625131,0.0,0.0,10.0,7,15,2.70801280154532,106.55166666666668,20.225902053774735,0.0,0.0,-4.666666666666667,5,111.42,1,8.0,105.86,5,9.8,6,4,5,5.4,4,7,1.0198039027185568,-1,8.1,7.0,5,2.2082744135228043,0,267,2565,13527,12143,20631,0,0,0,182205,2021-01-04,Urfa,Kum,80617,AHU JADE
3,54,26,80,10,1400,8,8.5,87.83,1688,15.0,15,15,0,100.03,0,0.0,0.0,10.333333333333334,7,15,3.39934634239519,84.97333333333333,10.747075054275104,0.0,0.0,11.2,7,15,2.85657137141714,87.9,11.19131806357053,0.0,0.0,8.5,1,15,4.415880433163924,87.83125000000001,10.248902913848877,0.125,0.125,-1.6666666666666679,7,89.57,3,10.67,100.76,7,8.43,8,2,3,3.3333333333333335,2,4,0.9428090415820634,0,7.0,15.0,20,2.0794415416798357,0,2872,1600,9331,15956,23555,0,0,0,182205,2021-01-04,Urfa,Kum,95178,AHUCAN
3,58,25,83,2,1400,9,7.33,102.46,1686,8.0,8,8,0,82.64,0,0.0,0.0,9.333333333333334,7,13,2.6246692913372702,82.3,0.3400000000000034,0.0,0.0,10.0,7,13,2.280350850198276,99.47,24.053334488174404,0.0,0.0,7.333333333333333,2,13,3.590109871423003,102.46,20.741548278756824,0.0,0.2222222222222222,0.0,9,102.46,1,3.0,99.29,6,6.33,9,5,6,3.0,0,5,1.632993161855452,3,7.45,10.0,16,2.134166441369082,0,540,2718,6672,29849,19400,0,0,0,182205,2021-01-04,Urfa,Kum,85088,ASPIDASTRA
3,58,17,75,1,1400,15,6.93,107.59,1653,11.0,11,11,0,140.27,0,0.0,0.0,8.666666666666666,6,11,2.0548046676563256,129.59333333333333,13.3770707638938,0.0,0.0,8.6,6,11,1.8547236990991407,122.41,15.385266978509021,0.0,0.0,6.8,1,11,2.9933259094191533,111.822,18.935654094855032,0.1,0.2,0.0,15,107.59,3,9.33,102.29,11,6.18,15,8,6,5.5,0,8,2.753785273643051,-1,29.15,1.0,33,3.4061849231731944,0,1342,1536,98,29216,16345,0,0,0,182205,2021-01-04,Urfa,Kum,80382,BLACK DOLPHIN
3,54,15,69,11,1400,17,7.88,105.09,1667,15.0,15,15,0,129.18,0,0.0,0.0,10.333333333333334,7,15,3.39934634239519,96.38666666666667,23.199517715293617,0.0,0.0,8.0,4,15,3.8987177379235853,98.84400000000001,22.618460248213182,0.0,0.0,7.4,4,15,3.4409301068170506,104.68299999999999,19.98901050577542,0.0,0.0,-3.666666666666667,16,103.66,3,4.67,98.79,13,7.31,17,6,5,6.0,4,8,1.6733200530681511,-1,37.1,1.0,19,3.6402142821326553,0,2333,1600,9824,25335,15857,0,0,0,182205,2021-01-04,Urfa,Kum,92488,CANDALINKIZI
3,58,26,84,9,1400,14,7.57,102.85,1618,8.0,8,8,0,79.87,0,0.0,0.0,5.333333333333333,2,8,2.494438257849294,112.45666666666666,24.63421784609547,0.0,0.3333333333333333,7.6,2,12,3.440930106817051,100.02000000000001,24.436778020025468,0.0,0.2,7.3,2,12,3.7960505792204615,102.9088888888889,23.578443283099098,0.0,0.2,3.000000000000001,14,102.85,1,5.0,99.8,7,8.86,14,5,6,4.5,2,8,2.362907813126304,1,1.85,43.0,5,1.0473189942805592,1,1459,1581,6547,29871,19026,0,0,0,182205,2021-01-04,Urfa,Kum,82664,GAME OF THE RISE
3,54,0,54,7,1400,1,11.0,113.57,1856,11.0,11,11,0,113.57,0,0.0,0.0,11.0,11,11,0.0,113.57,0.0,0.0,0.0,11.0,11,11,0.0,113.57,0.0,0.0,0.0,11.0,11,11,0.0,113.57,0.0,0.0,0.0,0.0,1,113.57,1,11.0,113.57,1,11.0,1,1,2,3.0,0,6,3.0,0,8.1,1.0,56,2.2082744135228043,0,2696,2565,13527,22305,16324,0,0,0,182205,2021-01-04,Urfa,Kum,92009,JUST RUN FOR THIS
3,54,19,73,5,1400,9,9.56,102.21,1707,14.0,14,14,0,0.0,0,0.0,0.0,12.0,9,14,2.160246899469287,117.65,19.560000000000002,0.0,0.0,11.0,6,14,3.03315017762062,114.16499999999999,20.630686488820484,0.0,0.0,9.555555555555555,4,14,3.3701668640229117,102.20625,19.51250172165271,0.0,0.0,-2.0,9,102.21,2,7.5,99.14,8,9.0,9,5,6,3.0,0,7,2.449489742783178,0,13.15,7.0,6,2.649714624089247,0,2693,2500,5322,13005,28055,0,0,0,182205,2021-01-04,Urfa,Kum,85571,KAPLAN KIZI
