At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,Son Kosu Zemin Durumu,Birinciden 5sn+,Birinciden Fark Sn,At Profili,Eslesme
,1. Koşu,,,,,,,,,,,,,,,,,
LAST HERO,,6.48,2000,Sentetik,58.5,54.3,İstanbul,2,104713,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %75, arka-grup %25, on-grup %0, onde %0.",3/4 (75%) | 1/4 (25%) | 0/4 (0%) | 0/4 (0%),,,0.29,https://yenibeygir.com/at/104713/last-hero,bulundu
ANOTHER MOMENT,,6.48,2000,Sentetik,56.5,56,İstanbul,3,102528,Sprinter,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %38, arka-grup %12, on-grup %38, onde %12.",3/8 (38%) | 1/8 (12%) | 3/8 (38%) | 1/8 (12%),,,0.84,https://yenibeygir.com/at/102528/another-moment,bulundu
WATERSHED,,6.52,2000,Sentetik,52,55,İstanbul,7,104680,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %33, on-grup %67, onde %0.",0/3 (0%) | 1/3 (33%) | 2/3 (67%) | 0/3 (0%),,,0.45,https://yenibeygir.com/at/104680/watershed,bulundu
KING OF PROTI,,6.54,2000,Sentetik,56,55,İstanbul,4,102783,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %67, on-grup %33, onde %0.",0/3 (0%) | 2/3 (67%) | 1/3 (33%) | 0/3 (0%),,,0.00,https://yenibeygir.com/at/102783/king-of-proti,bulundu
INVINCIBLE ARES,,6.55,1400,Sentetik,50,56,İstanbul,8,103602,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %50, on-grup %50, onde %0.",0/6 (0%) | 3/6 (50%) | 3/6 (50%) | 0/6 (0%),,,2.09,https://yenibeygir.com/at/103602/invincible-ares,bulundu
IRON CLEM,,6.60,1500,Sentetik,57.5,52,İstanbul,1,103222,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %22, arka-grup %22, on-grup %44, onde %11.",2/9 (22%) | 2/9 (22%) | 4/9 (44%) | 1/9 (11%),,,0.35,https://yenibeygir.com/at/103222/iron-clem,bulundu
VEN CONMİGO,,6.62,1500,Sentetik,56,55,İstanbul,5,102488,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %56, arka-grup %44, on-grup %0, onde %0.",9/16 (56%) | 7/16 (44%) | 0/16 (0%) | 0/16 (0%),,,1.33,https://yenibeygir.com/at/102488/ven-conmigo,bulundu
BY MUTLU,,geçersiz,2100,Kum,55.5,57,Antalya,6,103826,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %86, onde %14.",0/7 (0%) | 0/7 (0%) | 6/7 (86%) | 1/7 (14%),,,4.53,https://yenibeygir.com/at/103826/by-mutlu,bulundu
,2. Koşu,,,,,,,,,,,,,,,,,
BARAN REİS,,7.12,2100,Sentetik,60,52.3,İstanbul,2,94511,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %8, arka-grup %24, on-grup %61, onde %6.",5/62 (8%) | 15/62 (24%) | 38/62 (61%) | 4/62 (6%),,,1.09,https://yenibeygir.com/at/94511/baran-reis,bulundu
AKGÜN AĞA,,7.13,2000,Sentetik,53.5,56,İstanbul,4,101441,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %16, arka-grup %20, on-grup %60, onde %4.",4/25 (16%) | 5/25 (20%) | 15/25 (60%) | 1/25 (4%),Nem,,0.00,https://yenibeygir.com/at/101441/akgun-aga,bulundu
BABA TUNA,,7.13,2100,Sentetik,50,58.5,Antalya,8,101913,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %58, arka-grup %39, on-grup %3, onde %0.",19/33 (58%) | 13/33 (39%) | 1/33 (3%) | 0/33 (0%),,,1.12,https://yenibeygir.com/at/101913/baba-tuna,bulundu
YAĞIZHANBEY,,7.15,2000,Sentetik,53,59.5,İstanbul,7,97659,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %15, arka-grup %31, on-grup %51, onde %3.",6/39 (15%) | 12/39 (31%) | 20/39 (51%) | 1/39 (3%),Nem,,1.11,https://yenibeygir.com/at/97659/yagizhanbey,bulundu
İLKUTHAN,,7.15,2000,Sentetik,50,52,İstanbul,11,103203,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %20, arka-grup %20, on-grup %50, onde %10.",2/10 (20%) | 2/10 (20%) | 5/10 (50%) | 1/10 (10%),Nem,,0.36,https://yenibeygir.com/at/103203/ilkuthan,bulundu
LAZMAN,,7.17,2100,Sentetik,60,53.3,İstanbul,1,97289,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %5, arka-grup %18, on-grup %59, onde %18.",2/44 (5%) | 8/44 (18%) | 26/44 (59%) | 8/44 (18%),,,2.28,https://yenibeygir.com/at/97289/lazman,bulundu
ÖZGÜNALP,,7.18,2100,Sentetik,56.5,57.6,Antalya,3,102234,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %54, arka-grup %29, on-grup %18, onde %0.",15/28 (54%) | 8/28 (29%) | 5/28 (18%) | 0/28 (0%),Nem,,0.78,https://yenibeygir.com/at/102234/ozgunalp,bulundu
ÖZGÜNBERK,,7.18,1300,Kum,50,59.5,İstanbul,9,101985,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %47, arka-grup %41, on-grup %12, onde %0.",8/17 (47%) | 7/17 (41%) | 2/17 (12%) | 0/17 (0%),Nem,,0.69,https://yenibeygir.com/at/101985/ozgunberk,bulundu
BATUGA,,7.19,1300,Sentetik,50,55.6,Antalya,10,102441,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %21, arka-grup %33, on-grup %46, onde %0.",5/24 (21%) | 8/24 (33%) | 11/24 (46%) | 0/24 (0%),,,0.33,https://yenibeygir.com/at/102441/batuga,bulundu
TUNÇYILMAZ,,7.39,1500,Sentetik,52,50.8,İstanbul,5,94392,Takipçi,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %24, on-grup %38, onde %4.",15/45 (33%) | 11/45 (24%) | 17/45 (38%) | 2/45 (4%),,,2.04,https://yenibeygir.com/at/94392/tuncyilmaz,bulundu
SAHAFBEY,,7.55,1400,Kum,50,54.8,İstanbul,12,105058,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %20, arka-grup %40, on-grup %40, onde %0.",1/5 (20%) | 2/5 (40%) | 2/5 (40%) | 0/5 (0%),Nem,,4.40,https://yenibeygir.com/at/105058/sahafbey,bulundu
MANDAR ABBAS,,7.56,2000,Kum,54,55.5,İstanbul,6,94966,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %12, arka-grup %39, on-grup %49, onde %0.",5/41 (12%) | 16/41 (39%) | 20/41 (49%) | 0/41 (0%),,X,8.07,https://yenibeygir.com/at/94966/mandar-abbas,bulundu
,3. Koşu,,,,,,,,,,,,,,,,,
BÜYÜK ATTİLA,,geçersiz,,,57,,,1,105433,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/105433/buyuk-attila,bulundu
GOLDEN CHAMPION,,geçersiz,,,57,,,2,106554,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/106554/golden-champion,bulundu
PYROHAN,,geçersiz,,,57,,,3,106163,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/106163/pyrohan,bulundu
RAZENOID,,geçersiz,,,57,,,4,105383,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/105383/razenoid,bulundu
STORM SOVEREIGN,,geçersiz,,,57,,,5,106553,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/106553/storm-sovereign,bulundu
VICTORY OF TOMO,,geçersiz,,,57,,,6,105589,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/105589/victory-of-tomo,bulundu
ADDISON,,geçersiz,,,55,,,7,106079,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/106079/addison,bulundu
SPEED QUEEN,,geçersiz,,,55,,,8,105596,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/105596/speed-queen,bulundu
,4. Koşu,,,,,,,,,,,,,,,,,
STAR RUNNER,,5.91,1400,Sentetik,58,55.9,İstanbul,12,103202,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %12, arka-grup %25, on-grup %38, onde %25.",1/8 (12%) | 2/8 (25%) | 3/8 (38%) | 2/8 (25%),,,0.00,https://yenibeygir.com/at/103202/star-runner,bulundu
VINTAGE,,5.91,1400,Sentetik,58,56,İstanbul,13,105026,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %50, on-grup %50, onde %0.",0/2 (0%) | 1/2 (50%) | 1/2 (50%) | 0/2 (0%),,,0.00,https://yenibeygir.com/at/105026/vintage,bulundu
LOQUİTA,,5.92,1500,Sentetik,58,57.3,Antalya,8,102489,Sprinter,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %31, arka-grup %15, on-grup %31, onde %23.",4/13 (31%) | 2/13 (15%) | 4/13 (31%) | 3/13 (23%),,,0.25,https://yenibeygir.com/at/102489/loquita,bulundu
DAELLA,,5.94,1300,Kum,58,55.9,Bursa,1,102665,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %10, arka-grup %10, on-grup %40, onde %40.",1/10 (10%) | 1/10 (10%) | 4/10 (40%) | 4/10 (40%),Sulu,,0.29,https://yenibeygir.com/at/102665/daella,bulundu
LYARA,,5.96,1500,Sentetik,58,56,İstanbul,9,103396,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %20, arka-grup %20, on-grup %60, onde %0.",1/5 (20%) | 1/5 (20%) | 3/5 (60%) | 0/5 (0%),,,0.00,https://yenibeygir.com/at/103396/lyara,bulundu
HAŞARI,,5.97,1400,Sentetik,58,56,İstanbul,4,105184,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %33, on-grup %67, onde %0.",0/3 (0%) | 1/3 (33%) | 2/3 (67%) | 0/3 (0%),,,1.09,https://yenibeygir.com/at/105184/hasari,bulundu
PIHA,,5.98,1400,Sentetik,58,60,İstanbul,11,102224,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %30, on-grup %70, onde %0.",0/10 (0%) | 3/10 (30%) | 7/10 (70%) | 0/10 (0%),,,0.29,https://yenibeygir.com/at/102224/piha,bulundu
INCOME,,5.99,1400,Sentetik,58,55.8,İstanbul,6,103623,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %40, onde %60.",0/5 (0%) | 0/5 (0%) | 2/5 (40%) | 3/5 (60%),,,1.16,https://yenibeygir.com/at/103623/income,bulundu
