At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,At Profili,Eslesme
,1. Koşu,,,,,,,,,,,,,,
TALİPHAN BEY,,6.25,1400,Sentetik,58,58,İstanbul,5,104110,Takipçi,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %0, on-grup %67, onde %0.",1/3 (33%) | 0/3 (0%) | 2/3 (67%) | 0/3 (0%),https://yenibeygir.com/at/104110/taliphan-bey,bulundu
DIRE WOLF,,6.27,1400,Sentetik,58,58,İstanbul,3,103889,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %33, on-grup %33, onde %0.",1/3 (33%) | 1/3 (33%) | 1/3 (33%) | 0/3 (0%),https://yenibeygir.com/at/103889/dire-wolf,bulundu
LİSENDORA,,6.33,1400,Sentetik,58,58,İstanbul,6,103784,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %83, onde %17.",0/6 (0%) | 0/6 (0%) | 5/6 (83%) | 1/6 (17%),https://yenibeygir.com/at/103784/lisendora,bulundu
FIBER,,6.38,1400,Sentetik,53.7,56.3,İstanbul,7,104810,Takipçi,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %0, on-grup %67, onde %0.",1/3 (33%) | 0/3 (0%) | 2/3 (67%) | 0/3 (0%),https://yenibeygir.com/at/104810/fiber,bulundu
NO MORE SORROW,,6.40,1400,Sentetik,56,56.2,İstanbul,8,104344,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %67, on-grup %33, onde %0.",0/3 (0%) | 2/3 (67%) | 1/3 (33%) | 0/3 (0%),https://yenibeygir.com/at/104344/no-more-sorrow,bulundu
SHAREHOLDER,,6.44,1400,Kum,60,55.6,İstanbul,1,102524,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %17, arka-grup %50, on-grup %25, onde %8.",2/12 (17%) | 6/12 (50%) | 3/12 (25%) | 1/12 (8%),https://yenibeygir.com/at/102524/shareholder,bulundu
SHIRIN WARRIOR,,6.56,1400,Sentetik,56,57,İstanbul,11,103658,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %100, onde %0.",0/2 (0%) | 0/2 (0%) | 2/2 (100%) | 0/2 (0%),https://yenibeygir.com/at/103658/shirin-warrior,bulundu
COSAS,,6.60,1200,Kum,54.6,58,İstanbul,2,103831,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %25, arka-grup %25, on-grup %50, onde %0.",1/4 (25%) | 1/4 (25%) | 2/4 (50%) | 0/4 (0%),https://yenibeygir.com/at/103831/cosas,bulundu
GONE WITH STORM,,6.62,1400,Sentetik,58,58,İstanbul,4,104040,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %33, on-grup %33, onde %0.",2/6 (33%) | 2/6 (33%) | 2/6 (33%) | 0/6 (0%),https://yenibeygir.com/at/104040/gone-with-storm,bulundu
SHINING DRAGON,,6.77,1400,Kum,56,56,İstanbul,10,104495,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %67, onde %33.",0/3 (0%) | 0/3 (0%) | 2/3 (67%) | 1/3 (33%),https://yenibeygir.com/at/104495/shining-dragon,bulundu
SECRET VICTOR,,6.97,2000,Sentetik,56,55.9,İstanbul,9,105348,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %50, on-grup %50, onde %0.",0/4 (0%) | 2/4 (50%) | 2/4 (50%) | 0/4 (0%),https://yenibeygir.com/at/105348/secret-victor,bulundu
,2. Koşu,,,,,,,,,,,,,,
SON OF SAINT,,6.59,2000,Sentetik,58,58,İstanbul,1,104549,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %12, arka-grup %50, on-grup %38, onde %0.",1/8 (12%) | 4/8 (50%) | 3/8 (38%) | 0/8 (0%),https://yenibeygir.com/at/104549/son-of-saint,bulundu
SHINING LIFE,,6.60,1400,Sentetik,56.1,58.5,İstanbul,4,102550,Sprinter,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %40, arka-grup %10, on-grup %40, onde %10.",4/10 (40%) | 1/10 (10%) | 4/10 (40%) | 1/10 (10%),https://yenibeygir.com/at/102550/shining-life,bulundu
JASMINE SCENT,,6.63,1500,Sentetik,53,56,İstanbul,6,103274,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %9, arka-grup %18, on-grup %9, onde %64.",1/11 (9%) | 2/11 (18%) | 1/11 (9%) | 7/11 (64%),https://yenibeygir.com/at/103274/jasmine-scent,bulundu
ICE DROPS,,6.64,1800,Kum,56,58,Bursa,3,103039,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %20, arka-grup %60, on-grup %10, onde %10.",2/10 (20%) | 6/10 (60%) | 1/10 (10%) | 1/10 (10%),https://yenibeygir.com/at/103039/ice-drops,bulundu
ÇEPNİ,,6.65,1900,Kum,57.2,58,İzmir,2,101399,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %32, arka-grup %35, on-grup %32, onde %0.",10/31 (32%) | 11/31 (35%) | 10/31 (32%) | 0/31 (0%),https://yenibeygir.com/at/101399/cepni,bulundu
İNŞİRAH,,6.66,2000,Sentetik,56,56,İstanbul,5,103829,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %100, onde %0.",0/3 (0%) | 0/3 (0%) | 3/3 (100%) | 0/3 (0%),https://yenibeygir.com/at/103829/insirah,bulundu
SAMUİ,,6.70,2000,Sentetik,55,55.7,İstanbul,7,104532,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %67, arka-grup %33, on-grup %0, onde %0.",4/6 (67%) | 2/6 (33%) | 0/6 (0%) | 0/6 (0%),https://yenibeygir.com/at/104532/samui,bulundu
ŞAHİKA MARA,,6.76,1400,Kum,54,52.7,İstanbul,8,105216,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %29, arka-grup %43, on-grup %29, onde %0.",2/7 (29%) | 3/7 (43%) | 2/7 (29%) | 0/7 (0%),https://yenibeygir.com/at/105216/sahika-mara,bulundu
,3. Koşu,,,,,,,,,,,,,,
GÜROBASI,,6.92,1400,Kum,63,59,Bursa,2,88882,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %14, arka-grup %50, on-grup %35, onde %1.",19/139 (14%) | 70/139 (50%) | 48/139 (35%) | 2/139 (1%),https://yenibeygir.com/at/88882/gurobasi,bulundu
KOŞAN NUR,,6.96,1300,Sentetik,58.5,54.7,İstanbul,8,93021,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %31, arka-grup %52, on-grup %17, onde %0.",20/64 (31%) | 33/64 (52%) | 11/64 (17%) | 0/64 (0%),https://yenibeygir.com/at/93021/kosan-nur,bulundu
BAY UMUT,,6.99,2000,Sentetik,55.5,59.5,İstanbul,9,102506,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %19, arka-grup %25, on-grup %56, onde %0.",3/16 (19%) | 4/16 (25%) | 9/16 (56%) | 0/16 (0%),https://yenibeygir.com/at/102506/bay-umut,bulundu
EGETAY,,7.07,2000,Sentetik,62.5,55.7,İstanbul,1,87457,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %6, arka-grup %29, on-grup %54, onde %11.",5/87 (6%) | 25/87 (29%) | 47/87 (54%) | 10/87 (11%),https://yenibeygir.com/at/87457/egetay,bulundu
MESUTCAN,,7.12,1400,Sentetik,61.5,52,İstanbul,4,99845,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %31, arka-grup %31, on-grup %31, onde %8.",8/26 (31%) | 8/26 (31%) | 8/26 (31%) | 2/26 (8%),https://yenibeygir.com/at/99845/mesutcan,bulundu
ÇELİKOVİÇ,,7.14,1400,Sentetik,51.5,53,İstanbul,12,98250,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %12, arka-grup %12, on-grup %61, onde %15.",4/33 (12%) | 4/33 (12%) | 20/33 (61%) | 5/33 (15%),https://yenibeygir.com/at/98250/celikovic,bulundu
BÜYÜK MACELAN,,7.15,2100,Çim,62.5,58,İstanbul,3,97229,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %8, arka-grup %58, on-grup %33, onde %0.",1/12 (8%) | 7/12 (58%) | 4/12 (33%) | 0/12 (0%),https://yenibeygir.com/at/97229/buyuk-macelan,bulundu
