at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,son_kosu_zemin_durumu,birinciden_5sn_fazla,birinciden_fark_sn,at_profili,at_id
2,ALPS FIRE,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %8, arka-grup %36, on-grup %40, onde %16.",2/25 (8%) | 9/25 (36%) | 10/25 (40%) | 4/25 (16%),2/25 (8%),9/25 (36%),10/25 (40%),4/25 (16%),Isl,,3.77,https://yenibeygir.com/at/99936/alps-fire,99936
3,WOODLAND CRY,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %60, on-grup %40, onde %0.",0/10 (0%) | 6/10 (60%) | 4/10 (40%) | 0/10 (0%),0/10 (0%),6/10 (60%),4/10 (40%),0/10 (0%),Sulu,,0.74,https://yenibeygir.com/at/103919/woodland-cry,103919
4,TRUE ANGEL,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %32, arka-grup %57, on-grup %11, onde %0.",12/37 (32%) | 21/37 (57%) | 4/37 (11%) | 0/37 (0%),12/37 (32%),21/37 (57%),4/37 (11%),0/37 (0%),,,2.49,https://yenibeygir.com/at/95716/true-angel,95716
5,KUMSALIM,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %3, arka-grup %27, on-grup %40, onde %30.",1/30 (3%) | 8/30 (27%) | 12/30 (40%) | 9/30 (30%),1/30 (3%),8/30 (27%),12/30 (40%),9/30 (30%),,,0.85,https://yenibeygir.com/at/96078/kumsalim,96078
6,KING OF THE SEA,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %20, arka-grup %25, on-grup %45, onde %10.",4/20 (20%) | 5/20 (25%) | 9/20 (45%) | 2/20 (10%),4/20 (20%),5/20 (25%),9/20 (45%),2/20 (10%),Sulu,,0.81,https://yenibeygir.com/at/95316/king-of-the-sea,95316
7,GENÇAY NALAN,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %3, arka-grup %3, on-grup %73, onde %20.",1/30 (3%) | 1/30 (3%) | 22/30 (73%) | 6/30 (20%),1/30 (3%),1/30 (3%),22/30 (73%),6/30 (20%),,,0.00,https://yenibeygir.com/at/96358/gencay-nalan,96358
8,ANDY DUFRESNE,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %30, arka-grup %40, on-grup %25, onde %5.",6/20 (30%) | 8/20 (40%) | 5/20 (25%) | 1/20 (5%),6/20 (30%),8/20 (40%),5/20 (25%),1/20 (5%),,X,5.72,https://yenibeygir.com/at/100913/andy-dufresne,100913
9,FREEDOM DANCER,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %6, arka-grup %33, on-grup %61, onde %0.",1/18 (6%) | 6/18 (33%) | 11/18 (61%) | 0/18 (0%),1/18 (6%),6/18 (33%),11/18 (61%),0/18 (0%),,,1.68,https://yenibeygir.com/at/101381/freedom-dancer,101381
10,GRINGOLET,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %43, arka-grup %29, on-grup %14, onde %14.",3/7 (43%) | 2/7 (29%) | 1/7 (14%) | 1/7 (14%),3/7 (43%),2/7 (29%),1/7 (14%),1/7 (14%),,,0.92,https://yenibeygir.com/at/100957/gringolet,100957
11,PAKSUHAN,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %73, on-grup %27, onde %0.",0/11 (0%) | 8/11 (73%) | 3/11 (27%) | 0/11 (0%),0/11 (0%),8/11 (73%),3/11 (27%),0/11 (0%),,,3.64,https://yenibeygir.com/at/100981/paksuhan,100981
12,YAVUZEMRE,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %10, arka-grup %80, on-grup %10, onde %0.",1/10 (10%) | 8/10 (80%) | 1/10 (10%) | 0/10 (0%),1/10 (10%),8/10 (80%),1/10 (10%),0/10 (0%),,X,8.67,https://yenibeygir.com/at/100925/yavuzemre,100925
13,HERO WIND,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %100, on-grup %0, onde %0.",0/3 (0%) | 3/3 (100%) | 0/3 (0%) | 0/3 (0%),0/3 (0%),3/3 (100%),0/3 (0%),0/3 (0%),,X,7.10,https://yenibeygir.com/at/99221/hero-wind,99221
