Kosu,At Sayisi,Ortalama Cikti,Toplam Tempo,Tempo Indeksi,Siddet,Yaris Tipi,Yaris Yapisi,Karar Sonucu,Avantajli At Turu
1. Koşu,9,6.344,3.394,1.135,Düşük,Orta Tempo,Orta grup,Dengeli yarış,Takipçi
2. Koşu,6,6.668,1.180,1.070,Düşük,Orta Tempo,Küçük grup,Dengeli yarış,Takipçi
3. Koşu,11,1.000,0.000,1.015,Düşük,Orta Tempo,Kalabalık,Dengeli yarış,Takipçi
4. Koşu,12,6.668,2.405,1.102,Düşük,Orta Tempo,Kalabalık,Dengeli yarış,Takipçi
5. Koşu,10,7.542,1.472,1.053,Düşük,Orta Tempo,Orta grup,Dengeli yarış,Takipçi
6. Koşu,8,6.532,2.093,1.093,Düşük,Orta Tempo,Orta grup,Dengeli yarış,Takipçi
7. Koşu,11,7.169,5.544,1.195,Orta,Yüksek Tempo,Kalabalık,Tempolu ama kontrollü,Takipçi
8. Koşu,12,1.000,0.000,1.030,Düşük,Orta Tempo,Kalabalık,Dengeli yarış,Takipçi
