Kosu,At Sayisi,Ortalama Cikti,Toplam Tempo,Tempo Indeksi,Siddet,Yaris Tipi,Yaris Yapisi,Karar Sonucu,Avantajli At Turu
1. Koşu,9,7.149,-0.071,-0.008,Düşük,Düşük Tempo,Orta grup,Yavaş yarış,Önde Kaçan
2. Koşu,9,7.114,0.000,0.000,Düşük,Düşük Tempo,Orta grup,Yavaş yarış,Önde Kaçan
3. Koşu,10,7.488,1.019,0.102,Düşük,Düşük Tempo,Orta grup,Yavaş yarış,Önde Kaçan
4. Koşu,10,7.854,-0.999,-0.100,Düşük,Düşük Tempo,Orta grup,Yavaş yarış,Önde Kaçan
5. Koşu,12,7.603,1.135,0.095,Düşük,Düşük Tempo,Kalabalık,Yavaş yarış,Önde Kaçan
6. Koşu,6,7.655,0.000,0.000,Düşük,Düşük Tempo,Küçük grup,Yavaş yarış,Önde Kaçan
7. Koşu,8,7.124,0.000,0.000,Düşük,Düşük Tempo,Orta grup,Yavaş yarış,Önde Kaçan
8. Koşu,15,6.751,2.494,0.166,Düşük,Düşük Tempo,Kalabalık,Yavaş yarış,Önde Kaçan
