at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,son_kosu_zemin_durumu,birinciden_5sn_fazla,birinciden_fark_sn,at_profili,at_id
1,CEBEL ASLANI,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105583/cebel-aslani,105583
2,ÇERKES ENVER,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106743/cerkes-enver,106743
3,GUREGH,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106389/guregh,106389
4,GÜMBÜR BABA,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105817/gumbur-baba,105817
5,NAKIŞ HAN,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105666/nakis-han,105666
6,TUĞRAPTAY,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105613/tugraptay,105613
7,AMANKIZIM,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106406/amankizim,106406
8,KAYANİLİM,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105500/kayanilim,105500
1,BLACK SHARK,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %38, on-grup %38, onde %25.",0/8 (0%) | 3/8 (38%) | 3/8 (38%) | 2/8 (25%),0/8 (0%),3/8 (38%),3/8 (38%),2/8 (25%),"Ağır Çim (5,3)",,1.78,https://yenibeygir.com/at/102473/black-shark,102473
2,FROST CAT,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %20, arka-grup %40, on-grup %40, onde %0.",1/5 (20%) | 2/5 (40%) | 2/5 (40%) | 0/5 (0%),1/5 (20%),2/5 (40%),2/5 (40%),0/5 (0%),,,0.00,https://yenibeygir.com/at/104684/frost-cat,104684
3,VİTE VİTE,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %17, arka-grup %17, on-grup %67, onde %0.",2/12 (17%) | 2/12 (17%) | 8/12 (67%) | 0/12 (0%),2/12 (17%),2/12 (17%),8/12 (67%),0/12 (0%),Nem,,0.07,https://yenibeygir.com/at/103002/vite-vite,103002
4,KHIOS,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %17, on-grup %50, onde %33.",0/6 (0%) | 1/6 (17%) | 3/6 (50%) | 2/6 (33%),0/6 (0%),1/6 (17%),3/6 (50%),2/6 (33%),Sulu,,0.00,https://yenibeygir.com/at/105091/khios,105091
5,ROOCKET OF RUNNER,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %8, arka-grup %25, on-grup %42, onde %25.",1/12 (8%) | 3/12 (25%) | 5/12 (42%) | 3/12 (25%),1/12 (8%),3/12 (25%),5/12 (42%),3/12 (25%),,,2.36,https://yenibeygir.com/at/104068/roocket-of-runner,104068
6,CREATIVE MIND,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %17, on-grup %67, onde %17.",0/6 (0%) | 1/6 (17%) | 4/6 (67%) | 1/6 (17%),0/6 (0%),1/6 (17%),4/6 (67%),1/6 (17%),,,0.18,https://yenibeygir.com/at/102572/creative-mind,102572
1,ERGİDEN,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106733/ergiden,106733
2,FAHRİ BABA,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105771/fahri-baba,105771
3,HIRÇIN DADAŞ,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105396/hircin-dadas,105396
4,KINDBERO,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105772/kindbero,105772
5,OĞLUM KADİR,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105438/oglum-kadir,105438
6,DENİZOVA,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106205/denizova,106205
7,EFSANEVİTAY,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106454/efsanevitay,106454
8,MRS MALİBU,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106179/mrs-malibu,106179
1,CANYAMAN,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %43, arka-grup %43, on-grup %14, onde %0.",9/21 (43%) | 9/21 (43%) | 3/21 (14%) | 0/21 (0%),9/21 (43%),9/21 (43%),3/21 (14%),0/21 (0%),,,2.39,https://yenibeygir.com/at/102069/canyaman,102069
2,ABUZER BABA,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %38, on-grup %54, onde %8.",0/13 (0%) | 5/13 (38%) | 7/13 (54%) | 1/13 (8%),0/13 (0%),5/13 (38%),7/13 (54%),1/13 (8%),Sulu,,2.72,https://yenibeygir.com/at/101242/abuzer-baba,101242
3,BAY OLOF,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %17, on-grup %17, onde %67.",0/6 (0%) | 1/6 (17%) | 1/6 (17%) | 4/6 (67%),0/6 (0%),1/6 (17%),1/6 (17%),4/6 (67%),,,0.10,https://yenibeygir.com/at/102390/bay-olof,102390
4,FEHİMOĞLU,Sprinter,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %36, arka-grup %18, on-grup %36, onde %9.",4/11 (36%) | 2/11 (18%) | 4/11 (36%) | 1/11 (9%),4/11 (36%),2/11 (18%),4/11 (36%),1/11 (9%),Sulu,,2.20,https://yenibeygir.com/at/104538/fehimoglu,104538
5,SERTTAYKUT,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %5, arka-grup %30, on-grup %60, onde %5.",1/20 (5%) | 6/20 (30%) | 12/20 (60%) | 1/20 (5%),1/20 (5%),6/20 (30%),12/20 (60%),1/20 (5%),,,0.00,https://yenibeygir.com/at/102009/serttaykut,102009
6,KAPTANPAŞALI,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %17, arka-grup %33, on-grup %44, onde %6.",3/18 (17%) | 6/18 (33%) | 8/18 (44%) | 1/18 (6%),3/18 (17%),6/18 (33%),8/18 (44%),1/18 (6%),,,0.18,https://yenibeygir.com/at/103476/kaptanpasali,103476
7,KING GÖKÇE,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %22, arka-grup %39, on-grup %39, onde %0.",5/23 (22%) | 9/23 (39%) | 9/23 (39%) | 0/23 (0%),5/23 (22%),9/23 (39%),9/23 (39%),0/23 (0%),,,0.21,https://yenibeygir.com/at/103448/king-gokce,103448
8,NALDÖKEN PRENSİ,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %0, onde %100.",0/1 (0%) | 0/1 (0%) | 0/1 (0%) | 1/1 (100%),0/1 (0%),0/1 (0%),0/1 (0%),1/1 (100%),Nem,,0.00,https://yenibeygir.com/at/102758/naldoken-prensi,102758
9,SANCAK TAŞIYAN,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %25, arka-grup %75, on-grup %0, onde %0.",2/8 (25%) | 6/8 (75%) | 0/8 (0%) | 0/8 (0%),2/8 (25%),6/8 (75%),0/8 (0%),0/8 (0%),,,1.47,https://yenibeygir.com/at/103984/sancak-tasiyan,103984
10,ULU YAŞAR,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %7, arka-grup %50, on-grup %43, onde %0.",1/14 (7%) | 7/14 (50%) | 6/14 (43%) | 0/14 (0%),1/14 (7%),7/14 (50%),6/14 (43%),0/14 (0%),,,0.44,https://yenibeygir.com/at/101954/ulu-yasar,101954
11,HAZARLI ÇOCUK,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %23, on-grup %46, onde %31.",0/13 (0%) | 3/13 (23%) | 6/13 (46%) | 4/13 (31%),0/13 (0%),3/13 (23%),6/13 (46%),4/13 (31%),,X,8.78,https://yenibeygir.com/at/102180/hazarli-cocuk,102180
12,SARMAN RÜZGARI,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %5, arka-grup %25, on-grup %55, onde %15.",1/20 (5%) | 5/20 (25%) | 11/20 (55%) | 3/20 (15%),1/20 (5%),5/20 (25%),11/20 (55%),3/20 (15%),,,2.74,https://yenibeygir.com/at/102383/sarman-ruzgari,102383
1,BASKINSOY,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %2, arka-grup %2, on-grup %25, onde %70.",1/44 (2%) | 1/44 (2%) | 11/44 (25%) | 31/44 (70%),1/44 (2%),1/44 (2%),11/44 (25%),31/44 (70%),,,1.79,https://yenibeygir.com/at/95713/baskinsoy,95713
2,GÖKÇESTAR,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %1, arka-grup %0, on-grup %21, onde %78.",1/87 (1%) | 0/87 (0%) | 18/87 (21%) | 68/87 (78%),1/87 (1%),0/87 (0%),18/87 (21%),68/87 (78%),,,0.00,https://yenibeygir.com/at/78661/gokcestar,78661
3,KAZANCI,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %44, on-grup %21, onde %2.",34/102 (33%) | 45/102 (44%) | 21/102 (21%) | 2/102 (2%),34/102 (33%),45/102 (44%),21/102 (21%),2/102 (2%),,,1.60,https://yenibeygir.com/at/86283/kazanci,86283
4,TÜRKAN HANIM,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %42, arka-grup %40, on-grup %16, onde %2.",23/55 (42%) | 22/55 (40%) | 9/55 (16%) | 1/55 (2%),23/55 (42%),22/55 (40%),9/55 (16%),1/55 (2%),Nem,,1.08,https://yenibeygir.com/at/98352/turkan-hanim,98352
