at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,son_kosu_zemin_durumu,birinciden_5sn_fazla,birinciden_fark_sn,at_profili,at_id
13,VINTAGE,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %50, on-grup %50, onde %0.",0/2 (0%) | 1/2 (50%) | 1/2 (50%) | 0/2 (0%),0/2 (0%),1/2 (50%),1/2 (50%),0/2 (0%),,,0.00,https://yenibeygir.com/at/105026/vintage,105026
1,ALİ AL MAQAM,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %40, arka-grup %30, on-grup %30, onde %0.",8/20 (40%) | 6/20 (30%) | 6/20 (30%) | 0/20 (0%),8/20 (40%),6/20 (30%),6/20 (30%),0/20 (0%),,,0.00,https://yenibeygir.com/at/101352/ali-al-maqam,101352
2,BAY MIRIK,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %18, arka-grup %45, on-grup %36, onde %0.",2/11 (18%) | 5/11 (45%) | 4/11 (36%) | 0/11 (0%),2/11 (18%),5/11 (45%),4/11 (36%),0/11 (0%),,,1.14,https://yenibeygir.com/at/101223/bay-mirik,101223
3,BY TÜRKOĞLU,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %29, arka-grup %43, on-grup %29, onde %0.",4/14 (29%) | 6/14 (43%) | 4/14 (29%) | 0/14 (0%),4/14 (29%),6/14 (43%),4/14 (29%),0/14 (0%),,,0.00,https://yenibeygir.com/at/103250/by-turkoglu,103250
4,CEMHAN,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %12, on-grup %38, onde %50.",0/8 (0%) | 1/8 (12%) | 3/8 (38%) | 4/8 (50%),0/8 (0%),1/8 (12%),3/8 (38%),4/8 (50%),Sulu,,0.00,https://yenibeygir.com/at/105118/cemhan,105118
5,GÖKIRMAK,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %75, on-grup %25, onde %0.",0/12 (0%) | 9/12 (75%) | 3/12 (25%) | 0/12 (0%),0/12 (0%),9/12 (75%),3/12 (25%),0/12 (0%),,,0.20,https://yenibeygir.com/at/102614/gokirmak,102614
6,GÖKMETE,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %44, on-grup %56, onde %0.",0/9 (0%) | 4/9 (44%) | 5/9 (56%) | 0/9 (0%),0/9 (0%),4/9 (44%),5/9 (56%),0/9 (0%),,,0.41,https://yenibeygir.com/at/102299/gokmete,102299
7,İLKERHAN,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %9, on-grup %82, onde %9.",0/11 (0%) | 1/11 (9%) | 9/11 (82%) | 1/11 (9%),0/11 (0%),1/11 (9%),9/11 (82%),1/11 (9%),,,0.00,https://yenibeygir.com/at/103358/ilkerhan,103358
8,KAYIPSIZ,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %36, on-grup %64, onde %0.",0/11 (0%) | 4/11 (36%) | 7/11 (64%) | 0/11 (0%),0/11 (0%),4/11 (36%),7/11 (64%),0/11 (0%),,,0.37,https://yenibeygir.com/at/101148/kayipsiz,101148
9,TİRİLYE KARTALI,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %7, arka-grup %7, on-grup %80, onde %7.",1/15 (7%) | 1/15 (7%) | 12/15 (80%) | 1/15 (7%),1/15 (7%),1/15 (7%),12/15 (80%),1/15 (7%),,,0.75,https://yenibeygir.com/at/101918/tirilye-kartali,101918
1,LAVENDER,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %6, arka-grup %25, on-grup %50, onde %19.",2/32 (6%) | 8/32 (25%) | 16/32 (50%) | 6/32 (19%),2/32 (6%),8/32 (25%),16/32 (50%),6/32 (19%),,X,5.63,https://yenibeygir.com/at/91012/lavender,91012
2,OPERASYON,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %41, arka-grup %28, on-grup %28, onde %3.",13/32 (41%) | 9/32 (28%) | 9/32 (28%) | 1/32 (3%),13/32 (41%),9/32 (28%),9/32 (28%),1/32 (3%),,,0.15,https://yenibeygir.com/at/92772/operasyon,92772
3,SHE IS APPROVED,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %14, arka-grup %14, on-grup %62, onde %10.",3/21 (14%) | 3/21 (14%) | 13/21 (62%) | 2/21 (10%),3/21 (14%),3/21 (14%),13/21 (62%),2/21 (10%),,,0.77,https://yenibeygir.com/at/94352/she-is-approved,94352
4,SHIROKE,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %21, on-grup %63, onde %16.",0/19 (0%) | 4/19 (21%) | 12/19 (63%) | 3/19 (16%),0/19 (0%),4/19 (21%),12/19 (63%),3/19 (16%),,,0.96,https://yenibeygir.com/at/95223/shiroke,95223
5,WIN HER LOVE,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %7, arka-grup %28, on-grup %38, onde %28.",2/29 (7%) | 8/29 (28%) | 11/29 (38%) | 8/29 (28%),2/29 (7%),8/29 (28%),11/29 (38%),8/29 (28%),,,0.26,https://yenibeygir.com/at/96627/win-her-love,96627
6,AMAZING TOUCH,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %23, arka-grup %46, on-grup %31, onde %0.",3/13 (23%) | 6/13 (46%) | 4/13 (31%) | 0/13 (0%),3/13 (23%),6/13 (46%),4/13 (31%),0/13 (0%),"Ağır Çim (5,3)",,0.00,https://yenibeygir.com/at/97306/amazing-touch,97306
7,İPHİKLOS,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %7, arka-grup %13, on-grup %73, onde %7.",1/15 (7%) | 2/15 (13%) | 11/15 (73%) | 1/15 (7%),1/15 (7%),2/15 (13%),11/15 (73%),1/15 (7%),,,0.00,https://yenibeygir.com/at/101182/iphiklos,101182
8,LA SPEZIA,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %9, arka-grup %5, on-grup %77, onde %9.",2/22 (9%) | 1/22 (5%) | 17/22 (77%) | 2/22 (9%),2/22 (9%),1/22 (5%),17/22 (77%),2/22 (9%),,,0.77,https://yenibeygir.com/at/99575/la-spezia,99575
1,BİRORDU,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106093/birordu,106093
2,IMPERATORE,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106555/imperatore,106555
3,INDIANA JONES,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105431/indiana-jones,105431
4,KING CEMİL,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106171/king-cemil,106171
5,LEONTES,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106556/leontes,106556
6,RAPID SHOT,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106550/rapid-shot,106550
7,ART OF VICTORY,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106612/art-of-victory,106612
1,ÇELİKGİLLER,Takipçi,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %37, arka-grup %11, on-grup %42, onde %11.",7/19 (37%) | 2/19 (11%) | 8/19 (42%) | 2/19 (11%),7/19 (37%),2/19 (11%),8/19 (42%),2/19 (11%),,,0.00,https://yenibeygir.com/at/101365/celikgiller,101365
2,EFLAH,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %16, arka-grup %52, on-grup %32, onde %0.",5/31 (16%) | 16/31 (52%) | 10/31 (32%) | 0/31 (0%),5/31 (16%),16/31 (52%),10/31 (32%),0/31 (0%),,,0.76,https://yenibeygir.com/at/99034/eflah,99034
3,HÜKÜM,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %72, arka-grup %19, on-grup %8, onde %0.",26/36 (72%) | 7/36 (19%) | 3/36 (8%) | 0/36 (0%),26/36 (72%),7/36 (19%),3/36 (8%),0/36 (0%),,,0.67,https://yenibeygir.com/at/93217/hukum,93217
4,NİĞBOLU,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %9, arka-grup %40, on-grup %49, onde %1.",8/89 (9%) | 36/89 (40%) | 44/89 (49%) | 1/89 (1%),8/89 (9%),36/89 (40%),44/89 (49%),1/89 (1%),,,0.48,https://yenibeygir.com/at/78704/nigbolu,78704
5,SANPMAN,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %3, arka-grup %9, on-grup %31, onde %57.",1/35 (3%) | 3/35 (9%) | 11/35 (31%) | 20/35 (57%),1/35 (3%),3/35 (9%),11/35 (31%),20/35 (57%),,X,9.56,https://yenibeygir.com/at/97622/sanpman,97622
6,ŞIKTURBO,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %4, arka-grup %27, on-grup %50, onde %19.",1/26 (4%) | 7/26 (27%) | 13/26 (50%) | 5/26 (19%),1/26 (4%),7/26 (27%),13/26 (50%),5/26 (19%),,,0.07,https://yenibeygir.com/at/95163/sikturbo,95163
7,GÖKSAGUN,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %8, arka-grup %0, on-grup %83, onde %8.",1/12 (8%) | 0/12 (0%) | 10/12 (83%) | 1/12 (8%),1/12 (8%),0/12 (0%),10/12 (83%),1/12 (8%),,,0.00,https://yenibeygir.com/at/102631/goksagun,102631
8,ÖZÜDOĞRU,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %17, arka-grup %30, on-grup %48, onde %4.",12/69 (17%) | 21/69 (30%) | 33/69 (48%) | 3/69 (4%),12/69 (17%),21/69 (30%),33/69 (48%),3/69 (4%),,,4.74,https://yenibeygir.com/at/81046/ozudogru,81046
