At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,At Profili,Eslesme
,1. Koşu,,,,,,,,,,,,,,
KING GENARAL,,6.70,1400,Kum,58,58,Şanlıurfa,5,104687,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %80, on-grup %20, onde %0.",0/5 (0%) | 4/5 (80%) | 1/5 (20%) | 0/5 (0%),https://yenibeygir.com/at/104687/king-genaral,bulundu
BRENDON,,6.74,1400,Kum,58,58,Şanlıurfa,3,104184,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %56, on-grup %11, onde %0.",3/9 (33%) | 5/9 (56%) | 1/9 (11%) | 0/9 (0%),https://yenibeygir.com/at/104184/brendon,bulundu
SERT RÜZGAR,,6.80,1400,Kum,60,60,Şanlıurfa,2,103913,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %50, on-grup %50, onde %0.",0/8 (0%) | 4/8 (50%) | 4/8 (50%) | 0/8 (0%),https://yenibeygir.com/at/103913/sert-ruzgar,bulundu
LAST GAME,,6.82,1400,Kum,55.9,57,Şanlıurfa,6,102678,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %22, arka-grup %33, on-grup %44, onde %0.",4/18 (22%) | 6/18 (33%) | 8/18 (44%) | 0/18 (0%),https://yenibeygir.com/at/102678/last-game,bulundu
CROWN TOZAN,,6.86,1400,Kum,60,60,Şanlıurfa,1,102546,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %43, arka-grup %38, on-grup %19, onde %0.",9/21 (43%) | 8/21 (38%) | 4/21 (19%) | 0/21 (0%),https://yenibeygir.com/at/102546/crown-tozan,bulundu
ÇEVİK HANI,,7.14,1200,Kum,58.2,58,Elazığ,4,102740,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %8, arka-grup %23, on-grup %54, onde %15.",1/13 (8%) | 3/13 (23%) | 7/13 (54%) | 2/13 (15%),https://yenibeygir.com/at/102740/cevik-hani,bulundu
BARAKHAN,,7.22,2000,Sentetik,57.5,54.1,Antalya,8,104722,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %60, arka-grup %30, on-grup %10, onde %0.",6/10 (60%) | 3/10 (30%) | 1/10 (10%) | 0/10 (0%),https://yenibeygir.com/at/104722/barakhan,bulundu
ALPERİN OĞLU,,7.98,1200,Kum,58,58,Elazığ,7,101922,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %60, arka-grup %20, on-grup %20, onde %0.",3/5 (60%) | 1/5 (20%) | 1/5 (20%) | 0/5 (0%),https://yenibeygir.com/at/101922/alperin-oglu,bulundu
,2. Koşu,,,,,,,,,,,,,,
BİZİMSOY,,7.30,1300,Kum,60.5,57.5,Şanlıurfa,1,101774,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %36, onde %64.",0/11 (0%) | 0/11 (0%) | 4/11 (36%) | 7/11 (64%),https://yenibeygir.com/at/101774/bizimsoy,bulundu
MUŞARDAĞI,,7.35,1200,Kum,55,56.5,Şanlıurfa,7,101277,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %17, arka-grup %33, on-grup %50, onde %0.",2/12 (17%) | 4/12 (33%) | 6/12 (50%) | 0/12 (0%),https://yenibeygir.com/at/101277/musardagi,bulundu
SANATKAR,,7.56,1200,Kum,57.5,55.4,Elazığ,4,101789,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %12, arka-grup %75, on-grup %12, onde %0.",1/8 (12%) | 6/8 (75%) | 1/8 (12%) | 0/8 (0%),https://yenibeygir.com/at/101789/sanatkar,bulundu
BERHAN BEYLİ,,7.62,1200,Kum,58.5,56,Elazığ,3,101772,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %45, arka-grup %36, on-grup %14, onde %5.",10/22 (45%) | 8/22 (36%) | 3/22 (14%) | 1/22 (5%),https://yenibeygir.com/at/101772/berhan-beyli,bulundu
BOYRAZAĞA,,7.85,1200,Kum,55,56,Şanlıurfa,6,101347,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %6, arka-grup %12, on-grup %69, onde %12.",1/16 (6%) | 2/16 (12%) | 11/16 (69%) | 2/16 (12%),https://yenibeygir.com/at/101347/boyrazaga,bulundu
MESTAN BEY,,8.80,2000,Kum,59,61,Elazığ,2,102042,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %6, arka-grup %19, on-grup %56, onde %19.",1/16 (6%) | 3/16 (19%) | 9/16 (56%) | 3/16 (19%),https://yenibeygir.com/at/102042/mestan-bey,bulundu
KÜÇÜK YUNUS,,geçersiz,1900,Kum,54.3,57,Şanlıurfa,5,101275,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %67, arka-grup %22, on-grup %11, onde %0.",12/18 (67%) | 4/18 (22%) | 2/18 (11%) | 0/18 (0%),https://yenibeygir.com/at/101275/kucuk-yunus,bulundu
,3. Koşu,,,,,,,,,,,,,,
TURBOKOLİK,,7.04,1200,Kum,60,58,Şanlıurfa,1,103081,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %15, arka-grup %23, on-grup %38, onde %23.",2/13 (15%) | 3/13 (23%) | 5/13 (38%) | 3/13 (23%),https://yenibeygir.com/at/103081/turbokolik,bulundu
SENUBEN,,7.26,1400,Kum,58,58,Şanlıurfa,2,102713,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %25, on-grup %31, onde %44.",0/16 (0%) | 4/16 (25%) | 5/16 (31%) | 7/16 (44%),https://yenibeygir.com/at/102713/senuben,bulundu
ÖNCÜER,,7.51,1200,Kum,58,60,Şanlıurfa,10,101305,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %21, arka-grup %50, on-grup %29, onde %0.",3/14 (21%) | 7/14 (50%) | 4/14 (29%) | 0/14 (0%),https://yenibeygir.com/at/101305/oncuer,bulundu
SERDENİZ,,7.53,1400,Çim,56.5,58,Ankara,5,101321,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %42, on-grup %58, onde %0.",0/12 (0%) | 5/12 (42%) | 7/12 (58%) | 0/12 (0%),https://yenibeygir.com/at/101321/serdeniz,bulundu
AĞASAÇAN,,7.92,1400,Kum,56.6,52,Şanlıurfa,9,101134,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %19, arka-grup %33, on-grup %48, onde %0.",4/21 (19%) | 7/21 (33%) | 10/21 (48%) | 0/21 (0%),https://yenibeygir.com/at/101134/agasacan,bulundu
MERHAMET,,7.95,1800,Kum,55.8,56,Şanlıurfa,7,102753,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %71, arka-grup %24, on-grup %5, onde %0.",15/21 (71%) | 5/21 (24%) | 1/21 (5%) | 0/21 (0%),https://yenibeygir.com/at/102753/merhamet,bulundu
TAM BİR SAVAŞÇI,,8.11,1200,Kum,58.1,57,Elazığ,3,101659,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %5, arka-grup %11, on-grup %74, onde %11.",1/19 (5%) | 2/19 (11%) | 14/19 (74%) | 2/19 (11%),https://yenibeygir.com/at/101659/tam-bir-savasci,bulundu
EBİŞİM,,8.46,1700,Kum,55,59,Şanlıurfa,8,101658,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %27, arka-grup %33, on-grup %40, onde %0.",4/15 (27%) | 5/15 (33%) | 6/15 (40%) | 0/15 (0%),https://yenibeygir.com/at/101658/ebisim,bulundu
TOSTOS TUĞRUL,,8.48,1400,Kum,57.9,53.2,Adana,6,102908,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %12, arka-grup %48, on-grup %40, onde %0.",3/25 (12%) | 12/25 (48%) | 10/25 (40%) | 0/25 (0%),https://yenibeygir.com/at/102908/tostos-tugrul,bulundu
DEDE ENSAR,,8.61,1800,Kum,57,60,Şanlıurfa,4,101779,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %13, arka-grup %13, on-grup %67, onde %7.",2/15 (13%) | 2/15 (13%) | 10/15 (67%) | 1/15 (7%),https://yenibeygir.com/at/101779/dede-ensar,bulundu
BÜYÜK POYRAZ,,9.42,1200,Kum,58,54.2,Elazığ,12,102752,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %20, on-grup %40, onde %40.",0/5 (0%) | 1/5 (20%) | 2/5 (40%) | 2/5 (40%),https://yenibeygir.com/at/102752/buyuk-poyraz,bulundu
BAKİKRAL,,9.56,1200,Kum,55,57,Elazığ,11,101773,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %20, arka-grup %60, on-grup %20, onde %0.",2/10 (20%) | 6/10 (60%) | 2/10 (20%) | 0/10 (0%),https://yenibeygir.com/at/101773/bakikral,bulundu
,4. Koşu,,,,,,,,,,,,,,
CHAIN BREAKER,,6.63,1800,Kum,61.5,56,Şanlıurfa,2,88620,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %9, arka-grup %13, on-grup %55, onde %23.",6/69 (9%) | 9/69 (13%) | 38/69 (55%) | 16/69 (23%),https://yenibeygir.com/at/88620/chain-breaker,bulundu
HOLLOW MAN,,6.68,1900,Kum,57,57.3,Şanlıurfa,10,100622,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %12, arka-grup %71, on-grup %17, onde %0.",3/24 (12%) | 17/24 (71%) | 4/24 (17%) | 0/24 (0%),https://yenibeygir.com/at/100622/hollow-man,bulundu
BRITISH BREEZE,,6.71,1900,Kum,61.5,57.9,Şanlıurfa,1,93860,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %13, arka-grup %48, on-grup %38, onde %0.",7/52 (13%) | 25/52 (48%) | 20/52 (38%) | 0/52 (0%),https://yenibeygir.com/at/93860/british-breeze,bulundu
MUSHARRAF,,6.71,1900,Kum,58.5,59,Şanlıurfa,7,92275,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %45, arka-grup %43, on-grup %12, onde %0.",25/56 (45%) | 24/56 (43%) | 7/56 (12%) | 0/56 (0%),https://yenibeygir.com/at/92275/musharraf,bulundu
TRADER,,6.76,1900,Kum,58.5,58,Şanlıurfa,9,92141,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %10, arka-grup %46, on-grup %43, onde %2.",6/63 (10%) | 29/63 (46%) | 27/63 (43%) | 1/63 (2%),https://yenibeygir.com/at/92141/trader,bulundu
GALLOON,,6.87,2100,Kum,60,58,Şanlıurfa,4,98670,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %12, arka-grup %20, on-grup %56, onde %12.",3/25 (12%) | 5/25 (20%) | 14/25 (56%) | 3/25 (12%),https://yenibeygir.com/at/98670/galloon,bulundu
REAL EFFECT,,6.98,1200,Kum,58.5,57,Elazığ,8,98137,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %11, arka-grup %18, on-grup %64, onde %7.",3/28 (11%) | 5/28 (18%) | 18/28 (64%) | 2/28 (7%),https://yenibeygir.com/at/98137/real-effect,bulundu
KURTULUŞ ANADOLU,,7.06,1900,Kum,58.5,58.8,Şanlıurfa,5,94382,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %18, arka-grup %14, on-grup %41, onde %27.",4/22 (18%) | 3/22 (14%) | 9/22 (41%) | 6/22 (27%),https://yenibeygir.com/at/94382/kurtulus-anadolu,bulundu
MEGA VELA,,7.29,1200,Kum,58.5,57.4,Elazığ,6,95225,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %13, arka-grup %17, on-grup %57, onde %13.",3/23 (13%) | 4/23 (17%) | 13/23 (57%) | 3/23 (13%),https://yenibeygir.com/at/95225/mega-vela,bulundu
EMİN AMCA,,7.31,2100,Kum,61.5,60,Şanlıurfa,3,86549,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %26, arka-grup %46, on-grup %28, onde %0.",23/87 (26%) | 40/87 (46%) | 24/87 (28%) | 0/87 (0%),https://yenibeygir.com/at/86549/emin-amca,bulundu
,5. Koşu,,,,,,,,,,,,,,
HENAIRE,,6.28,1200,Kum,58,55.5,Şanlıurfa,7,96645,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %3, arka-grup %0, on-grup %29, onde %68.",1/34 (3%) | 0/34 (0%) | 10/34 (29%) | 23/34 (68%),https://yenibeygir.com/at/96645/henaire,bulundu
LION ROBERO,,6.66,1500,Kum,59.5,57.5,Adana,5,97682,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %7, arka-grup %33, on-grup %45, onde %14.",3/42 (7%) | 14/42 (33%) | 19/42 (45%) | 6/42 (14%),https://yenibeygir.com/at/97682/lion-robero,bulundu
KRAL ALPER,,6.75,1200,Kum,56.5,55.3,Elazığ,1,101894,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %7, arka-grup %21, on-grup %43, onde %29.",1/14 (7%) | 3/14 (21%) | 6/14 (43%) | 4/14 (29%),https://yenibeygir.com/at/101894/kral-alper,bulundu
BY CURA,,6.75,1500,Kum,61.5,59.5,Adana,4,96157,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %5, arka-grup %31, on-grup %62, onde %3.",2/39 (5%) | 12/39 (31%) | 24/39 (62%) | 1/39 (3%),https://yenibeygir.com/at/96157/by-cura,bulundu
IRON LION,,6.88,1200,Kum,56,58,Elazığ,8,101557,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %7, arka-grup %13, on-grup %63, onde %17.",2/30 (7%) | 4/30 (13%) | 19/30 (63%) | 5/30 (17%),https://yenibeygir.com/at/101557/iron-lion,bulundu
DERKO,,6.91,1200,Kum,54.5,57.2,Elazığ,9,96330,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %55, arka-grup %29, on-grup %11, onde %5.",34/62 (55%) | 18/62 (29%) | 7/62 (11%) | 3/62 (5%),https://yenibeygir.com/at/96330/derko,bulundu
GREEN GÖLE,,6.92,1400,Kum,59,58,Bursa,6,98839,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %8, arka-grup %12, on-grup %50, onde %31.",2/26 (8%) | 3/26 (12%) | 13/26 (50%) | 8/26 (31%),https://yenibeygir.com/at/98839/green-gole,bulundu
GARONOR,,7.06,1200,Kum,63,57.7,Elazığ,2,85577,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %21, arka-grup %41, on-grup %33, onde %4.",16/75 (21%) | 31/75 (41%) | 25/75 (33%) | 3/75 (4%),https://yenibeygir.com/at/85577/garonor,bulundu
