Kosu,At Sayisi,Ortalama Cikti,Toplam Tempo,Tempo Indeksi,Siddet,Yaris Tipi,Yaris Yapisi,Karar Sonucu,Avantajli At Turu
1. Koşu,9,7.163,3.597,1.143,Düşük,Orta Tempo,Orta grup,Dengeli yarış,Takipçi
2. Koşu,11,1.000,3.240,1.120,Düşük,Orta Tempo,Kalabalık,Dengeli yarış,Takipçi
3. Koşu,10,6.231,-0.389,0.986,Düşük,Orta Tempo,Orta grup,Dengeli yarış,Takipçi
4. Koşu,10,1.000,2.160,1.077,Düşük,Orta Tempo,Orta grup,Dengeli yarış,Takipçi
5. Koşu,18,6.549,0.510,1.130,Düşük,Orta Tempo,Kalabalık,Dengeli yarış,Takipçi
6. Koşu,10,6.036,4.897,1.175,Orta,Yüksek Tempo,Orta grup,Tempolu ama kontrollü,Takipçi
7. Koşu,7,6.034,4.251,1.217,Orta,Yüksek Tempo,Orta grup,Tempolu ama kontrollü,Takipçi
8. Koşu,10,1.000,4.320,1.154,Orta,Yüksek Tempo,Orta grup,Tempolu ama kontrollü,Takipçi
9. Koşu,18,7.267,3.074,1.181,Düşük,Yüksek Tempo,Kalabalık,Sert tempo,Güçlü Takipçi / Sprinter
