at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,son_kosu_zemin_durumu,birinciden_5sn_fazla,birinciden_fark_sn,at_profili,at_id
10,RÜZGAR AGAH,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %20, on-grup %80, onde %0.",0/5 (0%) | 1/5 (20%) | 4/5 (80%) | 0/5 (0%),0/5 (0%),1/5 (20%),4/5 (80%),0/5 (0%),Isl,,3.35,https://yenibeygir.com/at/104694/ruzgar-agah,104694
11,SON OF ANCESTOR,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %12, arka-grup %12, on-grup %62, onde %12.",1/8 (12%) | 1/8 (12%) | 5/8 (62%) | 1/8 (12%),1/8 (12%),1/8 (12%),5/8 (62%),1/8 (12%),,X,5.27,https://yenibeygir.com/at/103228/son-of-ancestor,103228
1,DAR SOKAK,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %7, arka-grup %26, on-grup %65, onde %2.",7/94 (7%) | 24/94 (26%) | 61/94 (65%) | 2/94 (2%),7/94 (7%),24/94 (26%),61/94 (65%),2/94 (2%),,,0.00,https://yenibeygir.com/at/78465/dar-sokak,78465
2,LUKA MAGIC,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %26, arka-grup %44, on-grup %24, onde %6.",9/34 (26%) | 15/34 (44%) | 8/34 (24%) | 2/34 (6%),9/34 (26%),15/34 (44%),8/34 (24%),2/34 (6%),"Hafif Çim (3,5)",,0.95,https://yenibeygir.com/at/95564/luka-magic,95564
3,BOGOTA,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %20, arka-grup %38, on-grup %34, onde %8.",27/133 (20%) | 50/133 (38%) | 45/133 (34%) | 11/133 (8%),27/133 (20%),50/133 (38%),45/133 (34%),11/133 (8%),,,1.13,https://yenibeygir.com/at/73776/bogota,73776
4,PIRATE OF THE SEA,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %3, arka-grup %17, on-grup %58, onde %22.",1/36 (3%) | 6/36 (17%) | 21/36 (58%) | 8/36 (22%),1/36 (3%),6/36 (17%),21/36 (58%),8/36 (22%),,,3.88,https://yenibeygir.com/at/96960/pirate-of-the-sea,96960
5,ANADOLU LİDERİ,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %18, arka-grup %47, on-grup %35, onde %0.",6/34 (18%) | 16/34 (47%) | 12/34 (35%) | 0/34 (0%),6/34 (18%),16/34 (47%),12/34 (35%),0/34 (0%),Isl,,0.80,https://yenibeygir.com/at/94455/anadolu-lideri,94455
6,KING OVA,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %11, arka-grup %46, on-grup %43, onde %0.",8/74 (11%) | 34/74 (46%) | 32/74 (43%) | 0/74 (0%),8/74 (11%),34/74 (46%),32/74 (43%),0/74 (0%),,,1.84,https://yenibeygir.com/at/82005/king-ova,82005
7,ORTAK GÜÇ,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %11, arka-grup %42, on-grup %44, onde %2.",5/45 (11%) | 19/45 (42%) | 20/45 (44%) | 1/45 (2%),5/45 (11%),19/45 (42%),20/45 (44%),1/45 (2%),,,0.00,https://yenibeygir.com/at/96735/ortak-guc,96735
8,ROTA SHOW,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %5, arka-grup %29, on-grup %55, onde %11.",2/38 (5%) | 11/38 (29%) | 21/38 (55%) | 4/38 (11%),2/38 (5%),11/38 (29%),21/38 (55%),4/38 (11%),,,3.56,https://yenibeygir.com/at/97621/rota-show,97621
9,DEMİRKURT,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %23, arka-grup %34, on-grup %34, onde %9.",18/77 (23%) | 26/77 (34%) | 26/77 (34%) | 7/77 (9%),18/77 (23%),26/77 (34%),26/77 (34%),7/77 (9%),,,0.75,https://yenibeygir.com/at/75366/demirkurt,75366
10,ENDLESS TIME,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %66, arka-grup %31, on-grup %3, onde %0.",19/29 (66%) | 9/29 (31%) | 1/29 (3%) | 0/29 (0%),19/29 (66%),9/29 (31%),1/29 (3%),0/29 (0%),,X,6.95,https://yenibeygir.com/at/91253/endless-time,91253
11,RAND ROWER,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %4, arka-grup %22, on-grup %63, onde %10.",2/49 (4%) | 11/49 (22%) | 31/49 (63%) | 5/49 (10%),2/49 (4%),11/49 (22%),31/49 (63%),5/49 (10%),,,1.55,https://yenibeygir.com/at/94794/rand-rower,94794
12,SELANİK PRENSİ,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %15, arka-grup %37, on-grup %49, onde %0.",6/41 (15%) | 15/41 (37%) | 20/41 (49%) | 0/41 (0%),6/41 (15%),15/41 (37%),20/41 (49%),0/41 (0%),,,2.41,https://yenibeygir.com/at/94875/selanik-prensi,94875
13,WAR COMANDER,Takipçi,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %30, arka-grup %30, on-grup %33, onde %6.",10/33 (30%) | 10/33 (30%) | 11/33 (33%) | 2/33 (6%),10/33 (30%),10/33 (30%),11/33 (33%),2/33 (6%),,X,5.19,https://yenibeygir.com/at/93325/war-comander,93325
14,KUTUP KIZI,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %68, arka-grup %25, on-grup %7, onde %0.",55/81 (68%) | 20/81 (25%) | 6/81 (7%) | 0/81 (0%),55/81 (68%),20/81 (25%),6/81 (7%),0/81 (0%),,,2.26,https://yenibeygir.com/at/93593/kutup-kizi,93593
15,VOICE OF REASON,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %25, arka-grup %50, on-grup %25, onde %0.",1/4 (25%) | 2/4 (50%) | 1/4 (25%) | 0/4 (0%),1/4 (25%),2/4 (50%),1/4 (25%),0/4 (0%),,,3.62,https://yenibeygir.com/at/101292/voice-of-reason,101292
1,BECENE REİS,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106563/becene-reis,106563
2,KING MAHMUT,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106868/king-mahmut,106868
3,LORD OF KİRVE,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105687/lord-of-kirve,105687
4,MY NOBLE SON,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106845/my-noble-son,106845
5,SON CESİ,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105753/son-cesi,105753
6,DAUGHTER OF VICTOR,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106090/daughter-of-victor,106090
7,IRRITABLE GIRL,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105470/irritable-girl,105470
8,USLU TAY,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106238/uslu-tay,106238
1,LALIBELA,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %20, arka-grup %20, on-grup %40, onde %20.",2/10 (20%) | 2/10 (20%) | 4/10 (40%) | 2/10 (20%),2/10 (20%),2/10 (20%),4/10 (40%),2/10 (20%),,,2.91,https://yenibeygir.com/at/103782/lalibela,103782
2,ADEN KRALİÇESİ,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %22, arka-grup %17, on-grup %56, onde %6.",4/18 (22%) | 3/18 (17%) | 10/18 (56%) | 1/18 (6%),4/18 (22%),3/18 (17%),10/18 (56%),1/18 (6%),,,0.76,https://yenibeygir.com/at/102760/aden-kralicesi,102760
