At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,Son Kosu Zemin Durumu,Birinciden 5sn+,Birinciden Fark Sn,At Profili,Eslesme
USKUMRU,,geçersiz,,,57,,,10,105576,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %100, onde %0.",0/1 (0%) | 0/1 (0%) | 1/1 (100%) | 0/1 (0%),,,,https://yenibeygir.com/at/105576/uskumru,bulundu
DAYANA,,geçersiz,,,55,,,11,106103,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/106103/dayana,bulundu
,3. Koşu,,,,,,,,,,,,,,,,,
TURKISH PUNCH,,5.92,1400,Kum,57.5,57,İstanbul,7,96656,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %7, arka-grup %54, on-grup %39, onde %0.",2/28 (7%) | 15/28 (54%) | 11/28 (39%) | 0/28 (0%),Nem,,0.81,https://yenibeygir.com/at/96656/turkish-punch,bulundu
KANDO,,5.94,1500,Sentetik,57.5,59,İstanbul,4,93318,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/93318/kando,bulundu
PAREZKAR,,5.98,1500,Sentetik,55,55.3,İstanbul,9,98843,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %29, arka-grup %57, on-grup %14, onde %0.",2/7 (29%) | 4/7 (57%) | 1/7 (14%) | 0/7 (0%),,,0.80,https://yenibeygir.com/at/98843/parezkar,bulundu
DIAMOND BROTHERS,,5.99,1400,Sentetik,59.5,57,İstanbul,1,90870,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %35, arka-grup %32, on-grup %30, onde %2.",14/40 (35%) | 13/40 (32%) | 12/40 (30%) | 1/40 (2%),,,0.00,https://yenibeygir.com/at/90870/diamond-brothers,bulundu
GREY GHOST,,6.00,1500,Sentetik,56,55.3,İstanbul,8,98754,Sprinter,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %38, arka-grup %24, on-grup %29, onde %10.",8/21 (38%) | 5/21 (24%) | 6/21 (29%) | 2/21 (10%),,,0.17,https://yenibeygir.com/at/98754/grey-ghost,bulundu
LOWER SPIRIT,,6.01,2100,Sentetik,57.5,56.9,İstanbul,5,95593,Karakteri Belli Değil,,"4 stil kutucugu birbirine cok yakin. Dagilim: arkada %30, arka-grup %20, on-grup %30, onde %20.",6/20 (30%) | 4/20 (20%) | 6/20 (30%) | 4/20 (20%),,,0.99,https://yenibeygir.com/at/95593/lower-spirit,bulundu
ANOTHER BANGER,,6.05,1400,Sentetik,57.5,56.2,İstanbul,3,95318,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %30, on-grup %30, onde %7.",10/30 (33%) | 9/30 (30%) | 9/30 (30%) | 2/30 (7%),,,1.39,https://yenibeygir.com/at/95318/another-banger,bulundu
ALAKONT,,6.08,1300,Sentetik,57.5,56.1,İstanbul,2,92085,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %5, on-grup %76, onde %19.",0/21 (0%) | 1/21 (5%) | 16/21 (76%) | 4/21 (19%),,,1.75,https://yenibeygir.com/at/92085/alakont,bulundu
SUICIDE KING,,6.13,2200,Sentetik,56,54,İstanbul,10,98516,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %17, arka-grup %38, on-grup %46, onde %0.",4/24 (17%) | 9/24 (38%) | 11/24 (46%) | 0/24 (0%),,,2.97,https://yenibeygir.com/at/98516/suicide-king,bulundu
THE WITCHER,,8.21,1500,Sentetik,53.5,60,İstanbul,6,94555,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %25, arka-grup %29, on-grup %42, onde %4.",6/24 (25%) | 7/24 (29%) | 10/24 (42%) | 1/24 (4%),,X,35.44,https://yenibeygir.com/at/94555/the-witcher,bulundu
,4. Koşu,,,,,,,,,,,,,,,,,
ATICI KAYA,,geçersiz,,,57,,,1,106112,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %100, onde %0.",0/1 (0%) | 0/1 (0%) | 1/1 (100%) | 0/1 (0%),,,,https://yenibeygir.com/at/106112/atici-kaya,bulundu
BOZAĞIN KRALI,,geçersiz,,,57,,,2,106130,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %100, onde %0.",0/1 (0%) | 0/1 (0%) | 1/1 (100%) | 0/1 (0%),,,,https://yenibeygir.com/at/106130/bozagin-krali,bulundu
ERYÜREKLİ,,geçersiz,,,57,,,3,105466,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %100, arka-grup %0, on-grup %0, onde %0.",1/1 (100%) | 0/1 (0%) | 0/1 (0%) | 0/1 (0%),,,,https://yenibeygir.com/at/105466/eryurekli,bulundu
HAN ÇERCİ,,geçersiz,,,57,,,4,105488,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %100, on-grup %0, onde %0.",0/1 (0%) | 1/1 (100%) | 0/1 (0%) | 0/1 (0%),,,,https://yenibeygir.com/at/105488/han-cerci,bulundu
KABALBEYİ,,geçersiz,,,57,,,5,106801,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %100, onde %0.",0/1 (0%) | 0/1 (0%) | 1/1 (100%) | 0/1 (0%),,,,https://yenibeygir.com/at/106801/kabalbeyi,bulundu
KORGÜN,,geçersiz,,,57,,,6,106129,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %100, arka-grup %0, on-grup %0, onde %0.",1/1 (100%) | 0/1 (0%) | 0/1 (0%) | 0/1 (0%),,,,https://yenibeygir.com/at/106129/korgun,bulundu
PARLAMA ZAMANI,,geçersiz,,,57,,,7,105440,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %100, on-grup %0, onde %0.",0/1 (0%) | 1/1 (100%) | 0/1 (0%) | 0/1 (0%),,,,https://yenibeygir.com/at/105440/parlama-zamani,bulundu
SEHER ZAMANI,,geçersiz,,,57,,,8,105439,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %0, onde %100.",0/1 (0%) | 0/1 (0%) | 0/1 (0%) | 1/1 (100%),,,,https://yenibeygir.com/at/105439/seher-zamani,bulundu
ŞAHİNYÜREKLİ,,geçersiz,,,58.3,,,9,105972,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %100, onde %0.",0/1 (0%) | 0/1 (0%) | 1/1 (100%) | 0/1 (0%),,,,https://yenibeygir.com/at/105972/sahinyurekli,bulundu
ŞELEMZAR,,geçersiz,,,57,,,10,106293,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %100, on-grup %0, onde %0.",0/1 (0%) | 1/1 (100%) | 0/1 (0%) | 0/1 (0%),,,,https://yenibeygir.com/at/106293/selemzar,bulundu
,5. Koşu,,,,,,,,,,,,,,,,,
BLACK RUBY,,6.43,2200,Sentetik,55.5,56,İstanbul,7,100093,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %35, arka-grup %48, on-grup %17, onde %0.",8/23 (35%) | 11/23 (48%) | 4/23 (17%) | 0/23 (0%),,,0.04,https://yenibeygir.com/at/100093/black-ruby,bulundu
SENKRON,,6.43,2200,Sentetik,57.7,60.5,İstanbul,8,96096,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %54, arka-grup %46, on-grup %0, onde %0.",7/13 (54%) | 6/13 (46%) | 0/13 (0%) | 0/13 (0%),,,0.58,https://yenibeygir.com/at/96096/senkron,bulundu
ASRA İNAT,,6.44,2200,Sentetik,54.5,54.5,İstanbul,15,100850,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %50, arka-grup %31, on-grup %19, onde %0.",8/16 (50%) | 5/16 (31%) | 3/16 (19%) | 0/16 (0%),,,0.16,https://yenibeygir.com/at/100850/asra-inat,bulundu
SWORD OF HONOUR,,6.45,2200,Sentetik,54.5,53,İstanbul,5,97812,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %18, on-grup %64, onde %18.",0/22 (0%) | 4/22 (18%) | 14/22 (64%) | 4/22 (18%),,,0.00,https://yenibeygir.com/at/97812/sword-of-honour,bulundu
CANKAFESİM,,6.46,2200,Sentetik,55,55.5,İstanbul,10,99455,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %28, arka-grup %50, on-grup %22, onde %0.",5/18 (28%) | 9/18 (50%) | 4/18 (22%) | 0/18 (0%),,,0.56,https://yenibeygir.com/at/99455/cankafesim,bulundu
ÖZGÜR ABİ,,6.46,2200,Sentetik,55.2,55.6,İstanbul,11,101282,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %5, arka-grup %15, on-grup %80, onde %0.",1/20 (5%) | 3/20 (15%) | 16/20 (80%) | 0/20 (0%),,,0.55,https://yenibeygir.com/at/101282/ozgur-abi,bulundu
