Kosu,At Sayisi,Ortalama Cikti,Toplam Tempo,Tempo Indeksi,Siddet,Yaris Tipi,Yaris Yapisi,Karar Sonucu,Avantajli At Turu
1. Koşu,8,7.032,-1.143,-0.143,Düşük,Düşük Tempo,Orta grup,Yavaş yarış,Önde Kaçan
2. Koşu,7,7.747,2.054,0.293,Düşük,Düşük Tempo,Orta grup,Yavaş yarış,Önde Kaçan
3. Koşu,12,8.154,9.819,0.818,Orta,Düşük Tempo,Kalabalık,Kontrollü tempo,Önde Kaçan
4. Koşu,10,6.900,6.028,0.603,Orta,Düşük Tempo,Orta grup,Kontrollü tempo,Önde Kaçan
5. Koşu,10,6.886,12.082,1.208,Yüksek,Yüksek Tempo,Orta grup,Yarış yanar,Sprinter
6. Koşu,9,6.909,5.853,0.650,Düşük,Düşük Tempo,Orta grup,Yavaş yarış,Önde Kaçan
7. Koşu,10,7.433,3.440,0.344,Düşük,Düşük Tempo,Orta grup,Yavaş yarış,Önde Kaçan
8. Koşu,15,8.059,6.656,0.444,Orta,Düşük Tempo,Kalabalık,Kontrollü tempo,Önde Kaçan
