At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,At Profili,Eslesme
ÇELİK ŞAHİN,,geçersiz,,,57,,,3,105849,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105849/celik-sahin,bulundu
FIRTINA VEYSİ,,geçersiz,,,57,,,4,105478,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105478/firtina-veysi,bulundu
KARANIN OĞLU,,geçersiz,,,57,,,5,105722,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105722/karanin-oglu,bulundu
NESİH AĞA,,geçersiz,,,57,,,6,105646,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105646/nesih-aga,bulundu
PAYZİROBA,,geçersiz,,,55,,,7,105873,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105873/payziroba,bulundu
AYSEL HANIM,,geçersiz,,,55,,,8,105650,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105650/aysel-hanim,bulundu
BESRİCAN KIZI,,geçersiz,,,55,,,9,105692,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105692/besrican-kizi,bulundu
BİLDENKIZIM,,geçersiz,,,51,,,10,105674,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105674/bildenkizim,bulundu
ÇİĞDEMGÜZELİ,,geçersiz,,,55,,,11,105994,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105994/cigdemguzeli,bulundu
İLKBAHAR KIZI,,geçersiz,,,55,,,12,105718,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105718/ilkbahar-kizi,bulundu
KIZIM BİNDAL,,geçersiz,,,55,,,13,105901,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105901/kizim-bindal,bulundu
TİLDA HANIM,,geçersiz,,,55,,,14,105754,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105754/tilda-hanim,bulundu
,4. Koşu,,,,,,,,,,,,,,
BAKTAGÖR,,6.68,1700,Kum,55.5,56.6,Şanlıurfa,13,103548,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %29, arka-grup %43, on-grup %29, onde %0.",2/7 (29%) | 3/7 (43%) | 2/7 (29%) | 0/7 (0%),https://yenibeygir.com/at/103548/baktagor,bulundu
SILVEN,,6.84,1900,Kum,55,58,Şanlıurfa,8,103400,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %12, arka-grup %50, on-grup %38, onde %0.",1/8 (12%) | 4/8 (50%) | 3/8 (38%) | 0/8 (0%),https://yenibeygir.com/at/103400/silven,bulundu
JUNIOR JOY,,6.91,1200,Kum,56,53.5,Şanlıurfa,10,102627,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %78, onde %22.",0/9 (0%) | 0/9 (0%) | 7/9 (78%) | 2/9 (22%),https://yenibeygir.com/at/102627/junior-joy,bulundu
ROTACI,,6.93,1900,Kum,58,58,Şanlıurfa,6,103111,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %25, arka-grup %0, on-grup %75, onde %0.",1/4 (25%) | 0/4 (0%) | 3/4 (75%) | 0/4 (0%),https://yenibeygir.com/at/103111/rotaci,bulundu
FANDOROS,,6.93,1400,Kum,55.5,57,Şanlıurfa,12,103020,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %23, arka-grup %38, on-grup %38, onde %0.",3/13 (23%) | 5/13 (38%) | 5/13 (38%) | 0/13 (0%),https://yenibeygir.com/at/103020/fandoros,bulundu
ALTUNCAN,,7.01,1800,Kum,58,57,Şanlıurfa,5,101678,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %21, arka-grup %71, on-grup %7, onde %0.",3/14 (21%) | 10/14 (71%) | 1/14 (7%) | 0/14 (0%),https://yenibeygir.com/at/101678/altuncan,bulundu
KING ANCESTOR,,7.11,1900,Kum,55.5,58,Şanlıurfa,11,103229,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %23, arka-grup %46, on-grup %31, onde %0.",3/13 (23%) | 6/13 (46%) | 4/13 (31%) | 0/13 (0%),https://yenibeygir.com/at/103229/king-ancestor,bulundu
CAPTAIN AT SEA,,7.14,1200,Kum,55,52.7,Şanlıurfa,14,103806,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %29, onde %71.",0/7 (0%) | 0/7 (0%) | 2/7 (29%) | 5/7 (71%),https://yenibeygir.com/at/103806/captain-at-sea,bulundu
BLACK DIVINE,,7.15,1900,Kum,57.5,56,Adana,1,102140,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %43, arka-grup %43, on-grup %13, onde %0.",10/23 (43%) | 10/23 (43%) | 3/23 (13%) | 0/23 (0%),https://yenibeygir.com/at/102140/black-divine,bulundu
NIGHT KING,,7.17,1900,Kum,57,57.7,Adana,7,103535,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %22, arka-grup %22, on-grup %56, onde %0.",2/9 (22%) | 2/9 (22%) | 5/9 (56%) | 0/9 (0%),https://yenibeygir.com/at/103535/night-king,bulundu
