Kosu,Sira,At,Stil 1,Stil 2,Stil Skoru,Cikti,Guc,Tempo Katkisi,Tempo Tipi,Kazanma Skoru,Dayaniklilik
1. Koşu,1,LAST GAME,Takipçi,Orta Grup,1,6.820,0.970,0.970,Düşük Tempo,0.337977,
1. Koşu,2,ÇEVİK HANI,Takipçi,,1,7.140,1.015,1.015,Düşük Tempo,0.334034,
1. Koşu,3,SERT RÜZGAR,Orta Grup,Takipçi,1,6.800,0.967,0.967,Düşük Tempo,0.238235,
1. Koşu,4,KING GENARAL,Orta Grup,,0,6.700,0.953,0.000,Düşük Tempo,0.089552,
1. Koşu,5,BRENDON,Orta Grup,Sprinter,-1,6.740,0.958,-0.958,Düşük Tempo,-0.210979,
1. Koşu,6,CROWN TOZAN,Sprinter,Orta Grup,-1,6.860,0.975,-0.975,Düşük Tempo,-0.412536,
1. Koşu,7,BARAKHAN,Sprinter,Orta Grup,-1,7.220,1.027,-1.027,Düşük Tempo,-0.416898,
1. Koşu,8,ALPERİN OĞLU,Sprinter,,-1,7.980,1.135,-1.135,Düşük Tempo,-0.424812,
2. Koşu,1,BİZİMSOY,Önde Kaçan,Takipçi,3,7.300,0.942,1.414,Düşük Tempo,0.732192,
2. Koşu,2,MUŞARDAĞI,Takipçi,Orta Grup,1,7.350,0.949,0.474,Düşük Tempo,0.331633,
2. Koşu,3,BOYRAZAĞA,Takipçi,,1,7.850,1.013,1.013,Düşük Tempo,0.326433,
2. Koşu,4,MESTAN BEY,Takipçi,,1,8.800,1.136,1.136,Düşük Tempo,0.318182,
2. Koşu,5,SANATKAR,Orta Grup,,0,7.560,0.976,0.000,Düşük Tempo,0.079365,
2. Koşu,6,BERHAN BEYLİ,Sprinter,Orta Grup,-1,7.620,0.984,-0.984,Düşük Tempo,-0.421260,
2. Koşu,7,KÜÇÜK YUNUS,Sprinter,,-1,7.747,1.000,-1.000,Düşük Tempo,-0.422547,
3. Koşu,1,SENUBEN,Önde Kaçan,Takipçi,3,7.260,0.890,1.336,Düşük Tempo,0.732645,
3. Koşu,2,BÜYÜK POYRAZ,Takipçi,Önde Kaçan,3,9.420,1.155,3.466,Düşük Tempo,0.613694,
3. Koşu,3,TURBOKOLİK,Takipçi,,1,7.040,0.863,0.432,Düşük Tempo,0.335227,
3. Koşu,4,SERDENİZ,Takipçi,Orta Grup,1,7.530,0.923,0.462,Düşük Tempo,0.329681,
3. Koşu,5,AĞASAÇAN,Takipçi,Orta Grup,1,7.920,0.971,0.971,Düşük Tempo,0.325758,
3. Koşu,6,TAM BİR SAVAŞÇI,Takipçi,,1,8.110,0.995,0.995,Düşük Tempo,0.323983,
3. Koşu,7,EBİŞİM,Takipçi,Orta Grup,1,8.460,1.038,1.038,Düşük Tempo,0.320922,
3. Koşu,8,DEDE ENSAR,Takipçi,,1,8.610,1.056,1.056,Düşük Tempo,0.319686,
3. Koşu,9,TOSTOS TUĞRUL,Orta Grup,Takipçi,1,8.480,1.040,1.040,Düşük Tempo,0.220755,
3. Koşu,10,ÖNCÜER,Orta Grup,,0,7.510,0.921,0.000,Düşük Tempo,0.079893,
3. Koşu,11,BAKİKRAL,Orta Grup,,0,9.560,1.172,0.000,Düşük Tempo,0.062762,
3. Koşu,12,MERHAMET,Sprinter,,-1,7.950,0.975,-0.975,Düşük Tempo,-0.424528,
4. Koşu,1,CHAIN BREAKER,Takipçi,,1,6.630,0.961,0.961,Düşük Tempo,0.340498,
4. Koşu,2,GALLOON,Takipçi,,1,6.870,0.996,0.996,Düşük Tempo,0.337336,
4. Koşu,3,REAL EFFECT,Takipçi,,1,6.980,1.012,1.012,Düşük Tempo,0.335960,
4. Koşu,4,KURTULUŞ ANADOLU,Takipçi,,1,7.060,1.023,1.023,Düşük Tempo,0.334986,
4. Koşu,5,MEGA VELA,Takipçi,,1,7.290,1.057,1.057,Düşük Tempo,0.332305,
4. Koşu,6,BRITISH BREEZE,Orta Grup,Takipçi,1,6.710,0.972,0.972,Düşük Tempo,0.239419,
4. Koşu,7,TRADER,Orta Grup,Takipçi,1,6.760,0.980,0.980,Düşük Tempo,0.238757,
4. Koşu,8,HOLLOW MAN,Orta Grup,,0,6.680,0.968,0.000,Düşük Tempo,0.089820,
4. Koşu,9,EMİN AMCA,Orta Grup,,0,7.310,1.059,0.000,Düşük Tempo,0.082079,
4. Koşu,10,MUSHARRAF,Sprinter,Orta Grup,-1,6.710,0.972,-0.972,Düşük Tempo,-0.410581,
5. Koşu,1,DERKO,Sprinter,,-1,6.910,1.003,-1.003,Yüksek Tempo,0.586831,2.307
5. Koşu,2,LION ROBERO,Takipçi,Orta Grup,1,6.660,0.967,0.967,Yüksek Tempo,0.340090,1.634
5. Koşu,3,KRAL ALPER,Takipçi,,1,6.750,0.980,0.980,Yüksek Tempo,0.338889,1.660
5. Koşu,4,BY CURA,Takipçi,Orta Grup,1,6.750,0.980,0.980,Yüksek Tempo,0.338889,1.660
5. Koşu,5,IRON LION,Takipçi,,1,6.880,0.999,0.999,Yüksek Tempo,0.337209,1.698
5. Koşu,6,GARONOR,Orta Grup,Takipçi,1,7.060,1.025,1.025,Yüksek Tempo,0.234986,1.751
5. Koşu,7,EXOSOME,Orta Grup,Takipçi,1,7.490,1.088,1.088,Yüksek Tempo,0.230107,1.875
5. Koşu,8,GREEN GÖLE,Takipçi,Önde Kaçan,3,6.920,1.005,3.015,Yüksek Tempo,0.036705,1.110
5. Koşu,9,BOLD RACER,Takipçi,Önde Kaçan,3,7.160,1.040,3.119,Yüksek Tempo,0.033799,1.180
5. Koşu,10,HENAIRE,Önde Kaçan,,2,6.280,0.912,0.912,Yüksek Tempo,-0.404459,1.224
6. Koşu,1,MY CURRA,Önde Kaçan,Takipçi,3,7.860,1.138,3.413,Düşük Tempo,0.726336,
6. Koşu,2,RAHAT OLL,Önde Kaçan,,2,6.400,0.926,0.926,Düşük Tempo,0.593750,
6. Koşu,3,KADIKÖY GÜZELİ,Önde Kaçan,,2,7.130,1.032,2.064,Düşük Tempo,0.584151,
6. Koşu,4,PEANUT GIRL,Takipçi,,1,6.440,0.932,0.466,Düşük Tempo,0.343168,
6. Koşu,5,ÇEVİK DEVRANI,Takipçi,,1,6.790,0.983,0.983,Düşük Tempo,0.338365,
6. Koşu,6,DÜZCE ASLANI,Takipçi,Sprinter,0,6.920,1.002,0.000,Düşük Tempo,0.036705,
6. Koşu,7,KIZIM NAZERİN,Sprinter,Takipçi,0,6.830,0.989,0.000,Düşük Tempo,-0.262152,
6. Koşu,8,BAY WIND,Sprinter,,-1,6.750,0.977,-0.977,Düşük Tempo,-0.411111,
6. Koşu,9,LADY SCREAM,Sprinter,Orta Grup,-1,7.060,1.022,-1.022,Düşük Tempo,-0.415014,
7. Koşu,1,LADY SAFİŞ,Takipçi,Önde Kaçan,3,8.890,1.196,3.588,Düşük Tempo,0.617492,
7. Koşu,2,FUTURE BREEZE,Takipçi,Orta Grup,1,6.790,0.913,0.457,Düşük Tempo,0.338365,
7. Koşu,3,CANDIA,Takipçi,Orta Grup,1,6.930,0.932,0.466,Düşük Tempo,0.336580,
7. Koşu,4,NAGAOKA,Takipçi,,1,7.210,0.970,0.970,Düşük Tempo,0.333218,
7. Koşu,5,LOTUS GIRL,Takipçi,Orta Grup,1,7.300,0.982,0.982,Düşük Tempo,0.332192,
7. Koşu,6,PRENSES MELTEM,Orta Grup,Takipçi,1,7.370,0.992,0.992,Düşük Tempo,0.231411,
7. Koşu,7,HEYLİ VEYLİ,Orta Grup,Sprinter,-1,7.520,1.012,-1.012,Düşük Tempo,-0.220213,
7. Koşu,8,ANGEL,Orta Grup,Sprinter,-1,7.570,1.018,-1.018,Düşük Tempo,-0.220740,
7. Koşu,9,ANGRY EAGLE,Sprinter,Orta Grup,-1,7.330,0.986,-0.986,Düşük Tempo,-0.418145,
7. Koşu,10,ÇEBİ KIZI,Sprinter,,-1,7.420,0.998,-0.998,Düşük Tempo,-0.419137,
