at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,son_kosu_zemin_durumu,birinciden_5sn_fazla,birinciden_fark_sn,at_profili,at_id
1,ELSENORDELOSCIELOS,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105588/elsenordeloscielos,105588
2,LUNGTA,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106025/lungta,106025
3,PUYOL,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105981/puyol,105981
4,RISING GLORY,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/107090/rising-glory,107090
5,BLUE ROYAL,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106583/blue-royal,106583
6,GREENLIFE,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106903/greenlife,106903
7,LILYHAMMER,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106736/lilyhammer,106736
8,NEBULA STAR,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105675/nebula-star,105675
9,SILA ALEYNA,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106544/sila-aleyna,106544
1,GÜL AYALI,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %5, arka-grup %24, on-grup %68, onde %3.",2/37 (5%) | 9/37 (24%) | 25/37 (68%) | 1/37 (3%),2/37 (5%),9/37 (24%),25/37 (68%),1/37 (3%),,,0.00,https://yenibeygir.com/at/93286/gul-ayali,93286
2,AKGOBAK,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %34, arka-grup %38, on-grup %26, onde %2.",18/53 (34%) | 20/53 (38%) | 14/53 (26%) | 1/53 (2%),18/53 (34%),20/53 (38%),14/53 (26%),1/53 (2%),,,1.36,https://yenibeygir.com/at/90541/akgobak,90541
3,AKTAŞKAYA,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %19, arka-grup %39, on-grup %41, onde %2.",10/54 (19%) | 21/54 (39%) | 22/54 (41%) | 1/54 (2%),10/54 (19%),21/54 (39%),22/54 (41%),1/54 (2%),"Hafif Çim (3,4)",,1.15,https://yenibeygir.com/at/92963/aktaskaya,92963
4,ATILIMBEYİ,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %10, arka-grup %41, on-grup %49, onde %0.",5/49 (10%) | 20/49 (41%) | 24/49 (49%) | 0/49 (0%),5/49 (10%),20/49 (41%),24/49 (49%),0/49 (0%),,,1.55,https://yenibeygir.com/at/92968/atilimbeyi,92968
5,HÜRDENİZ,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %10, on-grup %40, onde %50.",0/10 (0%) | 1/10 (10%) | 4/10 (40%) | 5/10 (50%),0/10 (0%),1/10 (10%),4/10 (40%),5/10 (50%),Nem,X,8.31,https://yenibeygir.com/at/98610/hurdeniz,98610
6,JAFAR,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %4, arka-grup %26, on-grup %70, onde %0.",1/23 (4%) | 6/23 (26%) | 16/23 (70%) | 0/23 (0%),1/23 (4%),6/23 (26%),16/23 (70%),0/23 (0%),,,0.32,https://yenibeygir.com/at/95205/jafar,95205
7,MADEN DAĞI,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %10, arka-grup %29, on-grup %58, onde %2.",5/48 (10%) | 14/48 (29%) | 28/48 (58%) | 1/48 (2%),5/48 (10%),14/48 (29%),28/48 (58%),1/48 (2%),Nem,X,5.28,https://yenibeygir.com/at/94210/maden-dagi,94210
8,PRENS CORA,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %9, arka-grup %58, on-grup %33, onde %0.",10/107 (9%) | 62/107 (58%) | 35/107 (33%) | 0/107 (0%),10/107 (9%),62/107 (58%),35/107 (33%),0/107 (0%),Nem,,3.77,https://yenibeygir.com/at/78684/prens-cora,78684
9,SANCAKALAN,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %6, arka-grup %12, on-grup %53, onde %29.",1/17 (6%) | 2/17 (12%) | 9/17 (53%) | 5/17 (29%),1/17 (6%),2/17 (12%),9/17 (53%),5/17 (29%),,,1.09,https://yenibeygir.com/at/100932/sancakalan,100932
10,TUNCER,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %10, arka-grup %9, on-grup %48, onde %33.",10/102 (10%) | 9/102 (9%) | 49/102 (48%) | 34/102 (33%),10/102 (10%),9/102 (9%),49/102 (48%),34/102 (33%),Nem,X,6.32,https://yenibeygir.com/at/79160/tuncer,79160
11,İDİLYILDIZ,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %22, arka-grup %47, on-grup %24, onde %8.",11/51 (22%) | 24/51 (47%) | 12/51 (24%) | 4/51 (8%),11/51 (22%),24/51 (47%),12/51 (24%),4/51 (8%),,X,7.44,https://yenibeygir.com/at/93307/idilyildiz,93307
12,TARÇINKIZ,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %21, on-grup %76, onde %3.",0/38 (0%) | 8/38 (21%) | 29/38 (76%) | 1/38 (3%),0/38 (0%),8/38 (21%),29/38 (76%),1/38 (3%),,,0.50,https://yenibeygir.com/at/97606/tarcinkiz,97606
13,PRENSES DI,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %47, arka-grup %33, on-grup %18, onde %2.",26/55 (47%) | 18/55 (33%) | 10/55 (18%) | 1/55 (2%),26/55 (47%),18/55 (33%),10/55 (18%),1/55 (2%),,X,5.75,https://yenibeygir.com/at/90136/prenses-di,90136
14,DİLARASULTANIM,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %39, arka-grup %44, on-grup %17, onde %0.",7/18 (39%) | 8/18 (44%) | 3/18 (17%) | 0/18 (0%),7/18 (39%),8/18 (44%),3/18 (17%),0/18 (0%),Nem,X,9.16,https://yenibeygir.com/at/98779/dilarasultanim,98779
15,BANDIRMALI,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %5, arka-grup %15, on-grup %70, onde %10.",2/40 (5%) | 6/40 (15%) | 28/40 (70%) | 4/40 (10%),2/40 (5%),6/40 (15%),28/40 (70%),4/40 (10%),,,0.95,https://yenibeygir.com/at/90440/bandirmali,90440
16,ALYADİGAR,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %28, arka-grup %55, on-grup %17, onde %0.",13/47 (28%) | 26/47 (55%) | 8/47 (17%) | 0/47 (0%),13/47 (28%),26/47 (55%),8/47 (17%),0/47 (0%),,,1.32,https://yenibeygir.com/at/90313/alyadigar,90313
17,ÇELİK KARTAL,Orta Grup,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %50, on-grup %0, onde %50.",0/2 (0%) | 1/2 (50%) | 0/2 (0%) | 1/2 (50%),0/2 (0%),1/2 (50%),0/2 (0%),1/2 (50%),Nem,X,6.13,https://yenibeygir.com/at/103589/celik-kartal,103589
1,BABA BATTAL,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %15, arka-grup %23, on-grup %54, onde %8.",2/13 (15%) | 3/13 (23%) | 7/13 (54%) | 1/13 (8%),2/13 (15%),3/13 (23%),7/13 (54%),1/13 (8%),Nem,X,8.21,https://yenibeygir.com/at/101403/baba-battal,101403
