At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,Son Kosu Zemin Durumu,Birinciden 5sn+,Birinciden Fark Sn,At Profili,Eslesme
ÇİZİKKARDEŞLER,,geçersiz,,,57,,,4,106110,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/106110/cizikkardesler,bulundu
ENESBERKE,,geçersiz,,,57,,,5,105376,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/105376/enesberke,bulundu
HASNENNİ,,geçersiz,,,57,,,6,106236,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/106236/hasnenni,bulundu
KAHRAMAN,,geçersiz,,,57,,,7,106122,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/106122/kahraman,bulundu
RASTGELOĞLUM,,geçersiz,,,57,,,8,107039,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/107039/rastgeloglum,bulundu
ŞAH TUNALI,,geçersiz,,,57,,,9,106217,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/106217/sah-tunali,bulundu
TORLAK,,geçersiz,,,57,,,10,106510,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/106510/torlak,bulundu
SON KRALİÇE,,geçersiz,,,55,,,11,105672,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/105672/son-kralice,bulundu
,4. Koşu,,,,,,,,,,,,,,,,,
ÖZTUĞ,,6.43,2100,Sentetik,53.5,55.5,İstanbul,9,102759,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %19, arka-grup %52, on-grup %30, onde %0.",5/27 (19%) | 14/27 (52%) | 8/27 (30%) | 0/27 (0%),,,0.00,https://yenibeygir.com/at/102759/oztug,bulundu
METİNCİM,,6.50,2100,Sentetik,56.5,58,Antalya,6,103823,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %50, arka-grup %29, on-grup %21, onde %0.",7/14 (50%) | 4/14 (29%) | 3/14 (21%) | 0/14 (0%),,,0.00,https://yenibeygir.com/at/103823/metincim,bulundu
ATEŞ REİSİ,,6.53,1500,Sentetik,54,58,İstanbul,8,101546,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %26, arka-grup %39, on-grup %35, onde %0.",6/23 (26%) | 9/23 (39%) | 8/23 (35%) | 0/23 (0%),,,0.76,https://yenibeygir.com/at/101546/ates-reisi,bulundu
NUSRET OĞLU,,6.55,1500,Kum,51,60,Adana,11,102204,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %44, on-grup %56, onde %0.",0/9 (0%) | 4/9 (44%) | 5/9 (56%) | 0/9 (0%),,,1.37,https://yenibeygir.com/at/102204/nusret-oglu,bulundu
CEVAHİRKAN,,6.57,1500,Kum,62,57,Adana,1,102208,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %59, arka-grup %41, on-grup %0, onde %0.",13/22 (59%) | 9/22 (41%) | 0/22 (0%) | 0/22 (0%),,,0.00,https://yenibeygir.com/at/102208/cevahirkan,bulundu
DOĞUYURT,,6.62,1500,Sentetik,59.5,56,İstanbul,4,101229,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %73, arka-grup %7, on-grup %20, onde %0.",11/15 (73%) | 1/15 (7%) | 3/15 (20%) | 0/15 (0%),,,0.53,https://yenibeygir.com/at/101229/doguyurt,bulundu
HOPDEDİK,,6.69,1500,Sentetik,60,58,Antalya,3,101872,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %20, arka-grup %40, on-grup %40, onde %0.",2/10 (20%) | 4/10 (40%) | 4/10 (40%) | 0/10 (0%),,,0.97,https://yenibeygir.com/at/101872/hopdedik,bulundu
KÜÇÜKCEVER,,6.70,1700,Kum,51.5,58,Şanlıurfa,10,101730,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %8, arka-grup %0, on-grup %62, onde %31.",1/13 (8%) | 0/13 (0%) | 8/13 (62%) | 4/13 (31%),Sulu,X,10.77,https://yenibeygir.com/at/101730/kucukcever,bulundu
HERZAMAN,,6.71,1200,Kum,55,56.9,Elazığ,7,101677,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %10, onde %90.",0/10 (0%) | 0/10 (0%) | 1/10 (10%) | 9/10 (90%),,,0.00,https://yenibeygir.com/at/101677/herzaman,bulundu
DELİ UMUT,,6.74,2000,Çim,57.5,55.8,Adana,5,102114,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %11, arka-grup %44, on-grup %44, onde %0.",2/18 (11%) | 8/18 (44%) | 8/18 (44%) | 0/18 (0%),,,0.10,https://yenibeygir.com/at/102114/deli-umut,bulundu
BERAY SULTAN,,6.96,1300,Kum,60.5,54.2,Şanlıurfa,2,102129,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %17, arka-grup %42, on-grup %42, onde %0.",2/12 (17%) | 5/12 (42%) | 5/12 (42%) | 0/12 (0%),,X,7.99,https://yenibeygir.com/at/102129/beray-sultan,bulundu
NERGİSLİK TAY,,7.02,1800,Kum,50,60,Şanlıurfa,12,101405,Takipçi,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %31, arka-grup %31, on-grup %38, onde %0.",4/13 (31%) | 4/13 (31%) | 5/13 (38%) | 0/13 (0%),,X,13.25,https://yenibeygir.com/at/101405/nergislik-tay,bulundu
,5. Koşu,,,,,,,,,,,,,,,,,
GÜÇLÜ PRENS,,7.15,1900,Kum,56.5,57.4,Adana,8,94635,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %79, arka-grup %21, on-grup %0, onde %0.",33/42 (79%) | 9/42 (21%) | 0/42 (0%) | 0/42 (0%),,,0.70,https://yenibeygir.com/at/94635/guclu-prens,bulundu
CAZGIR YAŞAR,,7.17,1900,Kum,58.5,60.5,Adana,3,97291,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %68, arka-grup %32, on-grup %0, onde %0.",19/28 (68%) | 9/28 (32%) | 0/28 (0%) | 0/28 (0%),,,1.18,https://yenibeygir.com/at/97291/cazgir-yasar,bulundu
SAADIN KASIRGASI,,7.25,2100,Sentetik,60.5,59.5,Antalya,1,93614,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %60, arka-grup %29, on-grup %10, onde %1.",50/83 (60%) | 24/83 (29%) | 8/83 (10%) | 1/83 (1%),,,0.34,https://yenibeygir.com/at/93614/saadin-kasirgasi,bulundu
TURAN YILDIZI,,7.28,1500,Kum,60.5,57,Adana,2,97222,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %44, arka-grup %36, on-grup %20, onde %0.",11/25 (44%) | 9/25 (36%) | 5/25 (20%) | 0/25 (0%),,,1.37,https://yenibeygir.com/at/97222/turan-yildizi,bulundu
ERDİ BEY,,7.29,1500,Kum,56.5,56,Adana,9,94941,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %4, arka-grup %30, on-grup %61, onde %4.",2/46 (4%) | 14/46 (30%) | 28/46 (61%) | 2/46 (4%),,,2.27,https://yenibeygir.com/at/94941/erdi-bey,bulundu
İSKİT ALP,,7.36,1500,Sentetik,56.5,57.3,Antalya,5,97844,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %43, on-grup %57, onde %0.",0/30 (0%) | 13/30 (43%) | 17/30 (57%) | 0/30 (0%),,,2.60,https://yenibeygir.com/at/97844/iskit-alp,bulundu
SİDAR BEY,,7.40,2200,Kum,56.5,60,Adana,7,97967,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %6, arka-grup %10, on-grup %74, onde %10.",2/31 (6%) | 3/31 (10%) | 23/31 (74%) | 3/31 (10%),Sulu,,3.06,https://yenibeygir.com/at/97967/sidar-bey,bulundu
KULAGER,,7.54,1400,Kum,56.5,61,Adana,6,98077,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %5, arka-grup %23, on-grup %66, onde %7.",2/44 (5%) | 10/44 (23%) | 29/44 (66%) | 3/44 (7%),,X,5.53,https://yenibeygir.com/at/98077/kulager,bulundu
FENNAN,,8.03,1400,Kum,53.5,57,Antalya,10,97887,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %5, arka-grup %9, on-grup %32, onde %55.",1/22 (5%) | 2/22 (9%) | 7/22 (32%) | 12/22 (55%),,X,10.33,https://yenibeygir.com/at/97887/fennan,bulundu
