At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,At Profili,Eslesme
BLUEBACK,,6.54,1400,Kum,52,54,Bursa,4,104416,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %20, arka-grup %60, on-grup %20, onde %0.",1/5 (20%) | 3/5 (60%) | 1/5 (20%) | 0/5 (0%),https://yenibeygir.com/at/104416/blueback,bulundu
RASİM HAN,,6.60,1800,Kum,57,57.5,Bursa,3,101863,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %12, on-grup %50, onde %38.",0/8 (0%) | 1/8 (12%) | 4/8 (50%) | 3/8 (38%),https://yenibeygir.com/at/101863/rasim-han,bulundu
BEYLERİNBEYİ,,6.66,1800,Kum,60.5,57.1,Bursa,1,103336,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %9, arka-grup %18, on-grup %64, onde %9.",1/11 (9%) | 2/11 (18%) | 7/11 (64%) | 1/11 (9%),https://yenibeygir.com/at/103336/beylerinbeyi,bulundu
ARSLAN KAN,,6.69,1400,Kum,50,54.2,Bursa,6,103224,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %33, on-grup %33, onde %0.",3/9 (33%) | 3/9 (33%) | 3/9 (33%) | 0/9 (0%),https://yenibeygir.com/at/103224/arslan-kan,bulundu
YAĞIZ BİKE,,6.82,1600,Kum,53.5,56.4,İzmir,5,105179,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %25, arka-grup %75, on-grup %0, onde %0.",1/4 (25%) | 3/4 (75%) | 0/4 (0%) | 0/4 (0%),https://yenibeygir.com/at/105179/yagiz-bike,bulundu
ROBERTKAYA,,6.90,1900,Kum,50,56.5,Bursa,7,104516,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %50, arka-grup %25, on-grup %25, onde %0.",4/8 (50%) | 2/8 (25%) | 2/8 (25%) | 0/8 (0%),https://yenibeygir.com/at/104516/robertkaya,bulundu
,4. Koşu,,,,,,,,,,,,,,
ALAMAÇ,,geçersiz,,,57,,,1,105976,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105976/alamac,bulundu
GİDERLİCAN,,geçersiz,,,57,,,2,105800,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105800/giderlican,bulundu
HUDUTSUZ,,geçersiz,,,57,,,3,106353,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/106353/hudutsuz,bulundu
KARAKÖPRÜ ATEŞİ,,geçersiz,,,57,,,4,106746,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/106746/karakopru-atesi,bulundu
MİREKTAY,,geçersiz,,,57,,,5,105828,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105828/mirektay,bulundu
SALGUR,,geçersiz,,,57,,,6,106540,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/106540/salgur,bulundu
SAMSUNLU BEY,,geçersiz,,,57,,,7,105903,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105903/samsunlu-bey,bulundu
TOPLUSER,,geçersiz,,,57,,,8,105970,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105970/topluser,bulundu
BANGU,,geçersiz,,,55,,,9,106509,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/106509/bangu,bulundu
GÜNŞİRAY,,geçersiz,,,55,,,10,105569,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105569/gunsiray,bulundu
KETRA,,geçersiz,,,55,,,11,105667,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105667/ketra,bulundu
ULU CİHAN,,geçersiz,,,55,,,12,105586,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105586/ulu-cihan,bulundu
,5. Koşu,,,,,,,,,,,,,,
BAĞNI ÇİÇEK,,7.03,1400,Kum,54.5,63,Bursa,7,99163,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %28, arka-grup %40, on-grup %30, onde %2.",11/40 (28%) | 16/40 (40%) | 12/40 (30%) | 1/40 (2%),https://yenibeygir.com/at/99163/bagni-cicek,bulundu
NEFESİMOL,,7.04,1800,Kum,50,54.1,Bursa,16,102565,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %17, arka-grup %50, on-grup %33, onde %0.",3/18 (17%) | 9/18 (50%) | 6/18 (33%) | 0/18 (0%),https://yenibeygir.com/at/102565/nefesimol,bulundu
PRENSES MEHLİKA,,7.06,1800,Kum,59,54,Bursa,3,102507,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %5, arka-grup %32, on-grup %63, onde %0.",1/19 (5%) | 6/19 (32%) | 12/19 (63%) | 0/19 (0%),https://yenibeygir.com/at/102507/prenses-mehlika,bulundu
AKSU NEHİR,,7.07,1400,Kum,52,54.5,Antalya,12,89605,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %1, arka-grup %12, on-grup %77, onde %9.",1/97 (1%) | 12/97 (12%) | 75/97 (77%) | 9/97 (9%),https://yenibeygir.com/at/89605/aksu-nehir,bulundu
GENÇ MİMAR,,7.09,1300,Sentetik,56.5,51.7,İstanbul,5,81535,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %9, arka-grup %6, on-grup %34, onde %51.",8/86 (9%) | 5/86 (6%) | 29/86 (34%) | 44/86 (51%),https://yenibeygir.com/at/81535/genc-mimar,bulundu
THORADA,,7.12,1400,Kum,52,56.2,İstanbul,10,103997,Takipçi,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %38, arka-grup %12, on-grup %50, onde %0.",3/8 (38%) | 1/8 (12%) | 4/8 (50%) | 0/8 (0%),https://yenibeygir.com/at/103997/thorada,bulundu
MEŞE PALAMUDU,,7.12,1400,Kum,50,52,İzmir,15,101565,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %42, arka-grup %35, on-grup %23, onde %0.",11/26 (42%) | 9/26 (35%) | 6/26 (23%) | 0/26 (0%),https://yenibeygir.com/at/101565/mese-palamudu,bulundu
ESRABO,,7.14,1800,Kum,53,56.5,Bursa,11,98636,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %21, arka-grup %0, on-grup %64, onde %14.",3/14 (21%) | 0/14 (0%) | 9/14 (64%) | 2/14 (14%),https://yenibeygir.com/at/98636/esrabo,bulundu
KOVAN,,7.18,1800,Kum,51.5,53.1,Bursa,13,99631,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %7, arka-grup %50, on-grup %43, onde %0.",1/14 (7%) | 7/14 (50%) | 6/14 (43%) | 0/14 (0%),https://yenibeygir.com/at/99631/kovan,bulundu
İLCİN HATUN,,7.23,1800,Kum,53.5,54,Bursa,9,96300,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %4, arka-grup %25, on-grup %50, onde %21.",1/24 (4%) | 6/24 (25%) | 12/24 (50%) | 5/24 (21%),https://yenibeygir.com/at/96300/ilcin-hatun,bulundu
AYBENOVA,,7.41,2000,Kum,62,56.5,İstanbul,2,98177,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %12, arka-grup %40, on-grup %49, onde %0.",5/43 (12%) | 17/43 (40%) | 21/43 (49%) | 0/43 (0%),https://yenibeygir.com/at/98177/aybenova,bulundu
GEWRE,,7.43,1800,Kum,56,56.8,Bursa,6,104408,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %10, on-grup %80, onde %10.",0/10 (0%) | 1/10 (10%) | 8/10 (80%) | 1/10 (10%),https://yenibeygir.com/at/104408/gewre,bulundu
