at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,at_profili,at_id
1,SUBİKE,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %22, arka-grup %34, on-grup %44, onde %1.",28/130 (22%) | 44/130 (34%) | 57/130 (44%) | 1/130 (1%),28/130 (22%),44/130 (34%),57/130 (44%),1/130 (1%),https://yenibeygir.com/at/76958/subike,76958
2,BENİM SULTANIM,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %4, arka-grup %26, on-grup %48, onde %22.",1/27 (4%) | 7/27 (26%) | 13/27 (48%) | 6/27 (22%),1/27 (4%),7/27 (26%),13/27 (48%),6/27 (22%),https://yenibeygir.com/at/98608/benim-sultanim,98608
3,BİLETÇİ KIZ,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %44, on-grup %19, onde %4.",9/27 (33%) | 12/27 (44%) | 5/27 (19%) | 1/27 (4%),9/27 (33%),12/27 (44%),5/27 (19%),1/27 (4%),https://yenibeygir.com/at/93575/biletci-kiz,93575
4,BLUEMOON,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %5, arka-grup %14, on-grup %48, onde %33.",1/21 (5%) | 3/21 (14%) | 10/21 (48%) | 7/21 (33%),1/21 (5%),3/21 (14%),10/21 (48%),7/21 (33%),https://yenibeygir.com/at/94362/bluemoon,94362
5,DİLAN KIZ,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %3, arka-grup %9, on-grup %31, onde %57.",2/74 (3%) | 7/74 (9%) | 23/74 (31%) | 42/74 (57%),2/74 (3%),7/74 (9%),23/74 (31%),42/74 (57%),https://yenibeygir.com/at/89077/dilan-kiz,89077
6,FIRATIN GÜCÜ,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %51, arka-grup %27, on-grup %16, onde %5.",19/37 (51%) | 10/37 (27%) | 6/37 (16%) | 2/37 (5%),19/37 (51%),10/37 (27%),6/37 (16%),2/37 (5%),https://yenibeygir.com/at/97348/firatin-gucu,97348
7,NERGİZLİ,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %21, arka-grup %12, on-grup %67, onde %0.",5/24 (21%) | 3/24 (12%) | 16/24 (67%) | 0/24 (0%),5/24 (21%),3/24 (12%),16/24 (67%),0/24 (0%),https://yenibeygir.com/at/97202/nergizli,97202
8,SAADGIRL,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %2, on-grup %46, onde %52.",0/48 (0%) | 1/48 (2%) | 22/48 (46%) | 25/48 (52%),0/48 (0%),1/48 (2%),22/48 (46%),25/48 (52%),https://yenibeygir.com/at/95352/saadgirl,95352
9,TUĞCU SULTAN,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %5, arka-grup %57, on-grup %38, onde %0.",1/21 (5%) | 12/21 (57%) | 8/21 (38%) | 0/21 (0%),1/21 (5%),12/21 (57%),8/21 (38%),0/21 (0%),https://yenibeygir.com/at/98321/tugcu-sultan,98321
1,ARABIAN NIGHTS,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105460/arabian-nights,105460
