At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,At Profili,Eslesme
GÜVENABİ,,7.60,1900,Kum,61.5,56.5,Şanlıurfa,4,94203,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %5, arka-grup %5, on-grup %39, onde %50.",2/38 (5%) | 2/38 (5%) | 15/38 (39%) | 19/38 (50%),https://yenibeygir.com/at/94203/guvenabi,bulundu
BAY UTKU,,7.66,1300,Kum,54.5,56,Şanlıurfa,10,100397,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %7, arka-grup %13, on-grup %40, onde %40.",1/15 (7%) | 2/15 (13%) | 6/15 (40%) | 6/15 (40%),https://yenibeygir.com/at/100397/bay-utku,bulundu
RÜZGARTEPESİ,,7.73,1200,Kum,59.5,58,Elazığ,6,94399,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %5, arka-grup %15, on-grup %66, onde %14.",4/86 (5%) | 13/86 (15%) | 57/86 (66%) | 12/86 (14%),https://yenibeygir.com/at/94399/ruzgartepesi,bulundu
BÜYÜK DAĞ,,7.75,1700,Kum,63,58.5,Şanlıurfa,1,97498,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %6, arka-grup %31, on-grup %62, onde %0.",1/16 (6%) | 5/16 (31%) | 10/16 (62%) | 0/16 (0%),https://yenibeygir.com/at/97498/buyuk-dag,bulundu
LAVİSTAKAYA,,7.76,1200,Kum,57,63,Elazığ,9,97962,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %60, arka-grup %25, on-grup %15, onde %0.",29/48 (60%) | 12/48 (25%) | 7/48 (15%) | 0/48 (0%),https://yenibeygir.com/at/97962/lavistakaya,bulundu
HAMDİ AĞA,,7.90,2100,Kum,62.5,63,Şanlıurfa,2,97864,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %5, arka-grup %28, on-grup %62, onde %5.",2/39 (5%) | 11/39 (28%) | 24/39 (62%) | 2/39 (5%),https://yenibeygir.com/at/97864/hamdi-aga,bulundu
ÇABUK,,8.50,1400,Kum,59,59,Adana,7,86471,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %38, arka-grup %31, on-grup %29, onde %2.",18/48 (38%) | 15/48 (31%) | 14/48 (29%) | 1/48 (2%),https://yenibeygir.com/at/86471/cabuk,bulundu
SEDEN KIZ,,geçersiz,2000,Kum,54,60,Elazığ,8,94226,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %8, arka-grup %28, on-grup %47, onde %17.",3/36 (8%) | 10/36 (28%) | 17/36 (47%) | 6/36 (17%),https://yenibeygir.com/at/94226/seden-kiz,bulundu
,4. Koşu,,,,,,,,,,,,,,
BRAVO GÜR,,geçersiz,,,58.5,,,1,106968,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/106968/bravo-gur,bulundu
