At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,Son Kosu Zemin Durumu,Birinciden 5sn+,Birinciden Fark Sn,At Profili,Eslesme
,1. Koşu,,,,,,,,,,,,,,,,,
ELSENORDELOSCIELOS,,geçersiz,,,57.2,,,1,105588,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/105588/elsenordeloscielos,bulundu
LUNGTA,,geçersiz,,,57,,,2,106025,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/106025/lungta,bulundu
PUYOL,,geçersiz,,,57.5,,,3,105981,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/105981/puyol,bulundu
RISING GLORY,,geçersiz,,,58.2,,,4,107090,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/107090/rising-glory,bulundu
BLUE ROYAL,,geçersiz,,,55.2,,,5,106583,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/106583/blue-royal,bulundu
GREENLIFE,,geçersiz,,,55,,,6,106903,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/106903/greenlife,bulundu
LILYHAMMER,,geçersiz,,,55,,,7,106736,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/106736/lilyhammer,bulundu
NEBULA STAR,,geçersiz,,,56.8,,,8,105675,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/105675/nebula-star,bulundu
SILA ALEYNA,,geçersiz,,,57,,,9,106544,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/106544/sila-aleyna,bulundu
,2. Koşu,,,,,,,,,,,,,,,,,
GÜL AYALI,,6.58,1300,Sentetik,61,58,İstanbul,1,93286,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %5, arka-grup %24, on-grup %68, onde %3.",2/37 (5%) | 9/37 (24%) | 25/37 (68%) | 1/37 (3%),,,0.00,https://yenibeygir.com/at/93286/gul-ayali,bulundu
AKGOBAK,,6.65,1200,Çim,56.4,53.2,İzmir,2,90541,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %34, arka-grup %38, on-grup %26, onde %2.",18/53 (34%) | 20/53 (38%) | 14/53 (26%) | 1/53 (2%),,,1.36,https://yenibeygir.com/at/90541/akgobak,bulundu
JAFAR,,6.65,1800,Çim,58,59,Adana,6,95205,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %4, arka-grup %26, on-grup %70, onde %0.",1/23 (4%) | 6/23 (26%) | 16/23 (70%) | 0/23 (0%),,,0.32,https://yenibeygir.com/at/95205/jafar,bulundu
SANCAKALAN,,6.65,2200,Sentetik,56.2,61.5,Antalya,9,100932,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %6, arka-grup %12, on-grup %53, onde %29.",1/17 (6%) | 2/17 (12%) | 9/17 (53%) | 5/17 (29%),,,1.09,https://yenibeygir.com/at/100932/sancakalan,bulundu
ATILIMBEYİ,,6.66,2100,Çim,53,57.5,İstanbul,4,92968,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %10, arka-grup %41, on-grup %49, onde %0.",5/49 (10%) | 20/49 (41%) | 24/49 (49%) | 0/49 (0%),,,1.55,https://yenibeygir.com/at/92968/atilimbeyi,bulundu
PRENSES DI,,6.66,2100,Kum,56,55.8,Bursa,13,90136,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %47, arka-grup %33, on-grup %18, onde %2.",26/55 (47%) | 18/55 (33%) | 10/55 (18%) | 1/55 (2%),,X,5.75,https://yenibeygir.com/at/90136/prenses-di,bulundu
BANDIRMALI,,6.70,1700,Çim,56,60,Bursa,15,90440,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %5, arka-grup %15, on-grup %70, onde %10.",2/40 (5%) | 6/40 (15%) | 28/40 (70%) | 4/40 (10%),,,0.95,https://yenibeygir.com/at/90440/bandirmali,bulundu
PRENS CORA,,6.73,1300,Kum,57.1,59.5,Bursa,8,78684,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %9, arka-grup %58, on-grup %33, onde %0.",10/107 (9%) | 62/107 (58%) | 35/107 (33%) | 0/107 (0%),Nem,,3.77,https://yenibeygir.com/at/78684/prens-cora,bulundu
ALYADİGAR,,6.73,1800,Çim,54.3,55,İzmir,16,90313,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %28, arka-grup %55, on-grup %17, onde %0.",13/47 (28%) | 26/47 (55%) | 8/47 (17%) | 0/47 (0%),,,1.32,https://yenibeygir.com/at/90313/alyadigar,bulundu
AKTAŞKAYA,,6.75,1600,Çim,57,59.5,İstanbul,3,92963,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %19, arka-grup %39, on-grup %41, onde %2.",10/54 (19%) | 21/54 (39%) | 22/54 (41%) | 1/54 (2%),"Hafif Çim (3,4)",,1.15,https://yenibeygir.com/at/92963/aktaskaya,bulundu
TARÇINKIZ,,6.76,1800,Çim,55,61,İzmir,12,97606,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %21, on-grup %76, onde %3.",0/38 (0%) | 8/38 (21%) | 29/38 (76%) | 1/38 (3%),,,0.50,https://yenibeygir.com/at/97606/tarcinkiz,bulundu
TUNCER,,6.80,1400,Kum,56,59,Bursa,10,79160,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %10, arka-grup %9, on-grup %48, onde %33.",10/102 (10%) | 9/102 (9%) | 49/102 (48%) | 34/102 (33%),Nem,X,6.32,https://yenibeygir.com/at/79160/tuncer,bulundu
MADEN DAĞI,,6.82,1300,Kum,56.1,61,Bursa,7,94210,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %10, arka-grup %29, on-grup %58, onde %2.",5/48 (10%) | 14/48 (29%) | 28/48 (58%) | 1/48 (2%),Nem,X,5.28,https://yenibeygir.com/at/94210/maden-dagi,bulundu
İDİLYILDIZ,,6.93,2200,Sentetik,57,59.5,Antalya,11,93307,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %22, arka-grup %47, on-grup %24, onde %8.",11/51 (22%) | 24/51 (47%) | 12/51 (24%) | 4/51 (8%),,X,7.44,https://yenibeygir.com/at/93307/idilyildiz,bulundu
DİLARASULTANIM,,7.04,1900,Kum,54.7,59.5,İzmir,14,98779,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %39, arka-grup %44, on-grup %17, onde %0.",7/18 (39%) | 8/18 (44%) | 3/18 (17%) | 0/18 (0%),Nem,X,9.16,https://yenibeygir.com/at/98779/dilarasultanim,bulundu
