at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,at_profili,at_id
3,BOLD RACER,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %5, arka-grup %25, on-grup %39, onde %32.",2/44 (5%) | 11/44 (25%) | 17/44 (39%) | 14/44 (32%),2/44 (5%),11/44 (25%),17/44 (39%),14/44 (32%),https://yenibeygir.com/at/95535/bold-racer,95535
4,BY CURA,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %5, arka-grup %31, on-grup %62, onde %3.",2/39 (5%) | 12/39 (31%) | 24/39 (62%) | 1/39 (3%),2/39 (5%),12/39 (31%),24/39 (62%),1/39 (3%),https://yenibeygir.com/at/96157/by-cura,96157
5,LION ROBERO,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %7, arka-grup %33, on-grup %45, onde %14.",3/42 (7%) | 14/42 (33%) | 19/42 (45%) | 6/42 (14%),3/42 (7%),14/42 (33%),19/42 (45%),6/42 (14%),https://yenibeygir.com/at/97682/lion-robero,97682
6,GREEN GÖLE,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %8, arka-grup %12, on-grup %50, onde %31.",2/26 (8%) | 3/26 (12%) | 13/26 (50%) | 8/26 (31%),2/26 (8%),3/26 (12%),13/26 (50%),8/26 (31%),https://yenibeygir.com/at/98839/green-gole,98839
7,HENAIRE,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %3, arka-grup %0, on-grup %29, onde %68.",1/34 (3%) | 0/34 (0%) | 10/34 (29%) | 23/34 (68%),1/34 (3%),0/34 (0%),10/34 (29%),23/34 (68%),https://yenibeygir.com/at/96645/henaire,96645
8,IRON LION,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %7, arka-grup %13, on-grup %63, onde %17.",2/30 (7%) | 4/30 (13%) | 19/30 (63%) | 5/30 (17%),2/30 (7%),4/30 (13%),19/30 (63%),5/30 (17%),https://yenibeygir.com/at/101557/iron-lion,101557
9,DERKO,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %55, arka-grup %29, on-grup %11, onde %5.",34/62 (55%) | 18/62 (29%) | 7/62 (11%) | 3/62 (5%),34/62 (55%),18/62 (29%),7/62 (11%),3/62 (5%),https://yenibeygir.com/at/96330/derko,96330
10,EXOSOME,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %31, arka-grup %35, on-grup %35, onde %0.",8/26 (31%) | 9/26 (35%) | 9/26 (35%) | 0/26 (0%),8/26 (31%),9/26 (35%),9/26 (35%),0/26 (0%),https://yenibeygir.com/at/98961/exosome,98961
1,PEANUT GIRL,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %14, on-grup %64, onde %21.",0/14 (0%) | 2/14 (14%) | 9/14 (64%) | 3/14 (21%),0/14 (0%),2/14 (14%),9/14 (64%),3/14 (21%),https://yenibeygir.com/at/103015/peanut-girl,103015
2,RAHAT OLL,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %7, arka-grup %7, on-grup %7, onde %80.",1/15 (7%) | 1/15 (7%) | 1/15 (7%) | 12/15 (80%),1/15 (7%),1/15 (7%),1/15 (7%),12/15 (80%),https://yenibeygir.com/at/101798/rahat-oll,101798
3,KADIKÖY GÜZELİ,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %7, arka-grup %0, on-grup %7, onde %87.",1/15 (7%) | 0/15 (0%) | 1/15 (7%) | 13/15 (87%),1/15 (7%),0/15 (0%),1/15 (7%),13/15 (87%),https://yenibeygir.com/at/103753/kadikoy-guzeli,103753
4,ÇEVİK DEVRANI,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %17, arka-grup %17, on-grup %50, onde %17.",1/6 (17%) | 1/6 (17%) | 3/6 (50%) | 1/6 (17%),1/6 (17%),1/6 (17%),3/6 (50%),1/6 (17%),https://yenibeygir.com/at/102736/cevik-devrani,102736
5,MY CURRA,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %17, on-grup %33, onde %50.",0/6 (0%) | 1/6 (17%) | 2/6 (33%) | 3/6 (50%),0/6 (0%),1/6 (17%),2/6 (33%),3/6 (50%),https://yenibeygir.com/at/105014/my-curra,105014
6,BAY WIND,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %80, arka-grup %20, on-grup %0, onde %0.",4/5 (80%) | 1/5 (20%) | 0/5 (0%) | 0/5 (0%),4/5 (80%),1/5 (20%),0/5 (0%),0/5 (0%),https://yenibeygir.com/at/103574/bay-wind,103574
7,DÜZCE ASLANI,Takipçi,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %35, arka-grup %18, on-grup %47, onde %0.",6/17 (35%) | 3/17 (18%) | 8/17 (47%) | 0/17 (0%),6/17 (35%),3/17 (18%),8/17 (47%),0/17 (0%),https://yenibeygir.com/at/103847/duzce-aslani,103847
8,LADY SCREAM,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %40, arka-grup %30, on-grup %30, onde %0.",4/10 (40%) | 3/10 (30%) | 3/10 (30%) | 0/10 (0%),4/10 (40%),3/10 (30%),3/10 (30%),0/10 (0%),https://yenibeygir.com/at/104677/lady-scream,104677
9,KIZIM NAZERİN,Sprinter,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %0, on-grup %33, onde %33.",2/6 (33%) | 0/6 (0%) | 2/6 (33%) | 2/6 (33%),2/6 (33%),0/6 (0%),2/6 (33%),2/6 (33%),https://yenibeygir.com/at/104727/kizim-nazerin,104727
1,NAGAOKA,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %27, arka-grup %27, on-grup %47, onde %0.",4/15 (27%) | 4/15 (27%) | 7/15 (47%) | 0/15 (0%),4/15 (27%),4/15 (27%),7/15 (47%),0/15 (0%),https://yenibeygir.com/at/104888/nagaoka,104888
2,HEYLİ VEYLİ,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %46, on-grup %21, onde %0.",8/24 (33%) | 11/24 (46%) | 5/24 (21%) | 0/24 (0%),8/24 (33%),11/24 (46%),5/24 (21%),0/24 (0%),https://yenibeygir.com/at/102522/heyli-veyli,102522
3,PRENSES MELTEM,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %10, arka-grup %50, on-grup %40, onde %0.",1/10 (10%) | 5/10 (50%) | 4/10 (40%) | 0/10 (0%),1/10 (10%),5/10 (50%),4/10 (40%),0/10 (0%),https://yenibeygir.com/at/105137/prenses-meltem,105137
4,ANGEL,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %30, arka-grup %40, on-grup %30, onde %0.",3/10 (30%) | 4/10 (40%) | 3/10 (30%) | 0/10 (0%),3/10 (30%),4/10 (40%),3/10 (30%),0/10 (0%),https://yenibeygir.com/at/102360/angel,102360
5,ANGRY EAGLE,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %38, arka-grup %38, on-grup %25, onde %0.",3/8 (38%) | 3/8 (38%) | 2/8 (25%) | 0/8 (0%),3/8 (38%),3/8 (38%),2/8 (25%),0/8 (0%),https://yenibeygir.com/at/105248/angry-eagle,105248
6,CANDIA,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %17, arka-grup %33, on-grup %50, onde %0.",2/12 (17%) | 4/12 (33%) | 6/12 (50%) | 0/12 (0%),2/12 (17%),4/12 (33%),6/12 (50%),0/12 (0%),https://yenibeygir.com/at/102578/candia,102578
7,ÇEBİ KIZI,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %100, arka-grup %0, on-grup %0, onde %0.",3/3 (100%) | 0/3 (0%) | 0/3 (0%) | 0/3 (0%),3/3 (100%),0/3 (0%),0/3 (0%),0/3 (0%),https://yenibeygir.com/at/105044/cebi-kizi,105044
8,FUTURE BREEZE,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %17, arka-grup %33, on-grup %50, onde %0.",1/6 (17%) | 2/6 (33%) | 3/6 (50%) | 0/6 (0%),1/6 (17%),2/6 (33%),3/6 (50%),0/6 (0%),https://yenibeygir.com/at/104841/future-breeze,104841
9,LADY SAFİŞ,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %50, onde %50.",0/2 (0%) | 0/2 (0%) | 1/2 (50%) | 1/2 (50%),0/2 (0%),0/2 (0%),1/2 (50%),1/2 (50%),https://yenibeygir.com/at/105496/lady-safis,105496
10,LOTUS GIRL,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %11, arka-grup %33, on-grup %56, onde %0.",1/9 (11%) | 3/9 (33%) | 5/9 (56%) | 0/9 (0%),1/9 (11%),3/9 (33%),5/9 (56%),0/9 (0%),https://yenibeygir.com/at/104726/lotus-girl,104726
1,GELİŞİ GÜZEL,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %5, arka-grup %25, on-grup %59, onde %11.",3/63 (5%) | 16/63 (25%) | 37/63 (59%) | 7/63 (11%),3/63 (5%),16/63 (25%),37/63 (59%),7/63 (11%),https://yenibeygir.com/at/93641/gelisi-guzel,93641
2,KARACA DÜNYA,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %32, arka-grup %46, on-grup %22, onde %0.",12/37 (32%) | 17/37 (46%) | 8/37 (22%) | 0/37 (0%),12/37 (32%),17/37 (46%),8/37 (22%),0/37 (0%),https://yenibeygir.com/at/98882/karaca-dunya,98882
3,LAVİSTAKAYA,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %60, arka-grup %25, on-grup %15, onde %0.",29/48 (60%) | 12/48 (25%) | 7/48 (15%) | 0/48 (0%),29/48 (60%),12/48 (25%),7/48 (15%),0/48 (0%),https://yenibeygir.com/at/97962/lavistakaya,97962
4,ULU ECE,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %14, arka-grup %0, on-grup %14, onde %71.",1/7 (14%) | 0/7 (0%) | 1/7 (14%) | 5/7 (71%),1/7 (14%),0/7 (0%),1/7 (14%),5/7 (71%),https://yenibeygir.com/at/103415/ulu-ece,103415
5,NEVALÇİÇEĞİ,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %10, arka-grup %40, on-grup %50, onde %0.",2/20 (10%) | 8/20 (40%) | 10/20 (50%) | 0/20 (0%),2/20 (10%),8/20 (40%),10/20 (50%),0/20 (0%),https://yenibeygir.com/at/102687/nevalcicegi,102687
6,LOS ADANOS,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %50, arka-grup %25, on-grup %25, onde %0.",2/4 (50%) | 1/4 (25%) | 1/4 (25%) | 0/4 (0%),2/4 (50%),1/4 (25%),1/4 (25%),0/4 (0%),https://yenibeygir.com/at/99246/los-adanos,99246
7,KARAZEMİN GÜLÜ,Takipçi,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %37, arka-grup %21, on-grup %42, onde %0.",7/19 (37%) | 4/19 (21%) | 8/19 (42%) | 0/19 (0%),7/19 (37%),4/19 (21%),8/19 (42%),0/19 (0%),https://yenibeygir.com/at/101705/karazemin-gulu,101705
8,Bİ ANKA,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %12, on-grup %59, onde %29.",0/17 (0%) | 2/17 (12%) | 10/17 (59%) | 5/17 (29%),0/17 (0%),2/17 (12%),10/17 (59%),5/17 (29%),https://yenibeygir.com/at/102164/bi-anka,102164
9,ALKURUŞKIZI,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %11, arka-grup %42, on-grup %47, onde %0.",2/19 (11%) | 8/19 (42%) | 9/19 (47%) | 0/19 (0%),2/19 (11%),8/19 (42%),9/19 (47%),0/19 (0%),https://yenibeygir.com/at/102438/alkuruskizi,102438
10,YAĞTU,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %17, arka-grup %33, on-grup %50, onde %0.",1/6 (17%) | 2/6 (33%) | 3/6 (50%) | 0/6 (0%),1/6 (17%),2/6 (33%),3/6 (50%),0/6 (0%),https://yenibeygir.com/at/104498/yagtu,104498
11,NAZLI BERRA,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %59, arka-grup %30, on-grup %11, onde %0.",16/27 (59%) | 8/27 (30%) | 3/27 (11%) | 0/27 (0%),16/27 (59%),8/27 (30%),3/27 (11%),0/27 (0%),https://yenibeygir.com/at/101432/nazli-berra,101432
12,YOVANKA,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %12, arka-grup %12, on-grup %53, onde %24.",2/17 (12%) | 2/17 (12%) | 9/17 (53%) | 4/17 (24%),2/17 (12%),2/17 (12%),9/17 (53%),4/17 (24%),https://yenibeygir.com/at/101006/yovanka,101006
13,GELİNİM SİNEM,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %21, arka-grup %29, on-grup %43, onde %7.",3/14 (21%) | 4/14 (29%) | 6/14 (43%) | 1/14 (7%),3/14 (21%),4/14 (29%),6/14 (43%),1/14 (7%),https://yenibeygir.com/at/102359/gelinim-sinem,102359
14,ZAFİRE SULTAN,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %8, arka-grup %52, on-grup %36, onde %4.",2/25 (8%) | 13/25 (52%) | 9/25 (36%) | 1/25 (4%),2/25 (8%),13/25 (52%),9/25 (36%),1/25 (4%),https://yenibeygir.com/at/99024/zafire-sultan,99024
15,ALTIN SULTAN,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %8, arka-grup %8, on-grup %69, onde %15.",1/13 (8%) | 1/13 (8%) | 9/13 (69%) | 2/13 (15%),1/13 (8%),1/13 (8%),9/13 (69%),2/13 (15%),https://yenibeygir.com/at/98859/altin-sultan,98859
