at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,at_profili,at_id
3,BERHAN BEYLİ,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %45, arka-grup %36, on-grup %14, onde %5.",10/22 (45%) | 8/22 (36%) | 3/22 (14%) | 1/22 (5%),10/22 (45%),8/22 (36%),3/22 (14%),1/22 (5%),https://yenibeygir.com/at/101772/berhan-beyli,101772
4,SANATKAR,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %12, arka-grup %75, on-grup %12, onde %0.",1/8 (12%) | 6/8 (75%) | 1/8 (12%) | 0/8 (0%),1/8 (12%),6/8 (75%),1/8 (12%),0/8 (0%),https://yenibeygir.com/at/101789/sanatkar,101789
5,KÜÇÜK YUNUS,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %67, arka-grup %22, on-grup %11, onde %0.",12/18 (67%) | 4/18 (22%) | 2/18 (11%) | 0/18 (0%),12/18 (67%),4/18 (22%),2/18 (11%),0/18 (0%),https://yenibeygir.com/at/101275/kucuk-yunus,101275
6,BOYRAZAĞA,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %6, arka-grup %12, on-grup %69, onde %12.",1/16 (6%) | 2/16 (12%) | 11/16 (69%) | 2/16 (12%),1/16 (6%),2/16 (12%),11/16 (69%),2/16 (12%),https://yenibeygir.com/at/101347/boyrazaga,101347
7,MUŞARDAĞI,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %17, arka-grup %33, on-grup %50, onde %0.",2/12 (17%) | 4/12 (33%) | 6/12 (50%) | 0/12 (0%),2/12 (17%),4/12 (33%),6/12 (50%),0/12 (0%),https://yenibeygir.com/at/101277/musardagi,101277
1,TURBOKOLİK,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %15, arka-grup %23, on-grup %38, onde %23.",2/13 (15%) | 3/13 (23%) | 5/13 (38%) | 3/13 (23%),2/13 (15%),3/13 (23%),5/13 (38%),3/13 (23%),https://yenibeygir.com/at/103081/turbokolik,103081
2,SENUBEN,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %25, on-grup %31, onde %44.",0/16 (0%) | 4/16 (25%) | 5/16 (31%) | 7/16 (44%),0/16 (0%),4/16 (25%),5/16 (31%),7/16 (44%),https://yenibeygir.com/at/102713/senuben,102713
3,TAM BİR SAVAŞÇI,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %5, arka-grup %11, on-grup %74, onde %11.",1/19 (5%) | 2/19 (11%) | 14/19 (74%) | 2/19 (11%),1/19 (5%),2/19 (11%),14/19 (74%),2/19 (11%),https://yenibeygir.com/at/101659/tam-bir-savasci,101659
4,DEDE ENSAR,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %13, arka-grup %13, on-grup %67, onde %7.",2/15 (13%) | 2/15 (13%) | 10/15 (67%) | 1/15 (7%),2/15 (13%),2/15 (13%),10/15 (67%),1/15 (7%),https://yenibeygir.com/at/101779/dede-ensar,101779
5,SERDENİZ,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %42, on-grup %58, onde %0.",0/12 (0%) | 5/12 (42%) | 7/12 (58%) | 0/12 (0%),0/12 (0%),5/12 (42%),7/12 (58%),0/12 (0%),https://yenibeygir.com/at/101321/serdeniz,101321
6,TOSTOS TUĞRUL,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %12, arka-grup %48, on-grup %40, onde %0.",3/25 (12%) | 12/25 (48%) | 10/25 (40%) | 0/25 (0%),3/25 (12%),12/25 (48%),10/25 (40%),0/25 (0%),https://yenibeygir.com/at/102908/tostos-tugrul,102908
7,MERHAMET,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %71, arka-grup %24, on-grup %5, onde %0.",15/21 (71%) | 5/21 (24%) | 1/21 (5%) | 0/21 (0%),15/21 (71%),5/21 (24%),1/21 (5%),0/21 (0%),https://yenibeygir.com/at/102753/merhamet,102753
