at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,son_kosu_zemin_durumu,birinciden_5sn_fazla,birinciden_fark_sn,at_profili,at_id
5,ENESBERKE,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105376/enesberke,105376
6,HASNENNİ,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106236/hasnenni,106236
7,KAHRAMAN,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106122/kahraman,106122
8,RASTGELOĞLUM,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/107039/rastgeloglum,107039
9,ŞAH TUNALI,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106217/sah-tunali,106217
10,TORLAK,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106510/torlak,106510
11,SON KRALİÇE,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105672/son-kralice,105672
1,CEVAHİRKAN,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %59, arka-grup %41, on-grup %0, onde %0.",13/22 (59%) | 9/22 (41%) | 0/22 (0%) | 0/22 (0%),13/22 (59%),9/22 (41%),0/22 (0%),0/22 (0%),,,0.00,https://yenibeygir.com/at/102208/cevahirkan,102208
2,BERAY SULTAN,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %17, arka-grup %42, on-grup %42, onde %0.",2/12 (17%) | 5/12 (42%) | 5/12 (42%) | 0/12 (0%),2/12 (17%),5/12 (42%),5/12 (42%),0/12 (0%),,X,7.99,https://yenibeygir.com/at/102129/beray-sultan,102129
3,HOPDEDİK,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %20, arka-grup %40, on-grup %40, onde %0.",2/10 (20%) | 4/10 (40%) | 4/10 (40%) | 0/10 (0%),2/10 (20%),4/10 (40%),4/10 (40%),0/10 (0%),,,0.97,https://yenibeygir.com/at/101872/hopdedik,101872
