Kosu,Sira,At,Stil 1,Stil 2,Stil Skoru,Cikti,Guc,Tempo Katkisi,Tempo Tipi,Kazanma Skoru,Dayaniklilik
1. Koşu,1,SHINING DRAGON,Takipçi,Önde Kaçan,3,6.770,1.040,3.121,Düşük Tempo,0.638626,
1. Koşu,2,LİSENDORA,Takipçi,,1,6.330,0.973,0.973,Düşük Tempo,0.344787,
1. Koşu,3,SHIRIN WARRIOR,Takipçi,,1,6.560,1.008,1.008,Düşük Tempo,0.341463,
1. Koşu,4,COSAS,Takipçi,,1,6.600,1.014,1.014,Düşük Tempo,0.340909,
1. Koşu,5,NO MORE SORROW,Orta Grup,Takipçi,1,6.400,0.983,0.983,Düşük Tempo,0.243750,
1. Koşu,6,SECRET VICTOR,Orta Grup,Takipçi,1,6.970,1.071,1.071,Düşük Tempo,0.236083,
1. Koşu,7,SHAREHOLDER,Orta Grup,,0,6.440,0.990,0.000,Düşük Tempo,0.093168,
1. Koşu,8,TALİPHAN BEY,Takipçi,Sprinter,0,6.250,0.960,0.000,Düşük Tempo,0.046000,
1. Koşu,9,FIBER,Takipçi,Sprinter,0,6.380,0.980,0.000,Düşük Tempo,0.044044,
1. Koşu,10,DIRE WOLF,Sprinter,Orta Grup,-1,6.270,0.963,-0.963,Düşük Tempo,-0.404306,
1. Koşu,11,GONE WITH STORM,Sprinter,Orta Grup,-1,6.620,1.017,-1.017,Düşük Tempo,-0.409366,
2. Koşu,1,JASMINE SCENT,Önde Kaçan,,2,6.630,0.996,1.993,Düşük Tempo,0.590498,
2. Koşu,2,İNŞİRAH,Takipçi,,1,6.660,1.001,1.001,Düşük Tempo,0.340090,
2. Koşu,3,SON OF SAINT,Orta Grup,Takipçi,1,6.590,0.990,0.990,Düşük Tempo,0.241047,
2. Koşu,4,ICE DROPS,Orta Grup,,0,6.640,0.998,0.000,Düşük Tempo,0.090361,
2. Koşu,5,ŞAHİKA MARA,Orta Grup,,0,6.760,1.016,0.000,Düşük Tempo,0.088757,
2. Koşu,6,ÇEPNİ,Orta Grup,Sprinter,-1,6.650,0.999,-0.999,Düşük Tempo,-0.209774,
2. Koşu,7,SHINING LIFE,Sprinter,Takipçi,0,6.600,0.992,0.000,Düşük Tempo,-0.259091,
2. Koşu,8,SAMUİ,Sprinter,Orta Grup,-1,6.700,1.007,-1.007,Düşük Tempo,-0.410448,
3. Koşu,1,TUTKUNLAR,Önde Kaçan,,2,7.240,0.998,1.995,Düşük Tempo,0.582873,
3. Koşu,2,KÜÇÜK MİRZA,Önde Kaçan,Orta Grup,2,8.190,1.128,2.257,Düşük Tempo,0.573260,
3. Koşu,3,BAY UMUT,Takipçi,,1,6.990,0.963,0.963,Düşük Tempo,0.335837,
3. Koşu,4,EGETAY,Takipçi,,1,7.070,0.974,0.974,Düşük Tempo,0.334866,
3. Koşu,5,ÇELİKOVİÇ,Takipçi,,1,7.140,0.984,0.984,Düşük Tempo,0.334034,
3. Koşu,6,TRAKTÖR,Takipçi,,1,7.300,1.006,1.006,Düşük Tempo,0.332192,
3. Koşu,7,DEKÇİ BEY,Takipçi,,1,7.710,1.062,1.062,Düşük Tempo,0.327821,
3. Koşu,8,GÜROBASI,Orta Grup,Takipçi,1,6.920,0.953,0.953,Düşük Tempo,0.236705,
3. Koşu,9,BÜYÜK MACELAN,Orta Grup,Takipçi,1,7.150,0.985,0.985,Düşük Tempo,0.233916,
3. Koşu,10,ESEN BATU,Orta Grup,,0,7.300,1.006,0.000,Düşük Tempo,0.082192,
3. Koşu,11,KOŞAN NUR,Orta Grup,Sprinter,-1,6.960,0.959,-0.959,Düşük Tempo,-0.213793,
3. Koşu,12,MESUTCAN,Sprinter,Orta Grup,-1,7.120,0.981,-0.981,Düşük Tempo,-0.415730,
4. Koşu,1,ŞİMŞEK YELELİ,Orta Grup,Takipçi,1,6.910,0.980,0.980,Orta Tempo,0.636831,
4. Koşu,2,AYSERA KIZ,Takipçi,,1,7.010,0.995,0.995,Orta Tempo,0.585592,
4. Koşu,3,AYAZ DEFNE,Takipçi,,1,7.020,0.996,0.996,Orta Tempo,0.585470,
4. Koşu,4,SAKIZ ADASI,Takipçi,Önde Kaçan,3,7.080,1.004,3.013,Orta Tempo,0.584746,
4. Koşu,5,ADİLE HANIM,Takipçi,,1,7.250,1.029,1.029,Orta Tempo,0.582759,
4. Koşu,6,RAZKAN,Orta Grup,Sprinter,-1,7.020,0.996,-0.996,Orta Tempo,0.335470,
5. Koşu,1,PITFALL,Takipçi,Orta Grup,1,6.490,1.002,1.002,Orta Tempo,0.742450,
5. Koşu,2,DAGMAR,Orta Grup,Takipçi,1,6.390,0.987,0.987,Orta Tempo,0.643897,
5. Koşu,3,HEXAGON,Orta Grup,Takipçi,1,6.640,1.026,1.026,Orta Tempo,0.640361,
5. Koşu,4,RIDE THE LIGHTNING,Takipçi,,1,6.340,0.979,0.979,Orta Tempo,0.594637,
5. Koşu,5,BAHRAIN,Takipçi,,1,6.480,1.001,1.001,Orta Tempo,0.592593,
5. Koşu,6,EAGLE KHAN,Takipçi,Önde Kaçan,3,6.480,1.001,3.003,Orta Tempo,0.592593,
5. Koşu,7,SEFAKÖYLÜ,Bilinmiyor,,0,6.500,1.004,0.000,Orta Tempo,0.092308,
6. Koşu,1,STRAKHOV,Takipçi,Önde Kaçan,3,6.240,1.002,3.006,Düşük Tempo,0.646154,
6. Koşu,2,AMMAYAMAN,Takipçi,,1,6.160,0.989,0.989,Düşük Tempo,0.347403,
6. Koşu,3,LAUREATE,Takipçi,,1,6.220,0.999,0.999,Düşük Tempo,0.346463,
6. Koşu,4,FLEXIMAN,Takipçi,,1,6.230,1.000,1.000,Düşük Tempo,0.346308,
6. Koşu,5,HARDOLD,Orta Grup,Takipçi,1,6.240,1.002,1.002,Düşük Tempo,0.246154,
6. Koşu,6,MAGIC WEAPON,Orta Grup,Sprinter,-1,6.230,1.000,-1.000,Düşük Tempo,-0.203692,
6. Koşu,7,MAKE A FIRE,Orta Grup,Sprinter,-1,6.280,1.008,-1.008,Düşük Tempo,-0.204459,
7. Koşu,1,TIMETEX,Takipçi,Önde Kaçan,3,6.440,0.988,2.963,Düşük Tempo,0.643168,
7. Koşu,2,GILMOUR,Takipçi,Önde Kaçan,3,6.600,1.012,3.036,Düşük Tempo,0.640909,
7. Koşu,3,LOVE ME BATTER,Takipçi,,1,6.370,0.977,0.977,Düşük Tempo,0.344192,
7. Koşu,4,LADY CLASSMAN,Takipçi,Orta Grup,1,6.530,1.001,1.001,Düşük Tempo,0.341884,
7. Koşu,5,LEGACY OF HENRY,Takipçi,Orta Grup,1,6.550,1.004,1.004,Düşük Tempo,0.341603,
7. Koşu,6,DANCING KING,Orta Grup,,0,6.590,1.011,0.000,Düşük Tempo,0.091047,
7. Koşu,7,HEAVEN TIME,Sprinter,,-1,6.470,0.992,-0.992,Düşük Tempo,-0.407264,
7. Koşu,8,RAIN BEAUTY,Sprinter,,-1,6.480,0.994,-0.994,Düşük Tempo,-0.407407,
7. Koşu,9,CHARMING CAT,Sprinter,Orta Grup,-1,6.540,1.003,-1.003,Düşük Tempo,-0.408257,
7. Koşu,10,FOMO,Sprinter,,-1,6.560,1.006,-1.006,Düşük Tempo,-0.408537,
7. Koşu,11,ALİN SULTAN,Sprinter,,-1,6.600,1.012,-1.012,Düşük Tempo,-0.409091,
8. Koşu,1,ÖZGÜR FURKAN,Önde Kaçan,Takipçi,3,7.270,1.002,3.005,Düşük Tempo,0.732531,
8. Koşu,2,SANPMAN,Önde Kaçan,Takipçi,3,7.890,1.087,3.262,Düşük Tempo,0.726046,
8. Koşu,3,ATİLLABEY,Takipçi,,1,7.020,0.967,0.967,Düşük Tempo,0.335470,
8. Koşu,4,BARAN REİS,Takipçi,,1,7.120,0.981,0.981,Düşük Tempo,0.334270,
8. Koşu,5,EFE METE BEY,Takipçi,,1,7.140,0.984,0.984,Düşük Tempo,0.334034,
8. Koşu,6,LAZFATİH,Takipçi,,1,7.190,0.991,0.991,Düşük Tempo,0.333449,
8. Koşu,7,LAZMAN,Takipçi,,1,7.190,0.991,0.991,Düşük Tempo,0.333449,
