Kosu,At Sayisi,Ortalama Cikti,Toplam Tempo,Tempo Indeksi,Siddet,Yaris Tipi,Yaris Yapisi,Karar Sonucu,Avantajli At Turu
1. Koşu,11,6.508,6.189,0.563,Orta,Düşük Tempo,Kalabalık,Kontrollü tempo,Önde Kaçan
2. Koşu,8,6.654,1.978,0.247,Düşük,Düşük Tempo,Orta grup,Yavaş yarış,Önde Kaçan
3. Koşu,12,7.258,9.240,0.770,Orta,Düşük Tempo,Kalabalık,Kontrollü tempo,Önde Kaçan
4. Koşu,6,7.048,6.017,1.003,Orta,Orta Tempo,Küçük grup,Klasik yarış,Takipçi
5. Koşu,7,6.474,7.998,1.143,Orta,Orta Tempo,Orta grup,Klasik yarış,Takipçi
6. Koşu,7,6.229,4.987,0.712,Düşük,Düşük Tempo,Orta grup,Yavaş yarış,Önde Kaçan
7. Koşu,11,6.521,3.975,0.361,Düşük,Düşük Tempo,Kalabalık,Yavaş yarış,Önde Kaçan
8. Koşu,14,7.257,10.146,0.725,Yüksek,Düşük Tempo,Kalabalık,Sahte tempo (tek kaçış),Lider / güçlü at
