Kosu,Sira,At,Stil 1,Stil 2,Cikti,Guc,Tempo Katkisi,Tempo Tipi,Kazanma Skoru,Dayaniklilik
1. Koşu,1,WATERSHED,Takipçi,Orta Grup,6.520,1.003,0.661,Orta Tempo,0.569049,
1. Koşu,2,BY MUTLU,Takipçi,,6.541,1.000,0.660,Orta Tempo,0.521600,
1. Koşu,3,IRON CLEM,Takipçi,,6.600,0.991,0.658,Orta Tempo,0.520574,
1. Koşu,4,KING OF PROTI,Orta Grup,Takipçi,6.540,1.000,0.396,Orta Tempo,0.418433,
1. Koşu,5,INVINCIBLE ARES,Orta Grup,Takipçi,6.550,0.999,0.396,Orta Tempo,0.418269,
1. Koşu,6,ANOTHER MOMENT,Sprinter,Takipçi,6.480,1.009,-0.626,Orta Tempo,0.118478,
1. Koşu,7,VEN CONMİGO,Sprinter,Orta Grup,6.620,0.988,-1.016,Orta Tempo,-0.073958,
1. Koşu,8,LAST HERO,Sprinter,,6.480,1.009,-1.023,Orta Tempo,-0.119692,
2. Koşu,1,YAĞIZHANBEY,Takipçi,Orta Grup,7.150,1.013,0.663,Orta Tempo,0.646566,
2. Koşu,2,AKGÜN AĞA,Takipçi,,7.130,1.016,0.663,Orta Tempo,0.583628,
2. Koşu,3,İLKUTHAN,Takipçi,,7.150,1.013,0.663,Orta Tempo,0.583326,
2. Koşu,4,BATUGA,Takipçi,Orta Grup,7.190,1.007,0.662,Orta Tempo,0.565966,
2. Koşu,5,SAHAFBEY,Orta Grup,Takipçi,7.550,0.959,0.391,Orta Tempo,0.508879,
2. Koşu,6,BARAN REİS,Takipçi,,7.120,1.017,0.664,Orta Tempo,0.503780,
2. Koşu,7,LAZMAN,Takipçi,,7.170,1.010,0.662,Orta Tempo,0.503025,
2. Koşu,8,MANDAR ABBAS,Takipçi,Orta Grup,7.560,0.958,0.560,Orta Tempo,0.451598,
2. Koşu,9,TUNÇYILMAZ,Takipçi,Sprinter,7.390,0.980,0.048,Orta Tempo,0.366415,
2. Koşu,10,ÖZGÜNBERK,Sprinter,Orta Grup,7.180,1.009,-1.023,Orta Tempo,-0.004679,
2. Koşu,11,ÖZGÜNALP,Sprinter,,7.180,1.009,-1.023,Orta Tempo,-0.067920,
2. Koşu,12,BABA TUNA,Sprinter,Orta Grup,7.130,1.016,-1.025,Orta Tempo,-0.084302,
3. Koşu,1,BÜYÜK ATTİLA,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
3. Koşu,2,GOLDEN CHAMPION,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
3. Koşu,3,PYROHAN,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
3. Koşu,4,RAZENOID,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
3. Koşu,5,STORM SOVEREIGN,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
3. Koşu,6,VICTORY OF TOMO,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
3. Koşu,7,ADDISON,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
3. Koşu,8,SPEED QUEEN,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
4. Koşu,1,HAŞARI,Takipçi,Orta Grup,5.970,1.007,0.662,Yüksek Tempo,0.599990,1.822
4. Koşu,2,PIHA,Takipçi,Orta Grup,5.980,1.006,0.661,Yüksek Tempo,0.599781,1.819
4. Koşu,3,VINTAGE,Orta Grup,Takipçi,5.910,1.018,0.398,Yüksek Tempo,0.520448,1.920
4. Koşu,4,STAR RUNNER,Takipçi,,5.910,1.018,0.664,Yüksek Tempo,0.491471,1.843
4. Koşu,5,LYARA,Takipçi,,5.960,1.009,0.662,Yüksek Tempo,0.490412,1.826
4. Koşu,6,HAMA DESTINATION,Takipçi,,6.020,0.999,0.660,Yüksek Tempo,0.489165,1.806
4. Koşu,7,LADYBIRD,Takipçi,,6.180,0.973,0.654,Yüksek Tempo,0.485958,1.754
4. Koşu,8,DAELLA,Takipçi,Önde Kaçan,5.940,1.013,1.494,Yüksek Tempo,0.470629,1.591
4. Koşu,9,GRACE OF GOD,Takipçi,Önde Kaçan,6.260,0.961,1.470,Yüksek Tempo,0.462855,1.488
4. Koşu,10,HOLD FAST,Orta Grup,,6.100,0.986,0.000,Yüksek Tempo,0.301252,1.972
4. Koşu,11,INCOME,Önde Kaçan,Takipçi,5.990,1.004,1.778,Yüksek Tempo,0.124110,1.490
4. Koşu,12,LOQUİTA,Sprinter,Takipçi,5.920,1.016,-0.627,Yüksek Tempo,0.031647,2.032
4. Koşu,13,MAGICAL FLOWER,Sprinter,,6.050,0.994,-1.018,Yüksek Tempo,-0.185805,1.988
5. Koşu,1,KAYIPSIZ,Takipçi,Orta Grup,6.540,1.014,0.663,Yüksek Tempo,0.585088,1.835
5. Koşu,2,GÖKMETE,Takipçi,Orta Grup,6.550,1.012,0.663,Yüksek Tempo,0.584911,1.832
5. Koşu,3,İLKERHAN,Takipçi,,6.520,1.017,0.663,Yüksek Tempo,0.492627,1.841
5. Koşu,4,TİRİLYE KARTALI,Takipçi,,6.600,1.004,0.661,Yüksek Tempo,0.491217,1.816
5. Koşu,5,BAY MIRIK,Orta Grup,Takipçi,6.590,1.006,0.397,Yüksek Tempo,0.484666,1.896
5. Koşu,6,BY TÜRKOĞLU,Orta Grup,,6.520,1.017,0.000,Yüksek Tempo,0.263850,2.033
5. Koşu,7,GÖKIRMAK,Orta Grup,,6.740,0.984,0.000,Yüksek Tempo,0.260746,1.967
5. Koşu,8,CEMHAN,Önde Kaçan,Takipçi,6.720,0.986,1.768,Yüksek Tempo,0.197919,1.455
5. Koşu,9,ALİ AL MAQAM,Sprinter,Orta Grup,6.880,0.964,-1.008,Yüksek Tempo,-0.084499,1.927
6. Koşu,1,WIN HER LOVE,Takipçi,Orta Grup,5.870,1.015,0.663,Yüksek Tempo,0.595227,1.837
6. Koşu,2,AMAZING TOUCH,Orta Grup,Takipçi,6.150,0.968,0.392,Yüksek Tempo,0.568002,1.821
6. Koşu,3,SHE IS APPROVED,Takipçi,,5.830,1.022,0.665,Yüksek Tempo,0.505282,1.851
6. Koşu,4,İPHİKLOS,Takipçi,,5.850,1.018,0.664,Yüksek Tempo,0.504845,1.844
6. Koşu,5,LA SPEZIA,Takipçi,,5.900,1.010,0.662,Yüksek Tempo,0.503767,1.827
6. Koşu,6,SHIROKE,Takipçi,,5.990,0.994,0.659,Yüksek Tempo,0.501871,1.796
6. Koşu,7,LAVENDER,Takipçi,,6.180,0.964,0.561,Yüksek Tempo,0.388916,1.735
6. Koşu,8,OPERASYON,Sprinter,,5.880,1.013,-1.024,Yüksek Tempo,-0.161245,2.026
7. Koşu,1,BİRORDU,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
7. Koşu,2,IMPERATORE,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
7. Koşu,3,INDIANA JONES,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
7. Koşu,4,KING CEMİL,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
7. Koşu,5,LEONTES,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
7. Koşu,6,RAPID SHOT,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
7. Koşu,7,ART OF VICTORY,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
8. Koşu,1,NİĞBOLU,Takipçi,Orta Grup,6.710,1.012,0.662,Yüksek Tempo,0.583575,1.831
8. Koşu,2,ÖZÜDOĞRU,Takipçi,Orta Grup,6.910,0.982,0.656,Yüksek Tempo,0.580289,1.772
8. Koşu,3,EFLAH,Orta Grup,Takipçi,6.610,1.027,0.399,Yüksek Tempo,0.488510,1.938
8. Koşu,4,ŞIKTURBO,Takipçi,,6.710,1.012,0.662,Yüksek Tempo,0.488114,1.831
8. Koşu,5,GÖKSAGUN,Takipçi,,6.910,0.982,0.656,Yüksek Tempo,0.484828,1.772
8. Koşu,6,ÇELİKGİLLER,Takipçi,Sprinter,6.710,1.012,0.048,Yüksek Tempo,0.333352,2.009
8. Koşu,7,SANPMAN,Önde Kaçan,Takipçi,7.030,0.966,1.511,Yüksek Tempo,-0.012862,1.413
8. Koşu,8,HÜKÜM,Sprinter,,6.710,1.012,-1.024,Yüksek Tempo,-0.179679,2.023
