date,year_month,weekday_no,weekday,city,city_id,label,combination,amount,amount_text,under_1750,race_count,url
2025-09-19,2025-09,4,Cuma,Istanbul,3,1. 6'LI GANYAN,2/3/2/1/2/10,158915.85,"158.915,85 ₺",0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=3&QueryParameter_Tarih=19%2F09%2F2025&SehirAdi=Istanbul
2025-09-20,2025-09,5,Cumartesi,Ankara,5,1. 6'LI GANYAN,1/1/1/10/2/2,7532.3,"7.532,30 ₺",0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=5&QueryParameter_Tarih=20%2F09%2F2025&SehirAdi=Ankara
2025-09-20,2025-09,5,Cumartesi,Izmir,2,1. 6'LI GANYAN,"5/13/2,3,4,13/2/1/6",29982.95,"29.982,95 ₺",0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=2&QueryParameter_Tarih=20%2F09%2F2025&SehirAdi=Izmir
2025-09-21,2025-09,6,Pazar,Adana,1,1. 6'LI GANYAN,9/10/2/5/1/6,6539.1,"6.539,10 ₺",0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=1&QueryParameter_Tarih=21%2F09%2F2025&SehirAdi=Adana
2025-09-21,2025-09,6,Pazar,Istanbul,3,1. 6'LI GANYAN,7/3/1/1/5/11,371.2,"371,20 ₺",1,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=3&QueryParameter_Tarih=21%2F09%2F2025&SehirAdi=Istanbul
2025-09-22,2025-09,0,Pazartesi,Bursa,4,1. 6'LI GANYAN,"3/13/7/2,4/2/14",93129.75,"93.129,75 ₺",0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=4&QueryParameter_Tarih=22%2F09%2F2025&SehirAdi=Bursa
2025-09-22,2025-09,0,Pazartesi,Urfa,6,1. 6'LI GANYAN,3/6/6/4/2/8,564955.44,"564.955,44 ₺",0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=6&QueryParameter_Tarih=22%2F09%2F2025&SehirAdi=Urfa
2025-09-23,2025-09,1,Sali,Ankara,5,1. 6'LI GANYAN,8/1/1/7/4/4,9807.4,"9.807,40 ₺",0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=5&QueryParameter_Tarih=23%2F09%2F2025&SehirAdi=Ankara
2025-09-23,2025-09,1,Sali,Kocaeli,9,1. 6'LI GANYAN,2/2/7/3/7/3,13203.8,"13.203,80 ₺",0,8,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=9&QueryParameter_Tarih=23%2F09%2F2025&SehirAdi=Kocaeli
2025-09-24,2025-09,2,Carsamba,Elazig,7,1. 6'LI GANYAN,"7/2/11/7,13/4,8/3",16013.68,"16.013,68 ₺",0,8,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=7&QueryParameter_Tarih=24%2F09%2F2025&SehirAdi=Elazig
2025-09-24,2025-09,2,Carsamba,Istanbul,3,1. 6'LI GANYAN,3/6/11/4/10/4,3640.6,"3.640,60 ₺",0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=3&QueryParameter_Tarih=24%2F09%2F2025&SehirAdi=Istanbul
2025-09-25,2025-09,3,Persembe,Ankara,5,1. 6'LI GANYAN,5/1/3/9/7/2,204267.9,"204.267,90 ₺",0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=5&QueryParameter_Tarih=25%2F09%2F2025&SehirAdi=Ankara
2025-09-25,2025-09,3,Persembe,Izmir,2,1. 6'LI GANYAN,"4/1,4/6/4/1/4",11682.85,"11.682,85 ₺",0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=2&QueryParameter_Tarih=25%2F09%2F2025&SehirAdi=Izmir
2025-09-26,2025-09,4,Cuma,Bursa,4,1. 6'LI GANYAN,6/1/2/3/3/4,9880.55,"9.880,55 ₺",0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=4&QueryParameter_Tarih=26%2F09%2F2025&SehirAdi=Bursa
2025-09-26,2025-09,4,Cuma,Istanbul,3,1. 6'LI GANYAN,11/1/1/3/3/6,11887.1,"11.887,10 ₺",0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=3&QueryParameter_Tarih=26%2F09%2F2025&SehirAdi=Istanbul
2025-09-27,2025-09,5,Cumartesi,Ankara,5,1. 6'LI GANYAN,5/3/4/7/7/6,6215.8,"6.215,80 ₺",0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=5&QueryParameter_Tarih=27%2F09%2F2025&SehirAdi=Ankara
2025-09-27,2025-09,5,Cumartesi,Izmir,2,1. 6'LI GANYAN,"4/7/1/5/1,5/3",11703.1,"11.703,10 ₺",0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=2&QueryParameter_Tarih=27%2F09%2F2025&SehirAdi=Izmir
2025-09-28,2025-09,6,Pazar,Adana,1,1. 6'LI GANYAN,"1/1/2/2/8,11/5",6655.55,"6.655,55 ₺",0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=1&QueryParameter_Tarih=28%2F09%2F2025&SehirAdi=Adana
2025-09-28,2025-09,6,Pazar,Istanbul,3,1. 6'LI GANYAN,3/3/1/6/2/2,21276.0,"21.276,00 ₺",0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=3&QueryParameter_Tarih=28%2F09%2F2025&SehirAdi=Istanbul
2025-09-29,2025-09,0,Pazartesi,Bursa,4,1. 6'LI GANYAN,"5,6,8/2,7/6/4/2/11",5511.9,"5.511,90 ₺",0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=4&QueryParameter_Tarih=29%2F09%2F2025&SehirAdi=Bursa
2025-09-29,2025-09,0,Pazartesi,Urfa,6,1. 6'LI GANYAN,"6/3/6/13/2,6/5,7",11530.96,"11.530,96 ₺",0,8,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=6&QueryParameter_Tarih=29%2F09%2F2025&SehirAdi=Urfa
2025-09-30,2025-09,1,Sali,Adana,1,1. 6'LI GANYAN,2/4/5/3/1/7,85322.9,"85.322,90 ₺",0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=1&QueryParameter_Tarih=30%2F09%2F2025&SehirAdi=Adana
2025-09-30,2025-09,1,Sali,Adana,1,1. 6'LI GANYAN,2/4/5/3/6/7,55926.25,"55.926,25 ₺",0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=1&QueryParameter_Tarih=30%2F09%2F2025&SehirAdi=Adana
2025-09-30,2025-09,1,Sali,Kocaeli,9,1. 6'LI GANYAN,3/4/7/5/1/9,208748.2,"208.748,20 ₺",0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=9&QueryParameter_Tarih=30%2F09%2F2025&SehirAdi=Kocaeli
2025-10-01,2025-10,2,Carsamba,Elazig,7,1. 6'LI GANYAN,"1/2/3/1,5,14/8/7",87053.44,"87.053,44 ₺",0,8,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=7&QueryParameter_Tarih=01%2F10%2F2025&SehirAdi=Elazig
