Kosu,Sira,At,Stil 1,Stil 2,Cikti,Guc,Tempo Katkisi,Tempo Tipi,Kazanma Skoru,Dayaniklilik
1. Koşu,1,ELSENORDELOSCIELOS,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
1. Koşu,2,LUNGTA,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
1. Koşu,3,PUYOL,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
1. Koşu,4,RISING GLORY,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
1. Koşu,5,BLUE ROYAL,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
1. Koşu,6,GREENLIFE,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
1. Koşu,7,LILYHAMMER,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
1. Koşu,8,NEBULA STAR,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
1. Koşu,9,SILA ALEYNA,Bilinmiyor,,1.000,1.000,0.000,Orta Tempo,0.620000,
2. Koşu,1,AKTAŞKAYA,Takipçi,Orta Grup,6.750,1.006,0.661,Yüksek Tempo,0.617014,1.819
2. Koşu,2,ATILIMBEYİ,Takipçi,Orta Grup,6.660,1.019,0.664,Yüksek Tempo,0.538539,1.846
2. Koşu,3,GÜL AYALI,Takipçi,,6.580,1.032,0.667,Yüksek Tempo,0.512465,1.871
2. Koşu,4,JAFAR,Takipçi,,6.650,1.021,0.664,Yüksek Tempo,0.511246,1.849
2. Koşu,5,SANCAKALAN,Takipçi,,6.650,1.021,0.664,Yüksek Tempo,0.511246,1.849
2. Koşu,6,BANDIRMALI,Takipçi,,6.700,1.013,0.663,Yüksek Tempo,0.510391,1.834
2. Koşu,7,TARÇINKIZ,Takipçi,,6.760,1.004,0.661,Yüksek Tempo,0.509382,1.816
2. Koşu,8,MADEN DAĞI,Takipçi,,6.820,0.995,0.567,Yüksek Tempo,0.479164,1.798
2. Koşu,9,PRENS CORA,Orta Grup,Takipçi,6.730,1.009,0.397,Yüksek Tempo,0.455138,1.902
2. Koşu,10,TUNCER,Takipçi,Önde Kaçan,6.800,0.998,1.279,Yüksek Tempo,0.367318,1.562
2. Koşu,11,ALYADİGAR,Orta Grup,,6.730,1.009,0.000,Yüksek Tempo,0.142061,2.017
2. Koşu,12,HÜRDENİZ,Önde Kaçan,Takipçi,7.100,0.956,1.506,Yüksek Tempo,0.077968,1.394
2. Koşu,13,AKGOBAK,Orta Grup,Sprinter,6.650,1.021,-0.616,Yüksek Tempo,0.044067,2.041
2. Koşu,14,İDİLYILDIZ,Orta Grup,,6.930,0.979,0.000,Yüksek Tempo,0.039402,1.959
2. Koşu,15,DİLARASULTANIM,Orta Grup,Sprinter,7.040,0.964,-0.520,Yüksek Tempo,0.028469,1.928
2. Koşu,16,ÇELİK KARTAL,Orta Grup,Önde Kaçan,7.180,0.945,0.700,Yüksek Tempo,0.002929,1.649
2. Koşu,17,PRENSES DI,Sprinter,Orta Grup,6.660,1.019,-0.883,Yüksek Tempo,-0.135878,2.038
