at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,at_profili,at_id
6,KÜÇÜK MİRZA,Önde Kaçan,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %4, arka-grup %32, on-grup %29, onde %36.",1/28 (4%) | 9/28 (32%) | 8/28 (29%) | 10/28 (36%),1/28 (4%),9/28 (32%),8/28 (29%),10/28 (36%),https://yenibeygir.com/at/97327/kucuk-mirza,97327
7,DEKÇİ BEY,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %3, arka-grup %17, on-grup %70, onde %10.",1/30 (3%) | 5/30 (17%) | 21/30 (70%) | 3/30 (10%),1/30 (3%),5/30 (17%),21/30 (70%),3/30 (10%),https://yenibeygir.com/at/98003/dekci-bey,98003
8,KOŞAN NUR,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %31, arka-grup %52, on-grup %17, onde %0.",20/64 (31%) | 33/64 (52%) | 11/64 (17%) | 0/64 (0%),20/64 (31%),33/64 (52%),11/64 (17%),0/64 (0%),https://yenibeygir.com/at/93021/kosan-nur,93021
9,BAY UMUT,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %19, arka-grup %25, on-grup %56, onde %0.",3/16 (19%) | 4/16 (25%) | 9/16 (56%) | 0/16 (0%),3/16 (19%),4/16 (25%),9/16 (56%),0/16 (0%),https://yenibeygir.com/at/102506/bay-umut,102506
10,ESEN BATU,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %24, arka-grup %59, on-grup %17, onde %0.",10/41 (24%) | 24/41 (59%) | 7/41 (17%) | 0/41 (0%),10/41 (24%),24/41 (59%),7/41 (17%),0/41 (0%),https://yenibeygir.com/at/94386/esen-batu,94386
11,TUTKUNLAR,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %0, onde %100.",0/4 (0%) | 0/4 (0%) | 0/4 (0%) | 4/4 (100%),0/4 (0%),0/4 (0%),0/4 (0%),4/4 (100%),https://yenibeygir.com/at/97821/tutkunlar,97821
12,ÇELİKOVİÇ,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %12, arka-grup %12, on-grup %61, onde %15.",4/33 (12%) | 4/33 (12%) | 20/33 (61%) | 5/33 (15%),4/33 (12%),4/33 (12%),20/33 (61%),5/33 (15%),https://yenibeygir.com/at/98250/celikovic,98250
1,AYSERA KIZ,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %10, arka-grup %29, on-grup %57, onde %5.",2/21 (10%) | 6/21 (29%) | 12/21 (57%) | 1/21 (5%),2/21 (10%),6/21 (29%),12/21 (57%),1/21 (5%),https://yenibeygir.com/at/102260/aysera-kiz,102260
2,AYAZ DEFNE,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %26, arka-grup %26, on-grup %47, onde %0.",5/19 (26%) | 5/19 (26%) | 9/19 (47%) | 0/19 (0%),5/19 (26%),5/19 (26%),9/19 (47%),0/19 (0%),https://yenibeygir.com/at/101854/ayaz-defne,101854
3,RAZKAN,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %38, arka-grup %50, on-grup %12, onde %0.",3/8 (38%) | 4/8 (50%) | 1/8 (12%) | 0/8 (0%),3/8 (38%),4/8 (50%),1/8 (12%),0/8 (0%),https://yenibeygir.com/at/103451/razkan,103451
4,ADİLE HANIM,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %7, on-grup %80, onde %13.",0/15 (0%) | 1/15 (7%) | 12/15 (80%) | 2/15 (13%),0/15 (0%),1/15 (7%),12/15 (80%),2/15 (13%),https://yenibeygir.com/at/102200/adile-hanim,102200
5,SAKIZ ADASI,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %12, on-grup %50, onde %38.",0/16 (0%) | 2/16 (12%) | 8/16 (50%) | 6/16 (38%),0/16 (0%),2/16 (12%),8/16 (50%),6/16 (38%),https://yenibeygir.com/at/102656/sakiz-adasi,102656
6,ŞİMŞEK YELELİ,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %27, arka-grup %40, on-grup %33, onde %0.",4/15 (27%) | 6/15 (40%) | 5/15 (33%) | 0/15 (0%),4/15 (27%),6/15 (40%),5/15 (33%),0/15 (0%),https://yenibeygir.com/at/102557/simsek-yeleli,102557
1,DAGMAR,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %24, arka-grup %32, on-grup %32, onde %12.",8/34 (24%) | 11/34 (32%) | 11/34 (32%) | 4/34 (12%),8/34 (24%),11/34 (32%),11/34 (32%),4/34 (12%),https://yenibeygir.com/at/90666/dagmar,90666
2,BAHRAIN,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %3, arka-grup %25, on-grup %59, onde %12.",1/32 (3%) | 8/32 (25%) | 19/32 (59%) | 4/32 (12%),1/32 (3%),8/32 (25%),19/32 (59%),4/32 (12%),https://yenibeygir.com/at/95747/bahrain,95747
