At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,At Profili,Eslesme
NORTH PASHA,,6.23,1400,Kum,59,57,Antalya,1,98974,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %58, onde %42.",0/19 (0%) | 0/19 (0%) | 11/19 (58%) | 8/19 (42%),https://www.yenibeygir.com/at/98974/north-pasha,bulundu
BLACK PABLO,,6.25,1400,Kum,56,60.7,Adana,3,100410,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %26, arka-grup %42, on-grup %32, onde %0.",5/19 (26%) | 8/19 (42%) | 6/19 (32%) | 0/19 (0%),https://www.yenibeygir.com/at/100410/black-pablo,bulundu
LAMBERHURST,,6.28,1400,Kum,56,58,Adana,5,101031,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %13, arka-grup %27, on-grup %40, onde %20.",2/15 (13%) | 4/15 (27%) | 6/15 (40%) | 3/15 (20%),https://www.yenibeygir.com/at/101031/lamberhurst,bulundu
LUPELYAN,,6.30,1400,Kum,54,56,Adana,9,99534,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %17, arka-grup %39, on-grup %43, onde %0.",4/23 (17%) | 9/23 (39%) | 10/23 (43%) | 0/23 (0%),https://www.yenibeygir.com/at/99534/lupelyan,bulundu
YES GRASYAS,,6.31,1300,Kum,58,58.2,Adana,2,99713,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %40, arka-grup %33, on-grup %27, onde %0.",6/15 (40%) | 5/15 (33%) | 4/15 (27%) | 0/15 (0%),https://www.yenibeygir.com/at/99713/yes-grasyas,bulundu
NIGHTFLYERS,,6.31,1300,Kum,56,58.1,Adana,4,97253,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %15, arka-grup %7, on-grup %44, onde %33.",4/27 (15%) | 2/27 (7%) | 12/27 (44%) | 9/27 (33%),https://www.yenibeygir.com/at/97253/nightflyers,bulundu
SARPTAY,,6.40,1400,Kum,55,59,Adana,6,89900,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %12, arka-grup %12, on-grup %56, onde %20.",5/41 (12%) | 5/41 (12%) | 23/41 (56%) | 8/41 (20%),https://www.yenibeygir.com/at/89900/sarptay,bulundu
GALİBEY,,6.60,1300,Çim,56,54.9,Adana,8,99013,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %9, arka-grup %9, on-grup %45, onde %36.",2/22 (9%) | 2/22 (9%) | 10/22 (45%) | 8/22 (36%),https://www.yenibeygir.com/at/99013/galibey,bulundu
SIRIUS BLACK,,geçersiz,1400,Kum,55,58,Adana,7,87492,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %16, arka-grup %29, on-grup %48, onde %7.",14/87 (16%) | 25/87 (29%) | 42/87 (48%) | 6/87 (7%),https://www.yenibeygir.com/at/87492/sirius-black,bulundu
,4. Koşu,,,,,,,,,,,,,,
KING DAVUT,,6.09,1600,Çim,59.5,56.4,Ankara,3,95152,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %29, onde %71.",0/24 (0%) | 0/24 (0%) | 7/24 (29%) | 17/24 (71%),https://www.yenibeygir.com/at/95152/king-davut,bulundu
ZAMBUR AGA,,6.14,2100,Kum,58,60,Adana,4,99724,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %48, arka-grup %35, on-grup %17, onde %0.",11/23 (48%) | 8/23 (35%) | 4/23 (17%) | 0/23 (0%),https://www.yenibeygir.com/at/99724/zambur-aga,bulundu
THE AUREL,,6.14,2100,Sentetik,58,58,Antalya,6,96246,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %25, arka-grup %30, on-grup %45, onde %0.",5/20 (25%) | 6/20 (30%) | 9/20 (45%) | 0/20 (0%),https://www.yenibeygir.com/at/96246/the-aurel,bulundu
STEEL HAWK,,6.22,1300,Çim,50,56,Adana,10,91496,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %8, arka-grup %38, on-grup %46, onde %8.",3/39 (8%) | 15/39 (38%) | 18/39 (46%) | 3/39 (8%),https://www.yenibeygir.com/at/91496/steel-hawk,bulundu
BROARTS,,6.24,1800,Çim,58.5,58,Adana,2,99564,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %4, arka-grup %4, on-grup %30, onde %61.",1/23 (4%) | 1/23 (4%) | 7/23 (30%) | 14/23 (61%),https://www.yenibeygir.com/at/99564/broarts,bulundu
KALKÜTA,,6.26,2100,Çim,56.5,56.6,Adana,8,98907,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %15, arka-grup %33, on-grup %37, onde %15.",4/27 (15%) | 9/27 (33%) | 10/27 (37%) | 4/27 (15%),https://www.yenibeygir.com/at/98907/kalkuta,bulundu
QUEIMADA GRANDE,,6.27,2200,Çim,59,59,Ankara,5,75445,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %26, arka-grup %54, on-grup %20, onde %0.",24/92 (26%) | 50/92 (54%) | 18/92 (20%) | 0/92 (0%),https://www.yenibeygir.com/at/75445/queimada-grande,bulundu
BOUCHERON,,6.30,2100,Çim,57,56.8,Adana,7,96030,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %49, arka-grup %39, on-grup %10, onde %2.",24/49 (49%) | 19/49 (39%) | 5/49 (10%) | 1/49 (2%),https://www.yenibeygir.com/at/96030/boucheron,bulundu
CESUR ALİ,,6.43,1300,Çim,53.5,57,Adana,9,93404,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %26, arka-grup %33, on-grup %37, onde %4.",7/27 (26%) | 9/27 (33%) | 10/27 (37%) | 1/27 (4%),https://www.yenibeygir.com/at/93404/cesur-ali,bulundu
GEL OGLİM,,6.45,1300,Çim,61,56.5,Adana,1,89432,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %2, arka-grup %6, on-grup %42, onde %50.",1/64 (2%) | 4/64 (6%) | 27/64 (42%) | 32/64 (50%),https://www.yenibeygir.com/at/89432/gel-oglim,bulundu
,5. Koşu,,,,,,,,,,,,,,
ABBAS BEY,,7.13,1500,Kum,56.5,56.6,Adana,6,98389,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %13, arka-grup %61, on-grup %23, onde %3.",4/31 (13%) | 19/31 (61%) | 7/31 (23%) | 1/31 (3%),https://www.yenibeygir.com/at/98389/abbas-bey,bulundu
ENDORFİN,,7.15,1500,Kum,60.5,58,Adana,2,97560,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %11, arka-grup %23, on-grup %57, onde %9.",4/35 (11%) | 8/35 (23%) | 20/35 (57%) | 3/35 (9%),https://www.yenibeygir.com/at/97560/endorfin,bulundu
GÖLGENİN GÜCÜ,,7.16,2000,Kum,58.5,59,Antalya,3,97318,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %13, arka-grup %45, on-grup %35, onde %6.",4/31 (13%) | 14/31 (45%) | 11/31 (35%) | 2/31 (6%),https://www.yenibeygir.com/at/97318/golgenin-gucu,bulundu
END GAME,,7.19,2000,Kum,63.5,59,Adana,1,95990,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %34, arka-grup %32, on-grup %29, onde %5.",14/41 (34%) | 13/41 (32%) | 12/41 (29%) | 2/41 (5%),https://www.yenibeygir.com/at/95990/end-game,bulundu
