Kosu,At Sayisi,Ortalama Cikti,Toplam Tempo,Tempo Indeksi,Siddet,Yaris Tipi,Yaris Yapisi,Karar Sonucu,Avantajli At Turu
1. Koşu,8,7.032,1.015,0.127,Düşük,Düşük Tempo,Orta grup,Yavaş yarış,Önde Kaçan
2. Koşu,7,7.747,0.000,0.000,Düşük,Düşük Tempo,Orta grup,Yavaş yarış,Önde Kaçan
3. Koşu,12,8.154,0.000,0.000,Düşük,Düşük Tempo,Kalabalık,Yavaş yarış,Önde Kaçan
4. Koşu,10,6.900,0.996,0.100,Düşük,Düşük Tempo,Orta grup,Yavaş yarış,Önde Kaçan
5. Koşu,10,6.886,5.102,0.510,Düşük,Düşük Tempo,Orta grup,Yavaş yarış,Önde Kaçan
6. Koşu,9,6.909,0.000,0.000,Düşük,Düşük Tempo,Orta grup,Yavaş yarış,Önde Kaçan
7. Koşu,10,7.433,0.000,0.000,Düşük,Düşük Tempo,Orta grup,Yavaş yarış,Önde Kaçan
8. Koşu,15,8.059,1.848,0.123,Düşük,Düşük Tempo,Kalabalık,Yavaş yarış,Önde Kaçan
