At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,Son Kosu Zemin Durumu,Birinciden 5sn+,Birinciden Fark Sn,At Profili,Eslesme
,1. Koşu,,,,,,,,,,,,,,,,,
UTKUN CAN,,7.55,1900,Kum,55,56.5,Şanlıurfa,12,102802,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/102802/utkun-can,bulundu
CRIMSON DANCER,,7.60,1800,Kum,55,57,Şanlıurfa,10,105107,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %12, on-grup %50, onde %38.",0/8 (0%) | 1/8 (12%) | 4/8 (50%) | 3/8 (38%),,X,14.30,https://yenibeygir.com/at/105107/crimson-dancer,bulundu
QUEEN OF VICTORY,,7.74,1700,Kum,56,56,Şanlıurfa,9,103373,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %16, arka-grup %16, on-grup %58, onde %11.",3/19 (16%) | 3/19 (16%) | 11/19 (58%) | 2/19 (11%),,X,16.76,https://yenibeygir.com/at/103373/queen-of-victory,bulundu
PİTON KIZ,,8.29,1900,Kum,55,57,Şanlıurfa,2,104430,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %15, arka-grup %38, on-grup %46, onde %0.",2/13 (15%) | 5/13 (38%) | 6/13 (46%) | 0/13 (0%),,X,27.74,https://yenibeygir.com/at/104430/piton-kiz,bulundu
,3. Koşu,,,,,,,,,,,,,,,,,
SARRAFTAY,,7.70,1300,Kum,62.5,59.5,Şanlıurfa,1,86016,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/86016/sarraftay,bulundu
ARAPÇELİK,,7.77,1300,Kum,57.5,57,Şanlıurfa,2,88998,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %15, arka-grup %32, on-grup %42, onde %12.",9/60 (15%) | 19/60 (32%) | 25/60 (42%) | 7/60 (12%),,,2.56,https://yenibeygir.com/at/88998/arapcelik,bulundu
OĞLUMBENİM,,7.81,1200,Kum,57.5,59.5,Şanlıurfa,5,86986,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %14, arka-grup %30, on-grup %52, onde %4.",15/105 (14%) | 31/105 (30%) | 55/105 (52%) | 4/105 (4%),,,4.57,https://yenibeygir.com/at/86986/oglumbenim,bulundu
KARAPINAR ASLANI,,7.93,1800,Kum,57.5,57.5,Şanlıurfa,3,88935,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %38, arka-grup %39, on-grup %22, onde %2.",33/88 (38%) | 34/88 (39%) | 19/88 (22%) | 2/88 (2%),Sulu,X,5.01,https://yenibeygir.com/at/88935/karapinar-aslani,bulundu
ŞAHTAYIM,,7.94,1900,Kum,57.5,58.5,Şanlıurfa,6,97654,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %29, arka-grup %34, on-grup %37, onde %0.",10/35 (29%) | 12/35 (34%) | 13/35 (37%) | 0/35 (0%),Sulu,X,8.31,https://yenibeygir.com/at/97654/sahtayim,bulundu
